work_id,tempo_name
1,Allegro
2,Adagio di molto
3,"Allegretto, Trio"
4,Allegro animato
5,Allegro con moto
6,Poco adagio
7,Allegro con brio
8,Allegro con fuoco
9,Allegro moderato
10,"Adagio molto, tempo di marcia"
11,Allegro vivace
12,Allegro
13,Andante sostenuto e molto cantabile
14,Allegro feroce
15,Allegro con brio
16,Allegro ma non troppo
17,Andante con moto
18,Allegro scherzando
19,Allegro molto
20,Presto
21,"Allegretto scherzando,Allegro vivo"
22,Poco Allegro
23,Tempo di menuetto
24,Allegro vivace
25,Allegretto scherzando
26,Allegro assai
27,Presto
28,Presto
29,"Allegretto scherzando,Allegro vivo"
30,Poco Allegro
31,Tempo di menuetto
32,Allegro vivace
33,Allegretto scherzando
34,Allegro assai
35,Presto
36,Allegro non tanto
37,Adagio
38,Presto
39,Allegro con spirito
40,Allegro maestoso
41,Poco adagio
42,Vivace
43,Allegro
44,Vivace
45,Allegretto grazioso
46,Allegro
47,Allegretto grazioso
48,"Poco Adagio,Vivace"
49,"Moderato, quasi menuetto"
50,Allegro vivace
51,"Grazioso e lento, ma non troppo, quasi tempo di Valse"
52,Vivace
53,Allegretto grazioso
54,Allegro
55,Allegretto grazioso
56,"Poco Adagio, Vivace"
57,"Moderato, quasi menuetto"
58,Allegro vivace
59,"Grazioso e lento, ma non troppo, quasi tempo di Valse"
60,Allegro con brio
61,Adagio
62,"Allegretto grazioso, molto vivace"
63,Allegro ma non troppo
64,"Adagio, Allegro molto"
65,Largo
66,Molto vivace
67,Allegro con fuoco
68,Allegro molto
69,Allegro non assai
70,Allegretto
71,Poco sostenuto
72,Allegro
73,Vivace
74,Allegretto
75,Presto
76,Allegro non troppo
77,Presto
78,Poco andante
79,Presto
80,Andantino grazioso
81,Un poco andante
82,Allegretto grazioso
83,Con moto
84,Andantino
85,Molto vivace
86,Allegretto
87,Poco allegretto
88,Vivace
89,Allegro
90,Andante
91,Allegro assai
