part,measure,pitch,step,alter,octave,duration,type,dotted,rest,grace,cue
P1,1,B,B,,3,960,half,False,False,False,False
P1,1,D,D,,4,960,half,False,False,False,False
P1,1,G,G,,4,960,half,False,False,False,False
P1,1,D,D,,4,160,eighth,False,False,False,False
P1,1,G,G,,4,160,eighth,False,False,False,False
P1,1,B,B,,4,160,eighth,False,False,False,False
P1,1,D,D,,5,160,eighth,False,False,False,False
P1,1,C,C,,5,160,eighth,False,False,False,False
P1,1,A,A,,4,160,eighth,False,False,False,False
P1,1,G,G,,2,960,half,False,False,False,False
P1,1,G,G,,3,960,half,False,False,False,False
P1,1,,,,,960,half,False,True,False,False
P1,2,G,G,,4,480,quarter,False,False,False,False
P1,2,G,G,,4,480,quarter,False,False,False,False
P1,2,F#,F,1,4,480,quarter,False,False,False,False
P1,2,G,G,,4,480,quarter,False,False,False,False
P1,2,,,,,480,quarter,False,True,False,False
P1,2,B,B,,3,480,quarter,False,False,False,False
P1,2,A,A,,3,480,quarter,False,False,False,False
P1,2,G,G,,3,480,quarter,False,False,False,False
P1,3,A,A,,4,720,quarter,True,False,False,False
P1,3,A,A,,4,240,eighth,False,False,False,False
P1,3,B,B,,4,720,quarter,True,False,False,False
P1,3,B,B,,4,240,eighth,False,False,False,False
P1,3,F#,F,1,3,480,quarter,False,False,False,False
P1,3,D,D,,3,480,quarter,False,False,False,False
P1,3,G,G,,3,480,quarter,False,False,False,False
P1,3,F,F,,3,480,quarter,False,False,False,False
P1,4,D,D,,5,480,quarter,False,False,False,False
P1,4,C,C,,5,480,quarter,False,False,False,False
P1,4,B,B,,4,,16th,False,False,True,False
P1,4,C,C,,5,,16th,False,False,True,False
P1,4,B,B,,4,480,quarter,False,False,False,False
P1,4,,,,,480,quarter,False,True,False,False
P1,4,E,E,,3,480,quarter,False,False,False,False
P1,4,F#,F,1,3,480,quarter,False,False,False,False
P1,4,G,G,,3,240,eighth,False,False,False,False
P1,4,G,G,,3,240,eighth,False,False,False,False
P1,4,B,B,,3,240,eighth,False,False,False,False
P1,4,D,D,,4,240,eighth,False,False,False,False
P1,5,B,B,,4,960,half,False,False,False,False
P1,5,D,D,,5,960,half,False,False,False,False
P1,5,G,G,,5,960,half,False,False,False,False
P1,5,D,D,,5,160,eighth,False,False,False,False
P1,5,G,G,,5,160,eighth,False,False,False,False
P1,5,B,B,,5,160,eighth,False,False,False,False
P1,5,D,D,,6,160,eighth,False,False,False,False
P1,5,C,C,,6,160,eighth,False,False,False,False
P1,5,A,A,,5,160,eighth,False,False,False,False
P1,5,G,G,,3,960,half,False,False,False,False
P1,5,G,G,,4,960,half,False,False,False,False
P1,5,,,,,960,half,False,True,False,False
P1,6,G,G,,5,480,quarter,False,False,False,False
P1,6,G,G,,5,480,quarter,False,False,False,False
P1,6,F#,F,1,5,480,quarter,False,False,False,False
P1,6,G,G,,5,480,quarter,False,False,False,False
P1,6,,,,,480,quarter,False,True,False,False
P1,6,B,B,,4,240,eighth,False,False,False,False
P1,6,D,D,,5,240,eighth,False,False,False,False
P1,6,A,A,,4,240,eighth,False,False,False,False
P1,6,D,D,,5,240,eighth,False,False,False,False
P1,6,G,G,,4,240,eighth,False,False,False,False
P1,6,D,D,,5,240,eighth,False,False,False,False
P1,7,A,A,,5,720,quarter,True,False,False,False
P1,7,A,A,,5,240,eighth,False,False,False,False
P1,7,B,B,,5,720,quarter,True,False,False,False
P1,7,B,B,,5,240,eighth,False,False,False,False
P1,7,F#,F,1,4,240,eighth,False,False,False,False
P1,7,D,D,,5,240,eighth,False,False,False,False
P1,7,D,D,,4,240,eighth,False,False,False,False
P1,7,D,D,,5,240,eighth,False,False,False,False
P1,7,G,G,,4,240,eighth,False,False,False,False
P1,7,D,D,,5,240,eighth,False,False,False,False
P1,7,F,F,,4,240,eighth,False,False,False,False
P1,7,D,D,,5,240,eighth,False,False,False,False
P1,8,D,D,,6,480,quarter,False,False,False,False
P1,8,C,C,,6,480,quarter,False,False,False,False
P1,8,B,B,,5,,16th,False,False,True,False
P1,8,C,C,,6,,16th,False,False,True,False
P1,8,B,B,,5,240,eighth,False,False,False,False
P1,8,C,C,,6,240,eighth,False,False,False,False
P1,8,C#,C,1,6,240,eighth,False,False,False,False
P1,8,D,D,,6,240,eighth,False,False,False,False
P1,8,E,E,,4,240,eighth,False,False,False,False
P1,8,G,G,,4,240,eighth,False,False,False,False
P1,8,F#,F,1,4,240,eighth,False,False,False,False
P1,8,A,A,,4,240,eighth,False,False,False,False
P1,8,G,G,,4,480,quarter,False,False,False,False
P1,8,,,,,480,quarter,False,True,False,False
P1,9,D#,D,1,6,240,eighth,False,False,False,False
P1,9,E,E,,6,240,eighth,False,False,False,False
P1,9,,,,,240,eighth,False,True,False,False
P1,9,E,E,,6,240,eighth,False,False,False,False
P1,9,D,D,,6,240,eighth,False,False,False,False
P1,9,C,C,,6,240,eighth,False,False,False,False
P1,9,B,B,,5,240,eighth,False,False,False,False
P1,9,A,A,,5,240,eighth,False,False,False,False
P1,9,,,,,480,quarter,False,True,False,False
P1,9,C,C,,4,480,quarter,False,False,False,False
P1,9,E,E,,4,480,quarter,False,False,False,False
P1,9,A,A,,4,480,quarter,False,False,False,False
P1,9,,,,,960,half,False,True,False,False
P1,10,C#,C,1,6,240,eighth,False,False,False,False
P1,10,D,D,,6,240,eighth,False,False,False,False
P1,10,,,,,240,eighth,False,True,False,False
P1,10,D,D,,6,240,eighth,False,False,False,False
P1,10,C,C,,6,240,eighth,False,False,False,False
P1,10,B,B,,5,240,eighth,False,False,False,False
P1,10,A,A,,5,240,eighth,False,False,False,False
P1,10,G,G,,5,240,eighth,False,False,False,False
P1,10,,,,,480,quarter,False,True,False,False
P1,10,B,B,,3,480,quarter,False,False,False,False
P1,10,D,D,,4,480,quarter,False,False,False,False
P1,10,G,G,,4,480,quarter,False,False,False,False
P1,10,,,,,960,half,False,True,False,False
P1,11,F#,F,1,5,240,eighth,False,False,False,False
P1,11,E,E,,5,240,eighth,False,False,False,False
P1,11,D,D,,5,240,eighth,False,False,False,False
P1,11,C,C,,5,240,eighth,False,False,False,False
P1,11,B,B,,4,240,eighth,False,False,False,False
P1,11,A,A,,4,240,eighth,False,False,False,False
P1,11,G,G,,4,240,eighth,False,False,False,False
P1,11,F#,F,1,4,240,eighth,False,False,False,False
P1,11,C,C,,4,480,quarter,False,False,False,False
P1,11,,,,,480,quarter,False,True,False,False
P1,11,D,D,,4,480,quarter,False,False,False,False
P1,11,,,,,480,quarter,False,True,False,False
P1,12,G,G,,4,720,quarter,True,False,False,False
P1,12,A,A,,4,240,eighth,False,False,False,False
P1,12,B,B,,4,240,eighth,False,False,False,False
P1,12,C,C,,5,240,eighth,False,False,False,False
P1,12,C#,C,1,5,240,eighth,False,False,False,False
P1,12,D,D,,5,240,eighth,False,False,False,False
P1,12,G,G,,3,480,quarter,False,False,False,False
P1,12,,,,,480,quarter,False,True,False,False
P1,12,,,,,960,half,False,True,False,False
P1,13,D#,D,1,5,240,eighth,False,False,False,False
P1,13,E,E,,5,240,eighth,False,False,False,False
P1,13,,,,,240,eighth,False,True,False,False
P1,13,E,E,,5,240,eighth,False,False,False,False
P1,13,D,D,,5,240,eighth,False,False,False,False
P1,13,C,C,,5,240,eighth,False,False,False,False
P1,13,B,B,,4,240,eighth,False,False,False,False
P1,13,A,A,,4,240,eighth,False,False,False,False
P1,13,,,,,480,quarter,False,True,False,False
P1,13,C,C,,3,480,quarter,False,False,False,False
P1,13,E,E,,3,480,quarter,False,False,False,False
P1,13,A,A,,3,480,quarter,False,False,False,False
P1,13,,,,,960,half,False,True,False,False
P1,14,D#,D,1,5,240,eighth,False,False,False,False
P1,14,E,E,,5,240,eighth,False,False,False,False
P1,14,,,,,240,eighth,False,True,False,False
P1,14,E,E,,5,240,eighth,False,False,False,False
P1,14,E,E,,5,240,eighth,False,False,False,False
P1,14,C#,C,1,5,240,eighth,False,False,False,False
P1,14,A,A,,4,240,eighth,False,False,False,False
P1,14,G,G,,4,240,eighth,False,False,False,False
P1,14,,,,,480,quarter,False,True,False,False
P1,14,C#,C,1,3,480,quarter,False,False,False,False
P1,14,E,E,,3,480,quarter,False,False,False,False
P1,14,A,A,,3,480,quarter,False,False,False,False
P1,14,,,,,960,half,False,True,False,False
P1,15,F#,F,1,4,480,quarter,False,False,False,False
P1,15,A,A,,5,160,eighth,False,False,False,False
P1,15,F#,F,1,5,160,eighth,False,False,False,False
P1,15,D,D,,5,160,eighth,False,False,False,False
P1,15,C,C,,5,480,quarter,False,False,False,False
P1,15,A,A,,5,160,eighth,False,False,False,False
P1,15,F#,F,1,5,160,eighth,False,False,False,False
P1,15,C,C,,5,160,eighth,False,False,False,False
P1,15,D,D,,3,160,eighth,False,False,False,False
P1,15,F#,F,1,3,160,eighth,False,False,False,False
P1,15,A,A,,3,160,eighth,False,False,False,False
P1,15,D,D,,3,160,eighth,False,False,False,False
P1,15,F#,F,1,3,160,eighth,False,False,False,False
P1,15,A,A,,3,160,eighth,False,False,False,False
P1,15,D,D,,3,160,eighth,False,False,False,False
P1,15,F#,F,1,3,160,eighth,False,False,False,False
P1,15,A,A,,3,160,eighth,False,False,False,False
P1,15,D,D,,3,160,eighth,False,False,False,False
