part,measure,pitch,step,alter,octave,duration,type,dotted,rest,grace,cue
P1,0,A,A,,4,120,16th,False,False,False,False
P1,0,B,B,,4,360,eighth,True,False,False,False
P1,0,C#,C,1,5,120,16th,False,False,False,False
P1,1,D,D,,5,360,eighth,True,False,False,False
P1,1,E,E,,5,120,16th,False,False,False,False
P1,1,F#,F,1,5,360,eighth,True,False,False,False
P1,1,G,G,,5,120,16th,False,False,False,False
P1,1,A,A,,5,360,eighth,True,False,False,False
P1,1,A,A,,5,120,16th,False,False,False,False
P1,2,A,A,,5,480,quarter,False,False,False,False
P1,2,F#,F,1,5,240,eighth,False,False,False,False
P1,2,,,,,120,16th,False,True,False,False
P1,2,A,A,,5,120,16th,False,False,False,False
P1,2,B,B,,5,360,eighth,True,False,False,False
P1,2,C#,C,1,6,120,16th,False,False,False,False
P1,3,D,D,,6,360,eighth,True,False,False,False
P1,3,E,E,,6,120,16th,False,False,False,False
P1,3,F#,F,1,6,360,eighth,True,False,False,False
P1,3,G,G,,6,120,16th,False,False,False,False
P1,3,A,A,,6,360,eighth,True,False,False,False
P1,3,A,A,,6,120,16th,False,False,False,False
P1,4,A,A,,6,480,quarter,False,False,False,False
P1,4,F#,F,1,6,240,eighth,False,False,False,False
P1,4,,,,,240,eighth,False,True,False,False
P1,4,,,,,480,quarter,False,True,False,False
P1,5,,,,,480,quarter,False,True,False,False
P1,5,D,D,,6,960,half,False,False,False,False
P1,6,D,D,,6,480,quarter,False,False,False,False
P1,6,C#,C,1,6,960,half,False,False,False,False
P1,7,C#,C,1,6,240,eighth,False,False,False,False
P1,7,B,B,,5,480,quarter,False,False,False,False
P1,7,A,A,,5,480,quarter,False,False,False,False
P1,7,G#,G,1,5,240,eighth,False,False,False,False
P1,8,B,B,,5,480,quarter,False,False,False,False
P1,8,A,A,,5,240,eighth,False,False,False,False
P1,8,,,,,120,16th,False,True,False,False
P1,9,C#,C,1,5,120,16th,False,False,False,False
P1,9,C#,C,1,5,360,eighth,True,False,False,False
P1,9,D,D,,5,120,16th,False,False,False,False
P1,10,E,E,,5,360,eighth,True,False,False,False
P1,10,F#,F,1,5,120,16th,False,False,False,False
P1,10,G,G,,5,360,eighth,True,False,False,False
P1,10,A,A,,5,120,16th,False,False,False,False
P1,10,B,B,,5,360,eighth,True,False,False,False
P1,10,B,B,,5,120,16th,False,False,False,False
P1,11,B,B,,5,480,quarter,False,False,False,False
P1,11,G,G,,5,240,eighth,False,False,False,False
P1,11,,,,,120,16th,False,True,False,False
P1,11,C#,C,1,5,120,16th,False,False,False,False
P1,11,C#,C,1,5,360,eighth,True,False,False,False
P1,11,D,D,,5,120,16th,False,False,False,False
P1,12,E,E,,5,360,eighth,True,False,False,False
P1,12,F#,F,1,5,120,16th,False,False,False,False
P1,12,G,G,,5,360,eighth,True,False,False,False
P1,12,A,A,,5,120,16th,False,False,False,False
P1,12,Bb,B,-1,5,360,eighth,True,False,False,False
P1,12,Bb,B,-1,5,120,16th,False,False,False,False
P1,13,Bb,B,-1,5,480,quarter,False,False,False,False
P1,13,G,G,,5,240,eighth,False,False,False,False
P1,13,,,,,240,eighth,False,True,False,False
P1,13,B,B,,5,360,eighth,True,False,False,False
P1,13,B,B,,5,120,16th,False,False,False,False
P1,14,B,B,,5,480,quarter,False,False,False,False
P1,14,G,G,,5,240,eighth,False,False,False,False
