part,measure,pitch,step,alter,octave,duration,type,dotted,rest,grace,cue
P1,1,F,F,,4,960,half,False,False,False,False
P1,1,A,A,,4,480,quarter,False,False,False,False
P1,2,A,A,,4,120,16th,False,False,False,False
P1,2,G,G,,4,120,16th,False,False,False,False
P1,2,F,F,,4,120,16th,False,False,False,False
P1,2,G,G,,4,120,16th,False,False,False,False
P1,2,F,F,,4,240,eighth,False,False,False,False
P1,2,C,C,,5,240,eighth,False,False,False,False
P1,2,D,D,,5,120,16th,False,False,False,False
P1,2,C,C,,5,120,16th,False,False,False,False
P1,2,Bb,B,-1,4,120,16th,False,False,False,False
P1,2,A,A,,4,120,16th,False,False,False,False
P1,3,G,G,,4,960,half,False,False,False,False
P1,3,Bb,B,-1,4,480,quarter,False,False,False,False
P1,4,Bb,B,-1,4,120,16th,False,False,False,False
P1,4,A,A,,4,120,16th,False,False,False,False
P1,4,G,G,,4,120,16th,False,False,False,False
P1,4,A,A,,4,120,16th,False,False,False,False
P1,4,G,G,,4,480,quarter,False,False,False,False
P1,4,,,,,480,quarter,False,True,False,False
P1,5,C,C,,5,960,half,False,False,False,False
P1,5,Bb,B,-1,4,120,16th,False,False,False,False
P1,5,A,A,,4,120,16th,False,False,False,False
P1,5,G,G,,4,120,16th,False,False,False,False
P1,5,F,F,,4,120,16th,False,False,False,False
P1,6,E,E,,4,120,16th,False,False,False,False
P1,6,G,G,,4,120,16th,False,False,False,False
P1,6,F,F,,4,120,16th,False,False,False,False
P1,6,A,A,,4,120,16th,False,False,False,False
P1,6,G,G,,4,120,16th,False,False,False,False
P1,6,Bb,B,-1,4,120,16th,False,False,False,False
P1,6,A,A,,4,120,16th,False,False,False,False
P1,6,C,C,,5,120,16th,False,False,False,False
P1,6,Bb,B,-1,4,240,eighth,False,False,False,False
P1,6,,,,,240,eighth,False,True,False,False
P1,7,A,A,,4,120,16th,False,False,False,False
P1,7,C,C,,5,120,16th,False,False,False,False
P1,7,Bb,B,-1,4,120,16th,False,False,False,False
P1,7,A,A,,4,120,16th,False,False,False,False
P1,7,Bb,B,-1,4,120,16th,False,False,False,False
P1,7,C,C,,5,120,16th,False,False,False,False
P1,7,D,D,,5,120,16th,False,False,False,False
P1,7,E,E,,5,120,16th,False,False,False,False
P1,7,F,F,,5,120,16th,False,False,False,False
P1,7,C,C,,5,120,16th,False,False,False,False
P1,7,A,A,,4,120,16th,False,False,False,False
P1,7,F,F,,4,120,16th,False,False,False,False
P1,8,E,E,,4,120,16th,False,False,False,False
P1,8,G,G,,4,120,16th,False,False,False,False
P1,8,F,F,,4,120,16th,False,False,False,False
P1,8,A,A,,4,120,16th,False,False,False,False
P1,8,G,G,,4,120,16th,False,False,False,False
P1,8,Bb,B,-1,4,120,16th,False,False,False,False
P1,8,A,A,,4,120,16th,False,False,False,False
P1,8,C,C,,5,120,16th,False,False,False,False
P1,8,Bb,B,-1,4,240,eighth,False,False,False,False
P1,8,,,,,240,eighth,False,True,False,False
P1,9,A,A,,4,240,eighth,False,False,False,False
P1,9,C,C,,5,240,eighth,False,False,False,False
P1,9,F,F,,5,240,eighth,False,False,False,False
P1,9,E,E,,5,240,eighth,False,False,False,False
P1,9,D,D,,5,240,eighth,False,False,False,False
P1,9,C,C,,5,240,eighth,False,False,False,False
P1,10,B,B,,4,960,half,False,False,False,False
P1,10,C,C,,5,240,eighth,False,False,False,False
P1,10,G,G,,4,240,eighth,False,False,False,False
P1,11,A,A,,4,240,eighth,False,False,False,False
P1,11,D,D,,5,240,eighth,False,False,False,False
P1,11,C,C,,5,480,quarter,False,False,False,False
P1,11,B,B,,4,240,eighth,False,False,False,False
P1,11,A,A,,4,120,16th,False,False,False,False
P1,11,B,B,,4,120,16th,False,False,False,False
P1,12,C,C,,5,480,quarter,False,False,False,False
P1,12,,,,,480,quarter,False,True,False,False
P1,12,,,,,480,quarter,False,True,False,False
P1,13,C,C,,5,240,eighth,False,False,False,False
P1,13,G,G,,4,240,eighth,False,False,False,False
P1,13,G,G,,4,480,quarter,False,False,False,False
P1,13,A,A,,4,480,quarter,False,False,False,False
P1,14,C,C,,5,240,eighth,False,False,False,False
P1,14,Bb,B,-1,4,240,eighth,False,False,False,False
P1,14,Bb,B,-1,4,720,quarter,True,False,False,False
P1,14,G,G,,4,240,eighth,False,False,False,False
P1,15,A,A,,4,240,eighth,False,False,False,False
P1,15,C,C,,5,240,eighth,False,False,False,False
P1,15,D,D,,5,240,eighth,False,False,False,False
P1,15,C,C,,5,240,eighth,False,False,False,False
P1,15,Bb,B,-1,4,240,eighth,False,False,False,False
P1,15,A,A,,4,240,eighth,False,False,False,False
P1,16,C,C,,5,360,eighth,True,False,False,False
P1,16,A,A,,4,120,16th,False,False,False,False
P1,16,G,G,,4,480,quarter,False,False,False,False
P1,16,,,,,480,quarter,False,True,False,False
P1,17,C,C,,5,240,eighth,False,False,False,False
P1,17,G,G,,4,240,eighth,False,False,False,False
P1,17,G,G,,4,720,quarter,True,False,False,False
P1,17,A,A,,4,240,eighth,False,False,False,False
P1,18,C,C,,5,240,eighth,False,False,False,False
P1,18,Bb,B,-1,4,240,eighth,False,False,False,False
P1,18,Bb,B,-1,4,720,quarter,True,False,False,False
P1,18,G,G,,4,240,eighth,False,False,False,False
P1,19,A,A,,4,120,16th,False,False,False,False
P1,19,C,C,,5,120,16th,False,False,False,False
P1,19,D,D,,5,120,16th,False,False,False,False
P1,19,E,E,,5,120,16th,False,False,False,False
P1,19,F,F,,5,120,16th,False,False,False,False
P1,19,G,G,,5,120,16th,False,False,False,False
P1,19,A,A,,5,120,16th,False,False,False,False
P1,19,Bb,B,-1,5,120,16th,False,False,False,False
P1,19,C,C,,6,360,eighth,True,False,False,False
P1,19,A,A,,4,120,16th,False,False,False,False
P1,20,C,C,,5,360,eighth,True,False,False,False
P1,20,A,A,,4,120,16th,False,False,False,False
P1,20,G,G,,4,480,quarter,False,False,False,False
P1,20,,,,,480,quarter,False,True,False,False
P1,21,C,C,,5,960,half,False,False,False,False
P1,21,Bb,B,-1,4,120,16th,False,False,False,False
P1,21,A,A,,4,120,16th,False,False,False,False
P1,21,G,G,,4,120,16th,False,False,False,False
P1,21,F,F,,4,120,16th,False,False,False,False
P1,22,E,E,,4,120,16th,False,False,False,False
P1,22,G,G,,4,120,16th,False,False,False,False
P1,22,F,F,,4,120,16th,False,False,False,False
P1,22,A,A,,4,120,16th,False,False,False,False
P1,22,G,G,,4,120,16th,False,False,False,False
P1,22,Bb,B,-1,4,120,16th,False,False,False,False
P1,22,A,A,,4,120,16th,False,False,False,False
P1,22,C,C,,5,120,16th,False,False,False,False
P1,22,Bb,B,-1,4,240,eighth,False,False,False,False
P1,22,,,,,240,eighth,False,True,False,False
P1,23,A,A,,4,120,16th,False,False,False,False
P1,23,C,C,,5,120,16th,False,False,False,False
P1,23,D,D,,5,120,16th,False,False,False,False
P1,23,C,C,,5,120,16th,False,False,False,False
P1,23,F,F,,5,120,16th,False,False,False,False
P1,23,E,E,,5,120,16th,False,False,False,False
P1,23,D,D,,5,120,16th,False,False,False,False
P1,23,C,C,,5,120,16th,False,False,False,False
P1,23,Bb,B,-1,4,120,16th,False,False,False,False
P1,23,A,A,,4,120,16th,False,False,False,False
P1,23,G,G,,4,120,16th,False,False,False,False
P1,23,F,F,,4,120,16th,False,False,False,False
P1,24,E,E,,4,120,16th,False,False,False,False
P1,24,G,G,,4,120,16th,False,False,False,False
P1,24,F,F,,4,120,16th,False,False,False,False
P1,24,A,A,,4,120,16th,False,False,False,False
P1,24,G,G,,4,120,16th,False,False,False,False
P1,24,Bb,B,-1,4,120,16th,False,False,False,False
P1,24,A,A,,4,120,16th,False,False,False,False
P1,24,C,C,,5,120,16th,False,False,False,False
P1,24,Bb,B,-1,4,240,eighth,False,False,False,False
P1,24,,,,,240,eighth,False,True,False,False
P1,25,A,A,,4,1440,half,True,False,False,False
P1,26,Bb,B,-1,4,120,16th,False,False,False,False
P1,26,C,C,,5,120,16th,False,False,False,False
P1,26,Bb,B,-1,4,120,16th,False,False,False,False
P1,26,C,C,,5,120,16th,False,False,False,False
P1,26,D,D,,5,120,16th,False,False,False,False
P1,26,E,E,,5,120,16th,False,False,False,False
P1,26,D,D,,5,120,16th,False,False,False,False
P1,26,E,E,,5,120,16th,False,False,False,False
P1,26,F,F,,5,240,eighth,False,False,False,False
P1,26,,,,,120,16th,False,True,False,False
P1,26,C,C,,5,120,16th,False,False,False,False
P1,27,E,E,,5,120,16th,False,False,False,False
P1,27,D,D,,5,120,16th,False,False,False,False
P1,27,C,C,,5,120,16th,False,False,False,False
P1,27,Bb,B,-1,4,120,16th,False,False,False,False
P1,27,A,A,,4,480,quarter,False,False,False,False
P1,27,G,G,,4,480,quarter,False,False,False,False
P1,28,F,F,,4,480,quarter,False,False,False,False
P1,28,,,,,480,quarter,False,True,False,False
P1,28,,,,,480,quarter,False,True,False,False
P1,29,F,F,,4,480,quarter,False,False,False,False
P1,29,,,,,480,quarter,False,True,False,False
P1,29,,,,,480,quarter,False,True,False,False
P2,1,F,F,,3,480,quarter,False,False,False,False
P2,1,A,A,,3,480,quarter,False,False,False,False
P2,1,F,F,,3,480,quarter,False,False,False,False
P2,2,C,C,,4,480,quarter,False,False,False,False
P2,2,A,A,,3,480,quarter,False,False,False,False
P2,2,,,,,480,quarter,False,True,False,False
P2,3,C,C,,4,480,quarter,False,False,False,False
P2,3,E,E,,4,480,quarter,False,False,False,False
P2,3,C,C,,4,480,quarter,False,False,False,False
P2,4,F,F,,4,480,quarter,False,False,False,False
P2,4,C,C,,4,240,eighth,False,False,False,False
P2,4,C,C,,4,240,eighth,False,False,False,False
P2,4,E,E,,4,240,eighth,False,False,False,False
P2,4,C,C,,4,240,eighth,False,False,False,False
P2,5,F,F,,4,480,quarter,False,False,False,False
P2,5,F,F,,3,480,quarter,False,False,False,False
P2,5,A,A,,3,480,quarter,False,False,False,False
P2,6,C,C,,4,480,quarter,False,False,False,False
P2,6,,,,,480,quarter,False,True,False,False
P2,6,,,,,120,16th,False,True,False,False
P2,6,C,C,,4,120,16th,False,False,False,False
P2,6,D,D,,4,120,16th,False,False,False,False
P2,6,E,E,,4,120,16th,False,False,False,False
P2,7,F,F,,4,720,quarter,True,False,False,False
P2,7,C,C,,4,240,eighth,False,False,False,False
P2,7,A,A,,3,240,eighth,False,False,False,False
P2,7,F,F,,3,240,eighth,False,False,False,False
P2,8,C,C,,4,480,quarter,False,False,False,False
P2,8,,,,,480,quarter,False,True,False,False
P2,8,,,,,120,16th,False,True,False,False
P2,8,C,C,,4,120,16th,False,False,False,False
P2,8,D,D,,4,120,16th,False,False,False,False
P2,8,E,E,,4,120,16th,False,False,False,False
P2,9,F,F,,4,1440,half,True,False,False,False
P2,10,F,F,,4,240,eighth,False,False,False,False
P2,10,D,D,,4,240,eighth,False,False,False,False
P2,10,G,G,,4,240,eighth,False,False,False,False
P2,10,F,F,,4,240,eighth,False,False,False,False
P2,10,E,E,,4,480,quarter,False,False,False,False
P2,11,F,F,,4,480,quarter,False,False,False,False
P2,11,G,G,,4,480,quarter,False,False,False,False
P2,11,G,G,,3,480,quarter,False,False,False,False
P2,12,C,C,,4,480,quarter,False,False,False,False
P2,12,C,C,,5,480,quarter,False,False,False,False
