part,measure,pitch,step,alter,octave,duration,type,dotted,rest,grace,cue
P1,1,C,C,,4,480,quarter,False,False,False,False
P1,1,E,E,,4,480,quarter,False,False,False,False
P1,1,C,C,,4,240,eighth,False,False,False,False
P1,1,E,E,,4,240,eighth,False,False,False,False
P1,1,C,C,,4,240,eighth,False,False,False,False
P1,1,E,E,,4,240,eighth,False,False,False,False
P1,1,C,C,,4,480,quarter,False,False,False,False
P1,1,E,E,,4,480,quarter,False,False,False,False
P1,1,C,C,,4,240,eighth,False,False,False,False
P1,1,E,E,,4,240,eighth,False,False,False,False
P1,1,C,C,,4,240,eighth,False,False,False,False
P1,1,E,E,,4,240,eighth,False,False,False,False
P1,1,E,E,,3,480,quarter,False,False,False,False
P1,1,G,G,,3,480,quarter,False,False,False,False
P1,1,E,E,,3,240,eighth,False,False,False,False
P1,1,G,G,,3,240,eighth,False,False,False,False
P1,1,E,E,,3,240,eighth,False,False,False,False
P1,1,G,G,,3,240,eighth,False,False,False,False
P1,1,E,E,,3,480,quarter,False,False,False,False
P1,1,G,G,,3,480,quarter,False,False,False,False
P1,1,E,E,,3,240,eighth,False,False,False,False
P1,1,G,G,,3,240,eighth,False,False,False,False
P1,1,E,E,,3,240,eighth,False,False,False,False
P1,1,G,G,,3,240,eighth,False,False,False,False
P1,1,C,C,,2,480,quarter,False,False,False,False
P1,1,G,G,,2,480,quarter,False,False,False,False
P1,1,C,C,,3,480,quarter,False,False,False,False
P1,1,C,C,,2,240,eighth,False,False,False,False
P1,1,G,G,,2,240,eighth,False,False,False,False
P1,1,C,C,,3,240,eighth,False,False,False,False
P1,1,C,C,,2,240,eighth,False,False,False,False
P1,1,G,G,,2,240,eighth,False,False,False,False
P1,1,C,C,,3,240,eighth,False,False,False,False
P1,1,C,C,,2,480,quarter,False,False,False,False
P1,1,G,G,,2,480,quarter,False,False,False,False
P1,1,C,C,,3,480,quarter,False,False,False,False
P1,1,C,C,,2,240,eighth,False,False,False,False
P1,1,G,G,,2,240,eighth,False,False,False,False
P1,1,C,C,,3,240,eighth,False,False,False,False
P1,1,C,C,,2,240,eighth,False,False,False,False
P1,1,G,G,,2,240,eighth,False,False,False,False
P1,1,C,C,,3,240,eighth,False,False,False,False
P1,2,C,C,,4,240,eighth,False,False,False,False
P1,2,E,E,,4,240,eighth,False,False,False,False
P1,2,,,,,240,eighth,False,True,False,False
P1,2,,,,,480,quarter,False,True,False,False
P1,2,B,B,,3,480,quarter,False,False,False,False
P1,2,B,B,,4,480,quarter,False,False,False,False
P1,2,C,C,,4,240,eighth,False,False,False,False
P1,2,C,C,,5,240,eighth,False,False,False,False
P1,2,C,C,,4,240,eighth,False,False,False,False
P1,2,C,C,,5,240,eighth,False,False,False,False
P1,2,E,E,,3,240,eighth,False,False,False,False
P1,2,G,G,,3,240,eighth,False,False,False,False
P1,2,,,,,240,eighth,False,True,False,False
P1,2,,,,,480,quarter,False,True,False,False
P1,2,,,,,960,half,False,True,False,False
P1,2,C,C,,2,240,eighth,False,False,False,False
P1,2,G,G,,2,240,eighth,False,False,False,False
P1,2,C,C,,3,240,eighth,False,False,False,False
P1,2,C,C,,3,120,16th,False,False,False,False
P1,2,E,E,,3,120,16th,False,False,False,False
P1,2,G,G,,3,120,16th,False,False,False,False
P1,2,C,C,,4,120,16th,False,False,False,False
P1,2,E,E,,4,120,16th,False,False,False,False
P1,2,G,G,,4,120,16th,False,False,False,False
P1,2,,,,,960,half,False,True,False,False
P1,3,F,F,,4,480,quarter,False,False,False,False
P1,3,G,G,,4,480,quarter,False,False,False,False
P1,3,B,B,,4,480,quarter,False,False,False,False
P1,3,C#,C,1,5,480,quarter,False,False,False,False
P1,3,F,F,,4,480,quarter,False,False,False,False
P1,3,G,G,,4,480,quarter,False,False,False,False
P1,3,B,B,,4,480,quarter,False,False,False,False
P1,3,D,D,,5,480,quarter,False,False,False,False
P1,3,,,,,960,half,False,True,False,False
P1,3,G,G,,1,480,quarter,False,False,False,False
P1,3,G,G,,2,480,quarter,False,False,False,False
P1,3,G,G,,2,480,quarter,False,False,False,False
P1,3,G,G,,3,480,quarter,False,False,False,False
P1,3,,,,,960,half,False,True,False,False
P1,3,,,,,1920,whole,False,True,False,False
P1,4,D,D,,4,480,quarter,False,False,False,False
P1,4,D,D,,4,240,eighth,False,False,False,False
P1,4,D,D,,4,240,eighth,False,False,False,False
P1,4,D,D,,4,480,quarter,False,False,False,False
P1,4,D,D,,4,240,eighth,False,False,False,False
P1,4,D,D,,4,240,eighth,False,False,False,False
P1,4,F,F,,3,480,quarter,False,False,False,False
P1,4,G,G,,3,480,quarter,False,False,False,False
P1,4,B,B,,3,480,quarter,False,False,False,False
P1,4,F,F,,3,240,eighth,False,False,False,False
P1,4,G,G,,3,240,eighth,False,False,False,False
P1,4,B,B,,3,240,eighth,False,False,False,False
P1,4,F,F,,3,240,eighth,False,False,False,False
P1,4,G,G,,3,240,eighth,False,False,False,False
P1,4,B,B,,3,240,eighth,False,False,False,False
P1,4,F,F,,3,480,quarter,False,False,False,False
P1,4,G,G,,3,480,quarter,False,False,False,False
P1,4,B,B,,3,480,quarter,False,False,False,False
P1,4,F,F,,3,240,eighth,False,False,False,False
P1,4,G,G,,3,240,eighth,False,False,False,False
P1,4,B,B,,3,240,eighth,False,False,False,False
P1,4,F,F,,3,240,eighth,False,False,False,False
P1,4,G,G,,3,240,eighth,False,False,False,False
P1,4,B,B,,3,240,eighth,False,False,False,False
P1,4,G,G,,1,480,quarter,False,False,False,False
P1,4,G,G,,2,480,quarter,False,False,False,False
P1,4,G,G,,1,240,eighth,False,False,False,False
P1,4,G,G,,2,240,eighth,False,False,False,False
P1,4,G,G,,1,240,eighth,False,False,False,False
P1,4,G,G,,2,240,eighth,False,False,False,False
P1,4,G,G,,1,480,quarter,False,False,False,False
P1,4,G,G,,2,480,quarter,False,False,False,False
P1,4,G,G,,1,240,eighth,False,False,False,False
P1,4,G,G,,2,240,eighth,False,False,False,False
P1,4,G,G,,1,240,eighth,False,False,False,False
P1,4,G,G,,2,240,eighth,False,False,False,False
P1,5,D,D,,4,240,eighth,False,False,False,False
P1,5,,,,,240,eighth,False,True,False,False
P1,5,,,,,480,quarter,False,True,False,False
P1,5,C#,C,1,4,480,quarter,False,False,False,False
P1,5,C#,C,1,5,480,quarter,False,False,False,False
P1,5,D,D,,4,240,eighth,False,False,False,False
P1,5,D,D,,5,240,eighth,False,False,False,False
P1,5,D,D,,4,240,eighth,False,False,False,False
P1,5,D,D,,5,240,eighth,False,False,False,False
P1,5,F,F,,3,240,eighth,False,False,False,False
P1,5,G,G,,3,240,eighth,False,False,False,False
P1,5,B,B,,3,240,eighth,False,False,False,False
P1,5,,,,,240,eighth,False,True,False,False
P1,5,,,,,480,quarter,False,True,False,False
P1,5,,,,,960,half,False,True,False,False
P1,5,G,G,,1,240,eighth,False,False,False,False
P1,5,G,G,,2,240,eighth,False,False,False,False
P1,5,G,G,,3,120,16th,False,False,False,False
P1,5,B,B,,3,120,16th,False,False,False,False
P1,5,D,D,,4,120,16th,False,False,False,False
P1,5,F,F,,4,120,16th,False,False,False,False
P1,5,G,G,,4,120,16th,False,False,False,False
P1,5,B,B,,4,120,16th,False,False,False,False
P1,5,,,,,960,half,False,True,False,False
P1,6,D#,D,1,4,480,quarter,False,False,False,False
P1,6,G,G,,4,480,quarter,False,False,False,False
P1,6,C,C,,5,480,quarter,False,False,False,False
P1,6,D#,D,1,5,480,quarter,False,False,False,False
P1,6,E,E,,4,480,quarter,False,False,False,False
P1,6,G,G,,4,480,quarter,False,False,False,False
P1,6,C,C,,5,480,quarter,False,False,False,False
P1,6,E,E,,5,480,quarter,False,False,False,False
P1,6,,,,,240,eighth,False,True,False,False
P1,6,G,G,,3,120,16th,False,False,False,False
P1,6,C,C,,4,120,16th,False,False,False,False
P1,6,E,E,,4,120,16th,False,False,False,False
P1,6,G,G,,4,120,16th,False,False,False,False
P1,6,C,C,,5,120,16th,False,False,False,False
P1,6,E,E,,5,120,16th,False,False,False,False
P1,6,C,C,,2,480,quarter,False,False,False,False
P1,6,G,G,,2,480,quarter,False,False,False,False
P1,6,C,C,,3,480,quarter,False,False,False,False
P1,6,C,C,,3,480,quarter,False,False,False,False
P1,6,G,G,,3,480,quarter,False,False,False,False
P1,6,C,C,,4,480,quarter,False,False,False,False
P1,6,,,,,960,half,False,True,False,False
P1,7,G,G,,4,480,quarter,False,False,False,False
P1,7,E,E,,5,480,quarter,False,False,False,False
P1,7,G,G,,5,480,quarter,False,False,False,False
P1,7,G,G,,4,240,eighth,False,False,False,False
P1,7,E,E,,5,240,eighth,False,False,False,False
P1,7,G,G,,5,240,eighth,False,False,False,False
P1,7,G,G,,4,240,eighth,False,False,False,False
P1,7,E,E,,5,240,eighth,False,False,False,False
P1,7,G,G,,5,240,eighth,False,False,False,False
P1,7,G,G,,4,720,quarter,True,False,False,False
P1,7,E,E,,5,720,quarter,True,False,False,False
P1,7,G,G,,5,720,quarter,True,False,False,False
P1,7,G,G,,4,240,eighth,False,False,False,False
P1,7,E,E,,5,240,eighth,False,False,False,False
P1,7,G,G,,5,240,eighth,False,False,False,False
P1,7,C,C,,2,960,half,False,False,False,False
P1,7,C,C,,3,960,half,False,False,False,False
P1,7,B,B,,1,480,quarter,False,False,False,False
P1,7,B,B,,2,480,quarter,False,False,False,False
P1,7,B,B,,2,240,eighth,False,False,False,False
P1,7,B,B,,3,240,eighth,False,False,False,False
P1,7,B,B,,2,240,eighth,False,False,False,False
P1,7,B,B,,3,240,eighth,False,False,False,False
P1,8,C,C,,5,480,quarter,False,False,False,False
P1,8,G,G,,5,480,quarter,False,False,False,False
P1,8,C,C,,6,480,quarter,False,False,False,False
P1,8,C,C,,5,240,eighth,False,False,False,False
P1,8,F#,F,1,5,240,eighth,False,False,False,False
P1,8,C,C,,6,240,eighth,False,False,False,False
P1,8,C,C,,5,240,eighth,False,False,False,False
P1,8,F#,F,1,5,240,eighth,False,False,False,False
P1,8,C,C,,6,240,eighth,False,False,False,False
P1,8,B,B,,4,240,eighth,False,False,False,False
P1,8,G,G,,5,240,eighth,False,False,False,False
P1,8,B,B,,5,240,eighth,False,False,False,False
P1,8,G,G,,3,120,16th,False,False,False,False
P1,8,C,C,,4,120,16th,False,False,False,False
P1,8,E,E,,4,120,16th,False,False,False,False
P1,8,G,G,,4,120,16th,False,False,False,False
P1,8,C,C,,5,120,16th,False,False,False,False
P1,8,E,E,,5,120,16th,False,False,False,False
P1,8,A,A,,2,480,quarter,False,False,False,False
P1,8,A,A,,3,480,quarter,False,False,False,False
P1,8,D,D,,2,480,quarter,False,False,False,False
P1,8,D,D,,3,480,quarter,False,False,False,False
P1,8,G,G,,2,240,eighth,False,False,False,False
P1,8,G,G,,3,240,eighth,False,False,False,False
P1,8,,,,,240,eighth,False,True,False,False
P1,8,,,,,480,quarter,False,True,False,False
P1,9,G,G,,4,480,quarter,False,False,False,False
P1,9,E,E,,5,480,quarter,False,False,False,False
P1,9,G,G,,5,480,quarter,False,False,False,False
P1,9,G,G,,4,240,eighth,False,False,False,False
P1,9,E,E,,5,240,eighth,False,False,False,False
P1,9,G,G,,5,240,eighth,False,False,False,False
P1,9,G,G,,4,240,eighth,False,False,False,False
P1,9,E,E,,5,240,eighth,False,False,False,False
P1,9,G,G,,5,240,eighth,False,False,False,False
P1,9,G,G,,4,720,quarter,True,False,False,False
P1,9,E,E,,5,720,quarter,True,False,False,False
P1,9,G,G,,5,720,quarter,True,False,False,False
P1,9,G,G,,4,240,eighth,False,False,False,False
P1,9,E,E,,5,240,eighth,False,False,False,False
P1,9,G,G,,5,240,eighth,False,False,False,False
P1,9,C,C,,2,960,half,False,False,False,False
P1,9,C,C,,3,960,half,False,False,False,False
P1,9,B,B,,1,480,quarter,False,False,False,False
P1,9,B,B,,2,480,quarter,False,False,False,False
P1,9,B,B,,2,240,eighth,False,False,False,False
P1,9,B,B,,3,240,eighth,False,False,False,False
P1,9,B,B,,2,240,eighth,False,False,False,False
P1,9,B,B,,3,240,eighth,False,False,False,False
P1,10,C,C,,5,480,quarter,False,False,False,False
P1,10,G,G,,5,480,quarter,False,False,False,False
P1,10,C,C,,6,480,quarter,False,False,False,False
P1,10,C,C,,5,240,eighth,False,False,False,False
P1,10,F#,F,1,5,240,eighth,False,False,False,False
P1,10,C,C,,6,240,eighth,False,False,False,False
P1,10,C,C,,5,240,eighth,False,False,False,False
P1,10,F#,F,1,5,240,eighth,False,False,False,False
P1,10,C,C,,6,240,eighth,False,False,False,False
P1,10,B,B,,4,240,eighth,False,False,False,False
P1,10,G,G,,5,240,eighth,False,False,False,False
P1,10,B,B,,5,240,eighth,False,False,False,False
P1,10,C,C,,4,120,16th,False,False,False,False
P1,10,F,F,,4,120,16th,False,False,False,False
P1,10,A,A,,4,120,16th,False,False,False,False
P1,10,C,C,,5,120,16th,False,False,False,False
P1,10,F,F,,5,120,16th,False,False,False,False
P1,10,A,A,,5,120,16th,False,False,False,False
P1,10,A,A,,2,480,quarter,False,False,False,False
P1,10,A,A,,3,480,quarter,False,False,False,False
P1,10,D,D,,2,480,quarter,False,False,False,False
P1,10,D,D,,3,480,quarter,False,False,False,False
P1,10,G,G,,2,240,eighth,False,False,False,False
P1,10,G,G,,3,240,eighth,False,False,False,False
P1,10,,,,,240,eighth,False,True,False,False
P1,10,,,,,480,quarter,False,True,False,False
P1,10,,,,,1920,whole,False,True,False,False
P1,11,C,C,,5,480,quarter,False,False,False,False
P1,11,A,A,,5,480,quarter,False,False,False,False
P1,11,C,C,,6,480,quarter,False,False,False,False
P1,11,C,C,,5,240,eighth,False,False,False,False
P1,11,A,A,,5,240,eighth,False,False,False,False
P1,11,C,C,,6,240,eighth,False,False,False,False
P1,11,C,C,,5,240,eighth,False,False,False,False
P1,11,A,A,,5,240,eighth,False,False,False,False
P1,11,C,C,,6,240,eighth,False,False,False,False
P1,11,C,C,,5,720,quarter,True,False,False,False
P1,11,A,A,,5,720,quarter,True,False,False,False
P1,11,C,C,,6,720,quarter,True,False,False,False
P1,11,C,C,,5,240,eighth,False,False,False,False
P1,11,A,A,,5,240,eighth,False,False,False,False
P1,11,C,C,,6,240,eighth,False,False,False,False
P1,11,F,F,,2,960,half,False,False,False,False
P1,11,F,F,,3,960,half,False,False,False,False
P1,11,E,E,,2,480,quarter,False,False,False,False
P1,11,E,E,,3,480,quarter,False,False,False,False
P1,11,E,E,,3,240,eighth,False,False,False,False
P1,11,E,E,,4,240,eighth,False,False,False,False
P1,11,E,E,,3,240,eighth,False,False,False,False
P1,11,E,E,,4,240,eighth,False,False,False,False
P1,11,,,,,1920,whole,False,True,False,False
P1,12,F,F,,5,480,quarter,False,False,False,False
P1,12,C,C,,6,480,quarter,False,False,False,False
P1,12,F,F,,6,480,quarter,False,False,False,False
P1,12,F,F,,5,240,eighth,False,False,False,False
P1,12,B,B,,5,240,eighth,False,False,False,False
P1,12,F,F,,6,240,eighth,False,False,False,False
P1,12,F,F,,5,240,eighth,False,False,False,False
P1,12,B,B,,5,240,eighth,False,False,False,False
P1,12,F,F,,6,240,eighth,False,False,False,False
P1,12,E,E,,5,480,quarter,False,False,False,False
P1,12,B,B,,5,480,quarter,False,False,False,False
P1,12,E,E,,6,480,quarter,False,False,False,False
P1,12,E,E,,5,480,quarter,False,False,False,False
P1,12,A,A,,5,480,quarter,False,False,False,False
P1,12,E,E,,6,480,quarter,False,False,False,False
P1,12,D,D,,3,480,quarter,False,False,False,False
P1,12,D,D,,4,480,quarter,False,False,False,False
P1,12,G,G,,2,480,quarter,False,False,False,False
P1,12,G,G,,3,480,quarter,False,False,False,False
P1,12,C,C,,3,480,quarter,False,False,False,False
P1,12,C,C,,4,480,quarter,False,False,False,False
P1,12,F,F,,2,240,eighth,False,False,False,False
P1,12,F,F,,3,240,eighth,False,False,False,False
P1,12,F,F,,2,240,eighth,False,False,False,False
P1,12,F,F,,3,240,eighth,False,False,False,False
P1,12,,,,,1920,whole,False,True,False,False
P1,13,D,D,,5,480,quarter,False,False,False,False
P1,13,A,A,,5,480,quarter,False,False,False,False
P1,13,D,D,,6,480,quarter,False,False,False,False
P1,13,D,D,,5,240,eighth,False,False,False,False
P1,13,G#,G,1,5,240,eighth,False,False,False,False
P1,13,D,D,,6,240,eighth,False,False,False,False
P1,13,D,D,,5,240,eighth,False,False,False,False
P1,13,G#,G,1,5,240,eighth,False,False,False,False
P1,13,D,D,,6,240,eighth,False,False,False,False
P1,13,C,C,,5,480,quarter,False,False,False,False
P1,13,A,A,,5,480,quarter,False,False,False,False
P1,13,C,C,,6,480,quarter,False,False,False,False
P1,13,A,A,,4,480,quarter,False,False,False,False
P1,13,C,C,,5,480,quarter,False,False,False,False
P1,13,A,A,,5,480,quarter,False,False,False,False
P1,13,B,B,,2,480,quarter,False,False,False,False
P1,13,B,B,,3,480,quarter,False,False,False,False
P1,13,E,E,,2,480,quarter,False,False,False,False
P1,13,E,E,,3,480,quarter,False,False,False,False
P1,13,A,A,,2,480,quarter,False,False,False,False
P1,13,A,A,,3,480,quarter,False,False,False,False
P1,13,,,,,480,quarter,False,True,False,False
P1,13,,,,,480,quarter,False,True,False,False
P1,13,,,,,480,quarter,False,True,False,False
P1,13,,,,,480,quarter,False,True,False,False
P1,13,A,A,,1,240,eighth,False,False,False,False
P1,13,A,A,,2,240,eighth,False,False,False,False
P1,13,G,G,,1,240,eighth,False,False,False,False
P1,13,G,G,,2,240,eighth,False,False,False,False
P1,14,A,A,,4,120,16th,False,False,False,False
P1,14,E,E,,5,120,16th,False,False,False,False
P1,14,A,A,,5,120,16th,False,False,False,False
P1,14,A,A,,4,120,16th,False,False,False,False
P1,14,E,E,,5,120,16th,False,False,False,False
P1,14,A,A,,5,120,16th,False,False,False,False
P1,14,A,A,,4,120,16th,False,False,False,False
P1,14,E,E,,5,120,16th,False,False,False,False
P1,14,A,A,,5,120,16th,False,False,False,False
P1,14,A,A,,4,120,16th,False,False,False,False
P1,14,E,E,,5,120,16th,False,False,False,False
P1,14,A,A,,5,120,16th,False,False,False,False
P1,14,A,A,,4,120,16th,False,False,False,False
P1,14,E,E,,5,120,16th,False,False,False,False
P1,14,A,A,,5,120,16th,False,False,False,False
P1,14,A,A,,4,120,16th,False,False,False,False
P1,14,E,E,,5,120,16th,False,False,False,False
P1,14,A,A,,5,120,16th,False,False,False,False
P1,14,A,A,,4,120,16th,False,False,False,False
P1,14,E,E,,5,120,16th,False,False,False,False
P1,14,A,A,,5,120,16th,False,False,False,False
P1,14,A,A,,4,120,16th,False,False,False,False
P1,14,E,E,,5,120,16th,False,False,False,False
P1,14,A,A,,5,120,16th,False,False,False,False
P1,14,,,,,1920,whole,False,True,False,False
P1,14,F,F,,1,120,16th,False,False,False,False
P1,14,F,F,,2,120,16th,False,False,False,False
P1,14,F,F,,1,120,16th,False,False,False,False
