part,measure,pitch,step,alter,octave,duration,type,dotted,rest,grace,cue
P1,1,,,,,1920,,False,True,False,False
P1,2,,,,,1920,,False,True,False,False
P1,3,,,,,1920,,False,True,False,False
P1,4,,,,,1920,,False,True,False,False
P1,5,,,,,1920,,False,True,False,False
P1,6,,,,,1920,,False,True,False,False
P1,7,,,,,1920,,False,True,False,False
P1,8,G#,G,1,4,960,half,False,False,False,False
P1,8,F#,F,1,4,480,quarter,False,False,False,False
P1,8,B,B,,4,480,quarter,False,False,False,False
P1,8,G#,G,1,3,160,eighth,False,False,False,False
P1,8,B,B,,3,160,eighth,False,False,False,False
P1,8,E,E,,4,160,eighth,False,False,False,False
P1,8,G#,G,1,3,160,eighth,False,False,False,False
P1,8,B,B,,3,160,eighth,False,False,False,False
P1,8,E,E,,4,160,eighth,False,False,False,False
P1,8,A,A,,3,160,eighth,False,False,False,False
P1,8,B,B,,3,160,eighth,False,False,False,False
P1,8,D#,D,1,4,160,eighth,False,False,False,False
P1,8,A,A,,3,160,eighth,False,False,False,False
P1,8,B,B,,3,160,eighth,False,False,False,False
P1,8,D#,D,1,4,160,eighth,False,False,False,False
P1,8,B,B,,1,960,half,False,False,False,False
P1,8,B,B,,2,960,half,False,False,False,False
P1,8,B,B,,1,960,half,False,False,False,False
P1,8,B,B,,2,960,half,False,False,False,False
P1,9,E,E,,4,480,quarter,False,False,False,False
P1,9,,,,,480,quarter,False,True,False,False
P1,9,,,,,960,half,False,True,False,False
P1,9,G#,G,1,3,160,eighth,False,False,False,False
P1,9,B,B,,3,160,eighth,False,False,False,False
P1,9,E,E,,4,160,eighth,False,False,False,False
P1,9,G#,G,1,3,160,eighth,False,False,False,False
P1,9,B,B,,3,160,eighth,False,False,False,False
P1,9,E,E,,4,160,eighth,False,False,False,False
P1,9,G#,G,1,3,160,eighth,False,False,False,False
P1,9,B,B,,3,160,eighth,False,False,False,False
P1,9,E,E,,4,160,eighth,False,False,False,False
P1,9,G#,G,1,3,160,eighth,False,False,False,False
P1,9,B,B,,3,160,eighth,False,False,False,False
P1,9,E,E,,4,160,eighth,False,False,False,False
P1,9,E,E,,2,1920,whole,False,False,False,False
P1,9,E,E,,3,1920,whole,False,False,False,False
P1,10,,,,,960,half,False,True,False,False
P1,10,,,,,480,quarter,False,True,False,False
P1,10,G,G,,4,360,eighth,True,False,False,False
P1,10,G,G,,4,120,16th,False,False,False,False
P1,10,G,G,,3,160,eighth,False,False,False,False
P1,10,B,B,,3,160,eighth,False,False,False,False
P1,10,E,E,,4,160,eighth,False,False,False,False
P1,10,G,G,,3,160,eighth,False,False,False,False
P1,10,B,B,,3,160,eighth,False,False,False,False
P1,10,E,E,,4,160,eighth,False,False,False,False
P1,10,G,G,,3,160,eighth,False,False,False,False
P1,10,B,B,,3,160,eighth,False,False,False,False
P1,10,E,E,,4,160,eighth,False,False,False,False
P1,10,G,G,,3,160,eighth,False,False,False,False
P1,10,B,B,,3,160,eighth,False,False,False,False
P1,10,E,E,,4,160,eighth,False,False,False,False
P1,10,E,E,,2,1920,whole,False,False,False,False
P1,10,E,E,,3,1920,whole,False,False,False,False
P1,11,G,G,,4,1440,half,True,False,False,False
P1,11,G,G,,4,360,eighth,True,False,False,False
P1,11,G,G,,4,120,16th,False,False,False,False
P1,11,G,G,,3,160,eighth,False,False,False,False
P1,11,B,B,,3,160,eighth,False,False,False,False
P1,11,F,F,,4,160,eighth,False,False,False,False
P1,11,G,G,,3,160,eighth,False,False,False,False
P1,11,B,B,,3,160,eighth,False,False,False,False
P1,11,F,F,,4,160,eighth,False,False,False,False
P1,11,G,G,,3,160,eighth,False,False,False,False
P1,11,B,B,,3,160,eighth,False,False,False,False
P1,11,F,F,,4,160,eighth,False,False,False,False
P1,11,G,G,,3,160,eighth,False,False,False,False
P1,11,B,B,,3,160,eighth,False,False,False,False
P1,11,F,F,,4,160,eighth,False,False,False,False
P1,11,D,D,,2,1920,whole,False,False,False,False
P1,11,D,D,,3,1920,whole,False,False,False,False
P1,12,G,G,,4,1440,half,True,False,False,False
P1,12,F#,F,1,4,480,quarter,False,False,False,False
P1,12,G,G,,3,160,eighth,False,False,False,False
P1,12,C,C,,4,160,eighth,False,False,False,False
P1,12,E,E,,4,160,eighth,False,False,False,False
P1,12,G,G,,3,160,eighth,False,False,False,False
P1,12,B,B,,3,160,eighth,False,False,False,False
P1,12,E,E,,4,160,eighth,False,False,False,False
P1,12,G,G,,3,160,eighth,False,False,False,False
P1,12,C#,C,1,4,160,eighth,False,False,False,False
P1,12,E,E,,4,160,eighth,False,False,False,False
P1,12,F#,F,1,3,160,eighth,False,False,False,False
P1,12,C#,C,1,4,160,eighth,False,False,False,False
P1,12,E,E,,4,160,eighth,False,False,False,False
P1,12,C,C,,2,480,quarter,False,False,False,False
P1,12,C,C,,3,480,quarter,False,False,False,False
P1,12,B,B,,1,480,quarter,False,False,False,False
P1,12,B,B,,2,480,quarter,False,False,False,False
P1,12,A#,A,1,1,960,half,False,False,False,False
P1,12,A#,A,1,2,960,half,False,False,False,False
P1,13,F#,F,1,4,960,half,False,False,False,False
