part,measure,pitch,step,alter,octave,duration,type,dotted,rest,grace,cue
P1,1,C,C,,4,960,half,False,False,False,False
P1,1,E,E,,4,960,half,False,False,False,False
P1,1,B,B,,3,120,16th,False,False,False,False
P1,1,D,D,,4,120,16th,False,False,False,False
P1,1,C,C,,4,120,16th,False,False,False,False
P1,1,E,E,,4,120,16th,False,False,False,False
P1,1,B,B,,3,120,16th,False,False,False,False
P1,1,D,D,,4,120,16th,False,False,False,False
P1,1,C,C,,4,120,16th,False,False,False,False
P1,1,E,E,,4,120,16th,False,False,False,False
P1,1,D,D,,4,240,eighth,False,False,False,False
P1,1,F,F,,4,240,eighth,False,False,False,False
P1,1,C,C,,4,240,eighth,False,False,False,False
P1,1,E,E,,4,240,eighth,False,False,False,False
P1,1,,,,,1920,whole,False,True,False,False
P1,1,C,C,,3,1920,whole,False,False,False,False
P1,1,G,G,,3,1920,whole,False,False,False,False
P1,1,,,,,1920,whole,False,True,False,False
P1,2,B,B,,3,480,quarter,False,False,False,False
P1,2,D,D,,4,480,quarter,False,False,False,False
P1,2,B,B,,3,480,quarter,False,False,False,False
P1,2,G,G,,4,480,quarter,False,False,False,False
P1,2,,,,,960,half,False,True,False,False
P1,2,,,,,1920,whole,False,True,False,False
P1,2,G,G,,2,480,quarter,False,False,False,False
P1,2,G,G,,3,480,quarter,False,False,False,False
P1,2,G,G,,2,480,quarter,False,False,False,False
P1,2,G,G,,3,480,quarter,False,False,False,False
P1,2,,,,,960,half,False,True,False,False
P1,2,,,,,1920,whole,False,True,False,False
P1,3,D,D,,4,960,half,False,False,False,False
P1,3,F,F,,4,960,half,False,False,False,False
P1,3,C#,C,1,4,120,16th,False,False,False,False
P1,3,E,E,,4,120,16th,False,False,False,False
P1,3,D,D,,4,120,16th,False,False,False,False
P1,3,F,F,,4,120,16th,False,False,False,False
P1,3,C#,C,1,4,120,16th,False,False,False,False
P1,3,E,E,,4,120,16th,False,False,False,False
P1,3,D,D,,4,120,16th,False,False,False,False
P1,3,F,F,,4,120,16th,False,False,False,False
P1,3,E,E,,4,240,eighth,False,False,False,False
P1,3,G,G,,4,240,eighth,False,False,False,False
P1,3,D,D,,4,240,eighth,False,False,False,False
P1,3,F,F,,4,240,eighth,False,False,False,False
P1,3,,,,,1920,whole,False,True,False,False
P1,3,G,G,,2,1920,whole,False,False,False,False
P1,3,B,B,,3,1920,whole,False,False,False,False
P1,3,,,,,1920,whole,False,True,False,False
P1,4,C,C,,4,480,quarter,False,False,False,False
P1,4,E,E,,4,480,quarter,False,False,False,False
P1,4,E,E,,4,480,quarter,False,False,False,False
P1,4,C,C,,5,480,quarter,False,False,False,False
P1,4,,,,,960,half,False,True,False,False
P1,4,,,,,1920,whole,False,True,False,False
P1,4,C,C,,3,480,quarter,False,False,False,False
P1,4,G,G,,3,480,quarter,False,False,False,False
P1,4,C,C,,3,480,quarter,False,False,False,False
P1,4,G,G,,3,480,quarter,False,False,False,False
P1,4,,,,,960,half,False,True,False,False
P1,4,,,,,1920,whole,False,True,False,False
P1,5,C,C,,5,960,half,False,False,False,False
P1,5,B,B,,4,120,16th,False,False,False,False
P1,5,C,C,,5,120,16th,False,False,False,False
P1,5,B,B,,4,120,16th,False,False,False,False
P1,5,C,C,,5,120,16th,False,False,False,False
P1,5,D,D,,5,240,eighth,False,False,False,False
P1,5,B,B,,4,240,eighth,False,False,False,False
P1,5,E,E,,4,960,half,False,False,False,False
P1,5,F,F,,4,960,half,False,False,False,False
P1,5,G,G,,3,1920,whole,False,False,False,False
P1,5,,,,,480,quarter,False,True,False,False
P1,5,C,C,,3,480,quarter,False,False,False,False
P1,5,D,D,,3,480,quarter,False,False,False,False
P1,5,G,G,,2,480,quarter,False,False,False,False
P1,6,G,G,,4,480,quarter,False,False,False,False
P1,6,C,C,,5,480,quarter,False,False,False,False
P1,6,B,B,,4,120,16th,False,False,False,False
P1,6,C,C,,5,120,16th,False,False,False,False
P1,6,B,B,,4,120,16th,False,False,False,False
P1,6,C,C,,5,120,16th,False,False,False,False
P1,6,D,D,,5,240,eighth,False,False,False,False
P1,6,B,B,,4,240,eighth,False,False,False,False
P1,6,,,,,480,quarter,False,True,False,False
P1,6,E,E,,4,480,quarter,False,False,False,False
P1,6,F,F,,4,960,half,False,False,False,False
P1,6,G,G,,3,480,quarter,False,False,False,False
P1,6,G,G,,3,1440,half,True,False,False,False
P1,6,,,,,480,quarter,False,True,False,False
P1,6,C,C,,3,480,quarter,False,False,False,False
P1,6,D,D,,3,480,quarter,False,False,False,False
P1,6,G,G,,2,480,quarter,False,False,False,False
P1,7,G,G,,4,480,quarter,False,False,False,False
P1,7,C,C,,5,480,quarter,False,False,False,False
P1,7,D,D,,4,480,quarter,False,False,False,False
P1,7,A,A,,4,480,quarter,False,False,False,False
P1,7,,,,,480,quarter,False,True,False,False
P1,7,,,,,480,quarter,False,True,False,False
P1,7,C,C,,4,960,half,False,False,False,False
P1,7,G,G,,3,960,half,False,False,False,False
P1,7,A,A,,3,960,half,False,False,False,False
P1,7,E,E,,3,480,quarter,False,False,False,False
P1,7,C,C,,3,480,quarter,False,False,False,False
P1,7,F,F,,3,480,quarter,False,False,False,False
P1,7,D,D,,3,480,quarter,False,False,False,False
P1,8,D,D,,4,480,quarter,False,False,False,False
P1,8,G,G,,4,480,quarter,False,False,False,False
P1,8,E,E,,4,480,quarter,False,False,False,False
P1,8,,,,,480,quarter,False,True,False,False
P1,8,B,B,,3,960,half,False,False,False,False
P1,8,C,C,,4,480,quarter,False,False,False,False
P1,8,,,,,480,quarter,False,True,False,False
P1,8,,,,,1920,whole,False,True,False,False
P1,8,G,G,,3,480,quarter,False,False,False,False
P1,8,G,G,,2,480,quarter,False,False,False,False
P1,8,C,C,,3,160,eighth,False,False,False,False
P1,8,G,G,,3,160,eighth,False,False,False,False
P1,8,F#,F,1,3,160,eighth,False,False,False,False
P1,8,F,F,,3,160,eighth,False,False,False,False
P1,8,E,E,,3,160,eighth,False,False,False,False
P1,8,D,D,,3,160,eighth,False,False,False,False
P1,9,,,,,480,quarter,False,True,False,False
P1,9,G,G,,4,960,half,False,False,False,False
