part,measure,pitch,step,alter,octave,duration,type,dotted,rest,grace,cue
P1,1,E,E,,4,720,quarter,True,False,False,False
P1,1,D#,D,1,4,240,eighth,False,False,False,False
P1,1,E,E,,4,480,quarter,False,False,False,False
P1,1,G,G,,3,1440,half,True,False,False,False
P1,1,B,B,,3,1440,half,True,False,False,False
P1,1,E,E,,3,720,quarter,True,False,False,False
P1,1,D#,D,1,3,240,eighth,False,False,False,False
P1,1,E,E,,3,480,quarter,False,False,False,False
P1,1,E,E,,3,720,quarter,True,False,False,False
P1,1,,,,,720,quarter,True,True,False,False
P1,2,E,E,,4,720,quarter,True,False,False,False
P1,2,D#,D,1,4,240,eighth,False,False,False,False
P1,2,E,E,,4,480,quarter,False,False,False,False
P1,2,G,G,,3,1440,half,True,False,False,False
P1,2,C,C,,4,1440,half,True,False,False,False
P1,2,E,E,,3,720,quarter,True,False,False,False
P1,2,D#,D,1,3,240,eighth,False,False,False,False
P1,2,E,E,,3,480,quarter,False,False,False,False
P1,2,C,C,,3,1440,half,True,False,False,False
P1,3,G,G,,4,1440,half,True,False,False,False
P1,3,A#,A,1,3,1440,half,True,False,False,False
P1,3,C#,C,1,4,1440,half,True,False,False,False
P1,3,G,G,,3,1440,half,True,False,False,False
P1,3,A#,A,1,2,1440,half,True,False,False,False
P1,4,G,G,,4,480,quarter,False,False,False,False
P1,4,F#,F,1,4,240,eighth,False,False,False,False
P1,4,E,E,,4,240,eighth,False,False,False,False
P1,4,D#,D,1,4,240,eighth,False,False,False,False
P1,4,F#,F,1,4,240,eighth,False,False,False,False
P1,4,A,A,,3,1440,half,True,False,False,False
P1,4,C,C,,4,1440,half,True,False,False,False
P1,4,G,G,,3,480,quarter,False,False,False,False
P1,4,F#,F,1,3,240,eighth,False,False,False,False
P1,4,E,E,,3,240,eighth,False,False,False,False
P1,4,D#,D,1,3,240,eighth,False,False,False,False
P1,4,F#,F,1,3,240,eighth,False,False,False,False
P1,4,A,A,,2,1440,half,True,False,False,False
P1,5,B,B,,3,480,quarter,False,False,False,False
P1,5,E,E,,4,480,quarter,False,False,False,False
P1,5,B,B,,3,480,quarter,False,False,False,False
P1,5,F#,F,1,4,480,quarter,False,False,False,False
P1,5,B,B,,3,480,quarter,False,False,False,False
P1,5,G,G,,4,480,quarter,False,False,False,False
P1,5,,,,,1440,half,True,True,False,False
P1,5,G,G,,2,480,quarter,False,False,False,False
P1,5,E,E,,3,480,quarter,False,False,False,False
P1,5,F#,F,1,2,480,quarter,False,False,False,False
P1,5,D#,D,1,3,480,quarter,False,False,False,False
P1,5,E,E,,2,480,quarter,False,False,False,False
P1,5,E,E,,3,480,quarter,False,False,False,False
P1,5,,,,,1440,half,True,True,False,False
P1,6,B,B,,4,480,quarter,False,False,False,False
P1,6,A,A,,4,480,quarter,False,False,False,False
P1,6,G,G,,4,480,quarter,False,False,False,False
P1,6,F#,F,1,4,960,half,False,False,False,False
P1,6,E,E,,4,480,quarter,False,False,False,False
P1,6,D#,D,1,2,960,half,False,False,False,False
P1,6,B,B,,2,960,half,False,False,False,False
P1,6,E,E,,2,480,quarter,False,False,False,False
P1,6,B,B,,2,480,quarter,False,False,False,False
P1,6,,,,,960,half,False,True,False,False
P1,6,,,,,480,quarter,False,True,False,False
P1,7,F#,F,1,4,960,half,False,False,False,False
P1,7,A,A,,4,240,eighth,False,False,False,False
P1,7,G,G,,4,240,eighth,False,False,False,False
P1,7,D#,D,1,4,960,half,False,False,False,False
P1,7,E,E,,4,480,quarter,False,False,False,False
P1,7,B,B,,2,960,half,False,False,False,False
P1,7,A#,A,1,2,480,quarter,False,False,False,False
P1,7,B,B,,1,1440,half,True,False,False,False
P1,8,F#,F,1,4,480,quarter,False,False,False,False
