part,measure,pitch,step,alter,octave,duration,type,dotted,rest,grace,cue
P1,0,G,G,,4,360,eighth,True,False,False,False
P1,0,Ab,A,-1,4,120,16th,False,False,False,False
P1,1,Bb,B,-1,4,240,eighth,False,False,False,False
P1,1,A,A,,4,240,eighth,False,False,False,False
P1,1,Bb,B,-1,4,240,eighth,False,False,False,False
P1,1,Ab,A,-1,4,240,eighth,False,False,False,False
P1,1,G,G,,4,240,eighth,False,False,False,False
P1,1,F,F,,4,240,eighth,False,False,False,False
P1,2,Eb,E,-1,4,720,quarter,True,False,False,False
P1,2,G,G,,4,240,eighth,False,False,False,False
P1,2,Bb,B,-1,4,240,eighth,False,False,False,False
P1,2,Eb,E,-1,5,240,eighth,False,False,False,False
P1,3,Eb,E,-1,5,240,eighth,False,False,False,False
P1,3,D,D,,5,240,eighth,False,False,False,False
P1,3,D,D,,5,480,quarter,False,False,False,False
P1,3,Eb,E,-1,5,480,quarter,False,False,False,False
P1,4,E,E,,5,480,quarter,False,False,False,False
P1,4,F,F,,5,480,quarter,False,False,False,False
P1,4,E,E,,5,240,eighth,False,False,False,False
P1,4,F,F,,5,240,eighth,False,False,False,False
P1,5,G,G,,5,240,eighth,False,False,False,False
P1,5,F,F,,5,240,eighth,False,False,False,False
P1,5,Eb,E,-1,5,240,eighth,False,False,False,False
P1,5,D,D,,5,240,eighth,False,False,False,False
P1,5,C,C,,5,240,eighth,False,False,False,False
P1,5,Bb,B,-1,4,240,eighth,False,False,False,False
P1,6,Ab,A,-1,4,240,eighth,False,False,False,False
P1,6,G,G,,4,240,eighth,False,False,False,False
P1,6,G,G,,4,240,eighth,False,False,False,False
P1,6,Bb,B,-1,4,240,eighth,False,False,False,False
P1,6,Ab,A,-1,4,240,eighth,False,False,False,False
P1,6,F,F,,4,240,eighth,False,False,False,False
P1,7,G,G,,4,,eighth,False,False,True,False
P1,7,F,F,,4,240,eighth,False,False,False,False
P1,7,Eb,E,-1,4,240,eighth,False,False,False,False
P1,7,Eb,E,-1,4,240,eighth,False,False,False,False
P1,7,G,G,,4,240,eighth,False,False,False,False
P1,7,F,F,,4,240,eighth,False,False,False,False
P1,7,D,D,,4,240,eighth,False,False,False,False
P1,8,Eb,E,-1,4,480,quarter,False,False,False,False
P1,8,,,,,480,quarter,False,True,False,False
P1,9,Bb,B,-1,4,360,eighth,True,False,False,False
P1,9,Eb,E,-1,5,120,16th,False,False,False,False
P1,10,Eb,E,-1,5,240,eighth,False,False,False,False
P1,10,D,D,,5,240,eighth,False,False,False,False
P1,10,D,D,,5,480,quarter,False,False,False,False
P1,10,Eb,E,-1,5,480,quarter,False,False,False,False
P1,11,G,G,,5,240,eighth,False,False,False,False
P1,11,F,F,,5,240,eighth,False,False,False,False
P1,11,Eb,E,-1,5,240,eighth,False,False,False,False
P1,11,D,D,,5,240,eighth,False,False,False,False
P1,11,C,C,,5,240,eighth,False,False,False,False
P1,11,Bb,B,-1,4,240,eighth,False,False,False,False
P1,12,Eb,E,-1,5,240,eighth,False,False,False,False
P1,12,D,D,,5,240,eighth,False,False,False,False
P1,12,D,D,,5,480,quarter,False,False,False,False
P1,12,Eb,E,-1,5,480,quarter,False,False,False,False
P1,13,G,G,,5,240,eighth,False,False,False,False
P1,13,F,F,,5,240,eighth,False,False,False,False
P1,13,Eb,E,-1,5,240,eighth,False,False,False,False
P1,13,D,D,,5,240,eighth,False,False,False,False
P1,13,C,C,,5,240,eighth,False,False,False,False
P1,13,B,B,,4,240,eighth,False,False,False,False
P1,14,A,A,,5,240,eighth,False,False,False,False
P1,14,G,G,,5,240,eighth,False,False,False,False
P1,14,F,F,,5,240,eighth,False,False,False,False
P1,14,Eb,E,-1,5,240,eighth,False,False,False,False
P1,14,D,D,,5,240,eighth,False,False,False,False
P1,14,C,C,,5,240,eighth,False,False,False,False
P1,15,F,F,,5,240,eighth,False,False,False,False
P1,15,Eb,E,-1,5,240,eighth,False,False,False,False
P1,15,D,D,,5,240,eighth,False,False,False,False
P1,15,C,C,,5,240,eighth,False,False,False,False
P1,15,Bb,B,-1,4,240,eighth,False,False,False,False
P1,15,A,A,,4,240,eighth,False,False,False,False
P1,16,C,C,,5,240,eighth,False,False,False,False
P1,16,Bb,B,-1,4,240,eighth,False,False,False,False
