part,measure,pitch,step,alter,octave,duration,type,dotted,rest,grace,cue
P1,1,A,A,,3,480,quarter,False,False,False,False
P1,1,E,E,,4,480,quarter,False,False,False,False
P1,1,C#,C,1,5,480,quarter,False,False,False,False
P1,1,A,A,,5,480,quarter,False,False,False,False
P1,1,,,,,480,quarter,False,True,False,False
P1,1,,,,,960,half,False,True,False,False
P1,1,,,,,1920,whole,False,True,False,False
P1,2,,,,,1920,whole,False,True,False,False
P1,2,,,,,1920,whole,False,True,False,False
P1,3,E,E,,4,960,half,False,False,False,False
P1,3,D#,D,1,4,960,half,False,False,False,False
P1,3,,,,,1920,whole,False,True,False,False
P1,4,E,E,,4,960,half,False,False,False,False
P1,4,A,A,,4,960,half,False,False,False,False
P1,4,,,,,1920,whole,False,True,False,False
P1,5,B,B,,4,,16th,False,False,True,False
P1,5,C#,C,1,5,,16th,False,False,True,False
P1,5,D,D,,5,960,half,False,False,False,False
P1,5,C#,C,1,5,480,quarter,False,False,False,False
P1,5,B,B,,4,480,quarter,False,False,False,False
P1,5,E,E,,4,1920,whole,False,False,False,False
P1,6,B,B,,4,960,half,False,False,False,False
P1,6,C#,C,1,5,480,quarter,False,False,False,False
P1,6,,,,,480,quarter,False,True,False,False
P1,6,E,E,,4,1440,half,True,False,False,False
P1,6,,,,,480,quarter,False,True,False,False
P1,7,C#,C,1,5,960,half,False,False,False,False
P1,7,B#,B,1,4,960,half,False,False,False,False
P1,7,,,,,1920,whole,False,True,False,False
P1,8,C#,C,1,5,960,half,False,False,False,False
P1,8,E,E,,5,960,half,False,False,False,False
P1,8,,,,,1920,whole,False,True,False,False
P1,9,G#,G,1,4,960,half,False,False,False,False
P1,9,A,A,,4,480,quarter,False,False,False,False
P1,9,B,B,,4,480,quarter,False,False,False,False
P1,9,,,,,1920,whole,False,True,False,False
P1,10,B,B,,4,960,half,False,False,False,False
P1,10,C#,C,1,5,480,quarter,False,False,False,False
P1,10,,,,,480,quarter,False,True,False,False
P1,10,,,,,1920,whole,False,True,False,False
P1,11,,,,,1920,whole,False,True,False,False
P1,12,,,,,1920,whole,False,True,False,False
P1,13,,,,,1920,whole,False,True,False,False
P1,14,F,F,,4,960,half,False,False,False,False
P1,14,F,F,,4,160,eighth,False,False,False,False
P1,14,A,A,,4,160,eighth,False,False,False,False
P1,14,C,C,,5,160,eighth,False,False,False,False
P1,14,F,F,,5,160,eighth,False,False,False,False
P1,14,A,A,,5,160,eighth,False,False,False,False
P1,14,C,C,,6,160,eighth,False,False,False,False
P1,15,F,F,,6,480,quarter,False,False,False,False
P1,15,,,,,480,quarter,False,True,False,False
P1,15,,,,,960,half,False,True,False,False
P1,16,,,,,1920,whole,False,True,False,False
P1,17,C,C,,5,1920,whole,False,False,False,False
P1,17,E,E,,5,1920,whole,False,False,False,False
P1,18,C,C,,5,960,half,False,False,False,False
P1,18,E,E,,5,960,half,False,False,False,False
P1,18,C,C,,5,480,quarter,False,False,False,False
P1,18,F,F,,5,480,quarter,False,False,False,False
P1,18,,,,,480,quarter,False,True,False,False
P1,19,A,A,,3,960,half,False,False,False,False
P1,19,A,A,,3,160,eighth,False,False,False,False
P1,19,C,C,,4,160,eighth,False,False,False,False
P1,19,F,F,,4,160,eighth,False,False,False,False
P1,19,A,A,,4,160,eighth,False,False,False,False
P1,19,C,C,,5,160,eighth,False,False,False,False
P1,19,F,F,,5,160,eighth,False,False,False,False
P1,20,A,A,,5,480,quarter,False,False,False,False
P1,20,,,,,480,quarter,False,True,False,False
P1,20,,,,,960,half,False,True,False,False
P1,21,A,A,,3,960,half,False,False,False,False
P1,21,A,A,,3,160,eighth,False,False,False,False
P1,21,C,C,,4,160,eighth,False,False,False,False
P1,21,F,F,,4,160,eighth,False,False,False,False
P1,21,A,A,,4,160,eighth,False,False,False,False
P1,21,C,C,,5,160,eighth,False,False,False,False
P1,21,F,F,,5,160,eighth,False,False,False,False
P1,22,A,A,,5,480,quarter,False,False,False,False
P1,22,,,,,480,quarter,False,True,False,False
P1,22,,,,,960,half,False,True,False,False
P1,23,E,E,,4,960,half,False,False,False,False
P1,23,E,E,,4,160,eighth,False,False,False,False
P1,23,A,A,,4,160,eighth,False,False,False,False
P1,23,C#,C,1,5,160,eighth,False,False,False,False
P1,23,E,E,,5,160,eighth,False,False,False,False
P1,23,A,A,,5,160,eighth,False,False,False,False
P1,23,C#,C,1,6,160,eighth,False,False,False,False
P1,24,E,E,,6,960,half,False,False,False,False
P1,24,D,D,,6,480,quarter,False,False,False,False
P1,24,B,B,,5,480,quarter,False,False,False,False
P1,25,A,A,,3,480,quarter,False,False,False,False
P1,25,E,E,,4,480,quarter,False,False,False,False
P1,25,C#,C,1,5,480,quarter,False,False,False,False
P1,25,A,A,,5,480,quarter,False,False,False,False
P1,25,,,,,480,quarter,False,True,False,False
P1,25,,,,,960,half,False,True,False,False
P1,26,,,,,1920,whole,False,True,False,False
P1,27,E,E,,5,960,half,False,False,False,False
P1,27,D#,D,1,5,960,half,False,False,False,False
P1,28,E,E,,5,960,half,False,False,False,False
P1,28,C#,C,1,6,480,quarter,False,False,False,False
P1,28,B,B,,5,240,eighth,False,False,False,False
P1,28,A,A,,5,240,eighth,False,False,False,False
P1,29,A,A,,5,960,half,False,False,False,False
P1,29,G#,G,1,5,480,quarter,False,False,False,False
P1,29,,,,,480,quarter,False,True,False,False
P1,30,,,,,1920,whole,False,True,False,False
P1,31,E,E,,5,960,half,False,False,False,False
P1,31,F#,F,1,5,960,half,False,False,False,False
P1,32,E,E,,5,960,half,False,False,False,False
P1,32,D,D,,6,480,quarter,False,False,False,False
P1,32,C#,C,1,6,240,eighth,False,False,False,False
P1,32,B,B,,5,240,eighth,False,False,False,False
P1,33,B,B,,5,960,half,False,False,False,False
P1,33,C#,C,1,6,480,quarter,False,False,False,False
P1,33,,,,,480,quarter,False,True,False,False
P1,34,,,,,960,half,False,True,False,False
P1,34,C#,C,1,6,480,quarter,False,False,False,False
P1,34,B,B,,5,240,eighth,False,False,False,False
P1,34,A,A,,5,240,eighth,False,False,False,False
P1,35,A,A,,5,480,quarter,False,False,False,False
P1,35,F#,F,1,5,240,eighth,False,False,False,False
P1,35,,,,,240,eighth,False,True,False,False
P1,35,C#,C,1,6,480,quarter,False,False,False,False
P1,35,B,B,,5,240,eighth,False,False,False,False
P1,35,A,A,,5,240,eighth,False,False,False,False
P1,36,A,A,,5,480,quarter,False,False,False,False
P1,36,F#,F,1,5,240,eighth,False,False,False,False
P1,36,,,,,240,eighth,False,True,False,False
P1,36,F#,F,1,5,480,quarter,False,False,False,False
P1,36,G#,G,1,5,240,eighth,False,False,False,False
P1,36,A,A,,5,240,eighth,False,False,False,False
P1,37,A,A,,5,480,quarter,False,False,False,False
P1,37,C#,C,1,5,240,eighth,False,False,False,False
P1,37,,,,,240,eighth,False,True,False,False
P1,37,E,E,,5,480,quarter,False,False,False,False
P1,37,G#,G,1,4,240,eighth,False,False,False,False
P1,37,,,,,240,eighth,False,True,False,False
P1,38,A,A,,3,49152,half,False,False,False,False
P1,38,A,A,,3,8192,eighth,False,False,False,False
P1,38,C#,C,1,4,8192,eighth,False,False,False,False
P1,38,E,E,,4,8192,eighth,False,False,False,False
P1,38,A,A,,4,8192,eighth,False,False,False,False
P1,38,C#,C,1,5,8192,eighth,False,False,False,False
P1,38,E,E,,5,8192,eighth,False,False,False,False
P1,39,B,B,,5,24576,quarter,False,False,False,False
P1,39,A,A,,5,12288,eighth,False,False,False,False
P1,39,,,,,12288,eighth,False,True,False,False
P1,39,,,,,49152,half,False,True,False,False
P1,40,,,,,3,whole,False,True,False,False
P1,40A,,,,,3,whole,False,True,False,False
P1,40B,E,E,,4,49152,half,False,False,False,False
P1,42A,E,E,,4,8192,eighth,False,False,False,False
P1,42B,G#,G,1,4,8192,eighth,False,False,False,False
P1,42C,B,B,,4,8192,eighth,False,False,False,False
P1,43A,E,E,,5,8192,eighth,False,False,False,False
P1,43B,G#,G,1,5,8192,eighth,False,False,False,False
P1,43C,B,B,,5,8192,eighth,False,False,False,False
P1,44A,F#,F,1,6,24576,quarter,False,False,False,False
P1,45A,E,E,,6,12288,eighth,False,False,False,False
P1,45B,,,,,12288,eighth,False,True,False,False
P1,46A,,,,,49152,half,False,True,False,False
P1,52,,,,,1920,whole,False,True,False,False
P1,52A,,,,,1920,whole,False,True,False,False
P1,53,A,A,,4,960,half,False,False,False,False
P1,53,A,A,,4,160,eighth,False,False,False,False
P1,53,C#,C,1,5,160,eighth,False,False,False,False
P1,53,E,E,,5,160,eighth,False,False,False,False
P1,53,A,A,,5,160,eighth,False,False,False,False
P1,53,C#,C,1,6,160,eighth,False,False,False,False
P1,53,E,E,,6,160,eighth,False,False,False,False
P1,54,B,B,,6,480,quarter,False,False,False,False
P1,54,A,A,,6,240,eighth,False,False,False,False
P1,54,,,,,240,eighth,False,True,False,False
P1,54,,,,,480,quarter,False,True,False,False
P1,54,E#,E,1,5,480,quarter,False,False,False,False
P1,55,F#,F,1,5,160,eighth,False,False,False,False
P1,55,A,A,,5,160,eighth,False,False,False,False
P1,55,F#,F,1,5,160,eighth,False,False,False,False
P1,55,D,D,,5,160,eighth,False,False,False,False
P1,55,F#,F,1,5,160,eighth,False,False,False,False
P1,55,D,D,,5,160,eighth,False,False,False,False
P1,55,A,A,,4,240,eighth,False,False,False,False
P1,55,,,,,240,eighth,False,True,False,False
P1,55,E#,E,1,5,480,quarter,False,False,False,False
P1,56,F#,F,1,5,160,eighth,False,False,False,False
P1,56,A,A,,5,160,eighth,False,False,False,False
P1,56,F#,F,1,5,160,eighth,False,False,False,False
P1,56,D,D,,5,160,eighth,False,False,False,False
P1,56,F#,F,1,5,160,eighth,False,False,False,False
P1,56,D,D,,5,160,eighth,False,False,False,False
P1,56,A,A,,4,240,eighth,False,False,False,False
P1,56,,,,,240,eighth,False,True,False,False
P1,56,E#,E,1,5,480,quarter,False,False,False,False
P1,56A,F#,F,1,5,480,quarter,False,False,False,False
P1,56A,F#,F,1,6,480,quarter,False,False,False,False
P1,56A,,,,,960,half,False,True,False,False
P1,57,D,D,,4,160,eighth,False,False,False,False
P1,57,F#,F,1,4,160,eighth,False,False,False,False
P1,57,F#,F,1,4,160,eighth,False,False,False,False
P1,57,F#,F,1,4,160,eighth,False,False,False,False
P1,57,A,A,,4,160,eighth,False,False,False,False
P1,57,A,A,,4,160,eighth,False,False,False,False
P1,57,A,A,,4,160,eighth,False,False,False,False
P1,57,D,D,,5,160,eighth,False,False,False,False
P1,57,D,D,,5,160,eighth,False,False,False,False
P1,57,D,D,,5,160,eighth,False,False,False,False
P1,57,F#,F,1,5,160,eighth,False,False,False,False
P1,57,F#,F,1,5,160,eighth,False,False,False,False
P1,58,A,A,,5,1920,whole,False,False,False,False
P1,59,A,A,,4,1920,whole,False,False,False,False
P1,59,C,C,,5,1920,whole,False,False,False,False
P1,60,A,A,,5,160,eighth,False,False,False,False
P1,60,C,C,,6,160,eighth,False,False,False,False
P1,60,A,A,,5,160,eighth,False,False,False,False
P1,60,D#,D,1,5,160,eighth,False,False,False,False
P1,60,A,A,,5,160,eighth,False,False,False,False
P1,60,D#,D,1,5,160,eighth,False,False,False,False
P1,60,C,C,,5,160,eighth,False,False,False,False
P1,60,D#,D,1,5,160,eighth,False,False,False,False
P1,60,C,C,,5,160,eighth,False,False,False,False
P1,60,A,A,,4,160,eighth,False,False,False,False
P1,60,C,C,,5,160,eighth,False,False,False,False
P1,60,A,A,,4,160,eighth,False,False,False,False
P1,61,G#,G,1,3,1920,whole,False,False,False,False
P1,61,G,G,,4,1920,whole,False,False,False,False
P1,62,D,D,,5,160,eighth,False,False,False,False
P1,62,F,F,,5,160,eighth,False,False,False,False
P1,62,D,D,,5,160,eighth,False,False,False,False
P1,62,B,B,,4,160,eighth,False,False,False,False
P1,62,D,D,,5,160,eighth,False,False,False,False
P1,62,B,B,,4,160,eighth,False,False,False,False
P1,62,F,F,,4,160,eighth,False,False,False,False
P1,62,B,B,,4,160,eighth,False,False,False,False
P1,62,F,F,,4,160,eighth,False,False,False,False
P1,62,D,D,,4,160,eighth,False,False,False,False
P1,62,F,F,,4,160,eighth,False,False,False,False
P1,62,D,D,,4,160,eighth,False,False,False,False
P1,63,G#,G,1,3,480,quarter,False,False,False,False
P1,63,E,E,,5,960,half,False,False,False,False
P1,63,E,E,,5,480,quarter,False,False,False,False
P1,64,E,E,,5,960,half,False,False,False,False
P1,64,E#,E,1,5,480,quarter,False,False,False,False
P1,64,F#,F,1,5,480,quarter,False,False,False,False
P1,65,A,A,,4,960,half,False,False,False,False
P1,65,C#,C,1,5,720,quarter,True,False,False,False
P1,65,B,B,,4,240,eighth,False,False,False,False
P1,66,D,D,,5,160,eighth,False,False,False,False
P1,66,F,F,,5,160,eighth,False,False,False,False
P1,66,D,D,,5,160,eighth,False,False,False,False
P1,66,B,B,,4,160,eighth,False,False,False,False
P1,66,D,D,,5,160,eighth,False,False,False,False
P1,66,B,B,,4,160,eighth,False,False,False,False
P1,66,F,F,,4,160,eighth,False,False,False,False
P1,66,B,B,,4,160,eighth,False,False,False,False
P1,66,F,F,,4,160,eighth,False,False,False,False
P1,66,D,D,,4,160,eighth,False,False,False,False
P1,66,F,F,,4,160,eighth,False,False,False,False
P1,66,D,D,,4,160,eighth,False,False,False,False
P1,67,G#,G,1,3,480,quarter,False,False,False,False
P1,67,E,E,,5,960,half,False,False,False,False
P1,67,E,E,,5,480,quarter,False,False,False,False
P1,68,E,E,,5,480,quarter,False,False,False,False
P1,68,A,A,,5,480,quarter,False,False,False,False
P1,68,B#,B,1,5,480,quarter,False,False,False,False
P1,68,C#,C,1,6,480,quarter,False,False,False,False
P1,69,E,E,,5,480,quarter,False,False,False,False
P1,69,G#,G,1,5,480,quarter,False,False,False,False
P1,69,B,B,,5,720,quarter,True,False,False,False
P1,69,D#,D,1,5,240,eighth,False,False,False,False
P1,70,E,E,,5,480,quarter,False,False,False,False
P1,70,,,,,480,quarter,False,True,False,False
P1,70,,,,,960,half,False,True,False,False
P1,71,F#,F,1,5,1440,half,True,False,False,False
P1,71,B,B,,5,480,quarter,False,False,False,False
P1,72,F##,F,2,5,24576,quarter,False,False,False,False
P1,72,G#,G,1,5,24576,quarter,False,False,False,False
P1,72,,,,,49152,half,False,True,False,False
P1,73,F#,F,1,5,49152,half,False,False,False,False
P1,73,F#,F,1,5,12288,eighth,False,False,False,False
