part,measure,pitch,step,alter,octave,duration,type,dotted,rest,grace,cue
P1,1,,,,,480,quarter,False,True,False,False
P1,1,C,C,,5,840,quarter,True,False,False,False
P1,1,Eb,E,-1,5,120,16th,False,False,False,False
P1,1,C,C,,3,1440,half,True,False,False,False
P1,1,Eb,E,-1,3,1440,half,True,False,False,False
P1,1,G,G,,3,1440,half,True,False,False,False
P1,2,D,D,,5,240,eighth,False,False,False,False
P1,2,,,,,240,eighth,False,True,False,False
P1,2,G,G,,4,720,quarter,True,False,False,False
P1,2,G,G,,4,48,32nd,False,False,False,False
P1,2,A,A,,4,48,32nd,False,False,False,False
P1,2,B,B,,4,48,32nd,False,False,False,False
P1,2,C,C,,5,48,32nd,False,False,False,False
P1,2,D,D,,5,48,32nd,False,False,False,False
P1,2,B,B,,2,1440,half,True,False,False,False
P1,2,D,D,,3,1440,half,True,False,False,False
P1,2,G,G,,3,1440,half,True,False,False,False
P1,3,E,E,,5,240,eighth,False,False,False,False
P1,3,,,,,240,eighth,False,True,False,False
P1,3,E,E,,5,840,quarter,True,False,False,False
P1,3,G,G,,5,120,16th,False,False,False,False
P1,3,Bb,B,-1,2,1440,half,True,False,False,False
P1,3,C,C,,3,1440,half,True,False,False,False
P1,3,E,E,,3,1440,half,True,False,False,False
P1,3,G,G,,3,1440,half,True,False,False,False
P1,4,F,F,,5,240,eighth,False,False,False,False
P1,4,,,,,240,eighth,False,True,False,False
P1,4,F,F,,4,720,quarter,True,False,False,False
P1,4,C,C,,5,60,32nd,False,False,False,False
P1,4,D,D,,5,60,32nd,False,False,False,False
P1,4,E,E,,5,60,32nd,False,False,False,False
P1,4,F,F,,5,60,32nd,False,False,False,False
P1,4,A,A,,2,1440,half,True,False,False,False
P1,4,C,C,,3,1440,half,True,False,False,False
P1,4,F,F,,3,1440,half,True,False,False,False
P1,5,F#,F,1,5,240,eighth,False,False,False,False
P1,5,,,,,240,eighth,False,True,False,False
P1,5,F#,F,1,4,720,quarter,True,False,False,False
P1,5,C,C,,5,60,32nd,False,False,False,False
P1,5,D,D,,5,60,32nd,False,False,False,False
P1,5,Eb,E,-1,5,60,32nd,False,False,False,False
P1,5,F#,F,1,5,60,32nd,False,False,False,False
P1,5,Ab,A,-1,2,1440,half,True,False,False,False
P1,5,C,C,,3,1440,half,True,False,False,False
P1,5,Eb,E,-1,3,1440,half,True,False,False,False
P1,5,F#,F,1,3,1440,half,True,False,False,False
P1,6,G,G,,5,240,eighth,False,False,False,False
P1,6,,,,,240,eighth,False,True,False,False
P1,6,Ab,A,-1,4,960,half,False,False,False,False
P1,6,C,C,,5,960,half,False,False,False,False
P1,6,F,F,,5,960,half,False,False,False,False
P1,6,Ab,A,-1,5,960,half,False,False,False,False
P1,6,G,G,,2,240,eighth,False,False,False,False
P1,6,C,C,,3,240,eighth,False,False,False,False
P1,6,Eb,E,-1,3,240,eighth,False,False,False,False
P1,6,G,G,,3,240,eighth,False,False,False,False
P1,6,,,,,240,eighth,False,True,False,False
P1,6,F,F,,2,960,half,False,False,False,False
P1,6,Ab,A,-1,2,960,half,False,False,False,False
P1,6,C,C,,3,960,half,False,False,False,False
P1,6,F,F,,3,960,half,False,False,False,False
P1,7,,,,,360,eighth,True,True,False,False
P1,7,Ab,A,-1,4,120,16th,False,False,False,False
P1,7,F,F,,4,240,eighth,False,False,False,False
P1,7,,,,,240,eighth,False,True,False,False
P1,7,G,G,,4,240,eighth,False,False,False,False
P1,7,,,,,240,eighth,False,True,False,False
P1,7,,,,,360,eighth,True,True,False,False
P1,7,Ab,A,-1,2,120,16th,False,False,False,False
P1,7,F,F,,2,240,eighth,False,False,False,False
P1,7,,,,,240,eighth,False,True,False,False
P1,7,G,G,,2,240,eighth,False,False,False,False
P1,7,,,,,240,eighth,False,True,False,False
P1,8,C,C,,4,240,eighth,False,False,False,False
P1,8,,,,,240,eighth,False,True,False,False
P1,8,,,,,480,quarter,False,True,False,False
P1,8,,,,,480,quarter,False,True,False,False
P1,8,C,C,,3,240,eighth,False,False,False,False
P1,8,,,,,240,eighth,False,True,False,False
P1,8,G,G,,2,240,eighth,False,False,False,False
P1,8,,,,,240,eighth,False,True,False,False
P1,8,C,C,,2,240,eighth,False,False,False,False
P1,8,,,,,240,eighth,False,True,False,False
P1,9,G,G,,3,120,16th,False,False,False,False
P1,9,C,C,,4,120,16th,False,False,False,False
P1,9,Eb,E,-1,4,120,16th,False,False,False,False
P1,9,G,G,,4,120,16th,False,False,False,False
P1,9,C,C,,5,120,16th,False,False,False,False
P1,9,Eb,E,-1,5,120,16th,False,False,False,False
P1,9,G,G,,5,120,16th,False,False,False,False
P1,9,G,G,,5,120,16th,False,False,False,False
P1,9,G,G,,5,120,16th,False,False,False,False
P1,9,G,G,,5,120,16th,False,False,False,False
P1,9,G,G,,5,120,16th,False,False,False,False
P1,9,G,G,,5,120,16th,False,False,False,False
P1,9,,,,,480,quarter,False,True,False,False
P1,9,,,,,480,quarter,False,True,False,False
P1,9,C,C,,4,240,eighth,False,False,False,False
P1,9,Eb,E,-1,4,240,eighth,False,False,False,False
P1,9,G,G,,4,240,eighth,False,False,False,False
P1,9,,,,,240,eighth,False,True,False,False
P1,10,G,G,,5,120,16th,False,False,False,False
P1,10,D,D,,5,120,16th,False,False,False,False
P1,10,B,B,,4,120,16th,False,False,False,False
P1,10,G,G,,4,120,16th,False,False,False,False
P1,10,D,D,,4,120,16th,False,False,False,False
P1,10,B,B,,3,120,16th,False,False,False,False
P1,10,G,G,,3,120,16th,False,False,False,False
P1,10,G,G,,3,120,16th,False,False,False,False
P1,10,G,G,,3,120,16th,False,False,False,False
P1,10,G,G,,3,120,16th,False,False,False,False
P1,10,G,G,,3,120,16th,False,False,False,False
P1,10,G,G,,3,120,16th,False,False,False,False
P1,10,B,B,,3,240,eighth,False,False,False,False
P1,10,D,D,,4,240,eighth,False,False,False,False
P1,10,G,G,,4,240,eighth,False,False,False,False
P1,10,,,,,240,eighth,False,True,False,False
P1,10,,,,,480,quarter,False,True,False,False
P1,10,B,B,,2,240,eighth,False,False,False,False
P1,10,D,D,,3,240,eighth,False,False,False,False
P1,10,,,,,240,eighth,False,True,False,False
P1,11,G,G,,3,120,16th,False,False,False,False
P1,11,Bb,B,-1,3,120,16th,False,False,False,False
P1,11,Db,D,-1,4,120,16th,False,False,False,False
P1,11,E,E,,4,120,16th,False,False,False,False
P1,11,G,G,,4,120,16th,False,False,False,False
P1,11,Bb,B,-1,4,120,16th,False,False,False,False
P1,11,Db,D,-1,5,120,16th,False,False,False,False
P1,11,E,E,,5,120,16th,False,False,False,False
P1,11,E,E,,5,120,16th,False,False,False,False
P1,11,E,E,,5,120,16th,False,False,False,False
P1,11,E,E,,5,120,16th,False,False,False,False
P1,11,E,E,,5,120,16th,False,False,False,False
P1,11,Bb,B,-1,2,240,eighth,False,False,False,False
P1,11,Db,D,-1,3,240,eighth,False,False,False,False
P1,11,E,E,,3,240,eighth,False,False,False,False
P1,11,,,,,240,eighth,False,True,False,False
P1,11,,,,,480,quarter,False,True,False,False
P1,11,Bb,B,-1,3,240,eighth,False,False,False,False
P1,11,Db,D,-1,4,240,eighth,False,False,False,False
P1,11,G,G,,4,240,eighth,False,False,False,False
P1,11,,,,,240,eighth,False,True,False,False
P1,11,,,,,240,eighth,False,True,False,False
P1,11,,,,,240,eighth,False,True,False,False
P1,11,,,,,480,quarter,False,True,False,False
P1,11,,,,,240,eighth,False,True,False,False
P1,11,,,,,240,eighth,False,True,False,False
P1,12,F,F,,5,120,16th,False,False,False,False
P1,12,C,C,,5,120,16th,False,False,False,False
P1,12,A,A,,4,120,16th,False,False,False,False
P1,12,F,F,,4,120,16th,False,False,False,False
P1,12,,,,,480,quarter,False,True,False,False
P1,12,,,,,480,quarter,False,True,False,False
P1,12,A,A,,3,240,eighth,False,False,False,False
P1,12,C,C,,4,240,eighth,False,False,False,False
P1,12,F,F,,4,240,eighth,False,False,False,False
P1,12,,,,,240,eighth,False,True,False,False
P1,12,C,C,,4,120,16th,False,False,False,False
P1,12,A,A,,3,120,16th,False,False,False,False
P1,12,F,F,,3,120,16th,False,False,False,False
P1,12,F,F,,3,120,16th,False,False,False,False
P1,12,F,F,,3,120,16th,False,False,False,False
P1,12,F,F,,3,120,16th,False,False,False,False
P1,12,F,F,,3,120,16th,False,False,False,False
P1,12,F,F,,3,120,16th,False,False,False,False
P1,12,,,,,480,quarter,False,True,False,False
P1,12,,,,,480,quarter,False,True,False,False
P1,12,A,A,,2,240,eighth,False,False,False,False
P1,12,C,C,,3,240,eighth,False,False,False,False
P1,12,,,,,240,eighth,False,True,False,False
P1,13,F#,F,1,3,120,16th,False,False,False,False
P1,13,C,C,,4,120,16th,False,False,False,False
P1,13,Eb,E,-1,4,120,16th,False,False,False,False
P1,13,F#,F,1,4,120,16th,False,False,False,False
P1,13,C,C,,5,120,16th,False,False,False,False
P1,13,Eb,E,-1,5,120,16th,False,False,False,False
P1,13,F#,F,1,5,120,16th,False,False,False,False
P1,13,F#,F,1,5,120,16th,False,False,False,False
P1,13,F#,F,1,5,120,16th,False,False,False,False
P1,13,F#,F,1,5,120,16th,False,False,False,False
P1,13,F#,F,1,5,120,16th,False,False,False,False
P1,13,F#,F,1,5,120,16th,False,False,False,False
P1,13,,,,,480,quarter,False,True,False,False
P1,13,,,,,480,quarter,False,True,False,False
P1,13,Ab,A,-1,3,240,eighth,False,False,False,False
P1,13,C,C,,4,240,eighth,False,False,False,False
P1,13,Eb,E,-1,4,240,eighth,False,False,False,False
P1,13,F#,F,1,4,240,eighth,False,False,False,False
P1,13,,,,,240,eighth,False,True,False,False
P1,13,Ab,A,-1,2,240,eighth,False,False,False,False
P1,13,C,C,,3,240,eighth,False,False,False,False
P1,13,,,,,240,eighth,False,True,False,False
P1,13,,,,,480,quarter,False,True,False,False
P1,13,,,,,480,quarter,False,True,False,False
P1,14,G,G,,5,120,16th,False,False,False,False
P1,14,Eb,E,-1,5,120,16th,False,False,False,False
P1,14,C,C,,5,120,16th,False,False,False,False
P1,14,G,G,,4,120,16th,False,False,False,False
P1,14,Ab,A,-1,4,120,16th,False,False,False,False
P1,14,C,C,,5,120,16th,False,False,False,False
P1,14,F,F,,5,120,16th,False,False,False,False
P1,14,Ab,A,-1,5,120,16th,False,False,False,False
P1,14,C,C,,6,120,16th,False,False,False,False
P1,14,F,F,,6,120,16th,False,False,False,False
P1,14,Ab,A,-1,6,120,16th,False,False,False,False
P1,14,F,F,,6,120,16th,False,False,False,False
P1,14,G,G,,3,240,eighth,False,False,False,False
P1,14,C,C,,4,240,eighth,False,False,False,False
P1,14,Eb,E,-1,4,240,eighth,False,False,False,False
P1,14,G,G,,4,240,eighth,False,False,False,False
P1,14,,,,,240,eighth,False,True,False,False
P1,14,F,F,,3,240,eighth,False,False,False,False
P1,14,Ab,A,-1,3,240,eighth,False,False,False,False
P1,14,C,C,,4,240,eighth,False,False,False,False
P1,14,F,F,,4,240,eighth,False,False,False,False
P1,14,,,,,240,eighth,False,True,False,False
P1,14,,,,,480,quarter,False,True,False,False
P1,15,C,C,,6,120,16th,False,False,False,False
P1,15,Ab,A,-1,5,120,16th,False,False,False,False
P1,15,F,F,,5,120,16th,False,False,False,False
P1,15,C,C,,5,120,16th,False,False,False,False
P1,15,Ab,A,-1,4,120,16th,False,False,False,False
P1,15,F,F,,4,120,16th,False,False,False,False
P1,15,C,C,,4,120,16th,False,False,False,False
P1,15,Ab,A,-1,3,120,16th,False,False,False,False
P1,15,G,G,,3,120,16th,False,False,False,False
P1,15,B,B,,3,120,16th,False,False,False,False
P1,15,D,D,,4,120,16th,False,False,False,False
P1,15,G,G,,4,120,16th,False,False,False,False
P1,15,,,,,480,quarter,False,True,False,False
P1,15,,,,,360,eighth,True,True,False,False
P1,15,F,F,,2,120,16th,False,False,False,False
P1,15,G,G,,2,240,eighth,False,False,False,False
P1,15,,,,,240,eighth,False,True,False,False
P1,16,Eb,E,-1,4,120,16th,False,False,False,False
P1,16,C,C,,4,120,16th,False,False,False,False
P1,16,G,G,,3,120,16th,False,False,False,False
P1,16,Eb,E,-1,3,120,16th,False,False,False,False
P1,16,,,,,480,quarter,False,True,False,False
P1,16,,,,,480,quarter,False,True,False,False
