part,measure,pitch,step,alter,octave,duration,type,dotted,rest,grace,cue
P1,1,,,,,480,quarter,False,True,False,False
P1,1,,,,,480,quarter,False,True,False,False
P1,1,Eb,E,-1,4,360,eighth,True,False,False,False
P1,1,G,G,,4,360,eighth,True,False,False,False
P1,1,D,D,,4,120,16th,False,False,False,False
P1,1,F,F,,4,120,16th,False,False,False,False
P1,1,,,,,480,quarter,False,True,False,False
P1,1,G,G,,3,480,quarter,False,False,False,False
P1,1,C,C,,4,480,quarter,False,False,False,False
P1,1,Eb,E,-1,4,480,quarter,False,False,False,False
P1,1,G,G,,4,480,quarter,False,False,False,False
P1,1,Ab,A,-1,3,480,quarter,False,False,False,False
P1,1,C,C,,4,480,quarter,False,False,False,False
P1,1,Eb,E,-1,4,480,quarter,False,False,False,False
P1,1,Ab,A,-1,4,480,quarter,False,False,False,False
P1,1,G,G,,3,480,quarter,False,False,False,False
P1,1,B,B,,3,480,quarter,False,False,False,False
P1,1,Eb,E,-1,3,480,quarter,False,False,False,False
P1,1,G,G,,3,480,quarter,False,False,False,False
P1,1,C,C,,4,480,quarter,False,False,False,False
P1,1,Eb,E,-1,4,480,quarter,False,False,False,False
P1,1,C,C,,2,480,quarter,False,False,False,False
P1,1,C,C,,3,480,quarter,False,False,False,False
P1,1,F,F,,1,480,quarter,False,False,False,False
P1,1,F,F,,2,480,quarter,False,False,False,False
P1,1,G,G,,1,480,quarter,False,False,False,False
P1,1,G,G,,2,480,quarter,False,False,False,False
P1,1,C,C,,2,480,quarter,False,False,False,False
P1,1,G,G,,2,480,quarter,False,False,False,False
P1,1,C,C,,3,480,quarter,False,False,False,False
P1,2,,,,,480,quarter,False,True,False,False
P1,2,,,,,480,quarter,False,True,False,False
P1,2,C,C,,4,360,eighth,True,False,False,False
P1,2,Eb,E,-1,4,360,eighth,True,False,False,False
P1,2,Bb,B,-1,3,120,16th,False,False,False,False
P1,2,Db,D,-1,4,120,16th,False,False,False,False
P1,2,,,,,480,quarter,False,True,False,False
P1,2,Eb,E,-1,3,480,quarter,False,False,False,False
P1,2,Ab,A,-1,3,480,quarter,False,False,False,False
P1,2,C,C,,4,480,quarter,False,False,False,False
P1,2,Eb,E,-1,4,480,quarter,False,False,False,False
P1,2,F,F,,3,480,quarter,False,False,False,False
P1,2,Ab,A,-1,3,480,quarter,False,False,False,False
P1,2,Db,D,-1,4,480,quarter,False,False,False,False
P1,2,F,F,,4,480,quarter,False,False,False,False
P1,2,Db,D,-1,3,480,quarter,False,False,False,False
P1,2,Eb,E,-1,3,480,quarter,False,False,False,False
P1,2,G,G,,3,480,quarter,False,False,False,False
P1,2,C,C,,3,480,quarter,False,False,False,False
P1,2,Eb,E,-1,3,480,quarter,False,False,False,False
P1,2,Ab,A,-1,3,480,quarter,False,False,False,False
P1,2,C,C,,4,480,quarter,False,False,False,False
P1,2,Ab,A,-1,1,480,quarter,False,False,False,False
P1,2,Ab,A,-1,2,480,quarter,False,False,False,False
P1,2,Db,D,-1,1,480,quarter,False,False,False,False
P1,2,Db,D,-1,2,480,quarter,False,False,False,False
P1,2,Eb,E,-1,1,480,quarter,False,False,False,False
P1,2,Eb,E,-1,2,480,quarter,False,False,False,False
P1,2,Ab,A,-1,1,480,quarter,False,False,False,False
P1,2,Ab,A,-1,2,480,quarter,False,False,False,False
P1,3,,,,,480,quarter,False,True,False,False
P1,3,,,,,480,quarter,False,True,False,False
P1,3,G,G,,4,360,eighth,True,False,False,False
P1,3,F,F,,4,120,16th,False,False,False,False
P1,3,,,,,480,quarter,False,True,False,False
P1,3,D,D,,3,480,quarter,False,False,False,False
P1,3,F,F,,3,480,quarter,False,False,False,False
P1,3,B,B,,3,480,quarter,False,False,False,False
P1,3,D,D,,4,480,quarter,False,False,False,False
P1,3,E,E,,3,480,quarter,False,False,False,False
P1,3,G,G,,3,480,quarter,False,False,False,False
P1,3,Bb,B,-1,3,480,quarter,False,False,False,False
P1,3,C,C,,4,480,quarter,False,False,False,False
P1,3,E,E,,4,480,quarter,False,False,False,False
P1,3,Ab,A,-1,3,480,quarter,False,False,False,False
P1,3,C,C,,4,480,quarter,False,False,False,False
P1,3,G,G,,3,480,quarter,False,False,False,False
P1,3,C,C,,4,480,quarter,False,False,False,False
P1,3,E,E,,4,480,quarter,False,False,False,False
P1,3,G,G,,1,480,quarter,False,False,False,False
P1,3,G,G,,2,480,quarter,False,False,False,False
P1,3,C,C,,1,480,quarter,False,False,False,False
P1,3,C,C,,2,480,quarter,False,False,False,False
P1,3,F,F,,1,480,quarter,False,False,False,False
P1,3,F,F,,2,480,quarter,False,False,False,False
P1,3,C,C,,2,480,quarter,False,False,False,False
P1,3,C,C,,3,480,quarter,False,False,False,False
P1,4,,,,,480,quarter,False,True,False,False
P1,4,,,,,480,quarter,False,True,False,False
P1,4,B,B,,4,360,eighth,True,False,False,False
P1,4,A,A,,4,120,16th,False,False,False,False
P1,4,,,,,480,quarter,False,True,False,False
P1,4,F#,F,1,3,480,quarter,False,False,False,False
P1,4,C,C,,4,480,quarter,False,False,False,False
P1,4,D,D,,4,480,quarter,False,False,False,False
P1,4,G,G,,3,480,quarter,False,False,False,False
P1,4,B,B,,3,480,quarter,False,False,False,False
P1,4,D,D,,4,480,quarter,False,False,False,False
P1,4,G,G,,4,480,quarter,False,False,False,False
P1,4,C,C,,4,480,quarter,False,False,False,False
P1,4,D,D,,4,480,quarter,False,False,False,False
P1,4,F#,F,1,4,480,quarter,False,False,False,False
P1,4,B,B,,3,480,quarter,False,False,False,False
P1,4,D,D,,4,480,quarter,False,False,False,False
P1,4,G,G,,4,480,quarter,False,False,False,False
P1,4,D,D,,2,480,quarter,False,False,False,False
P1,4,A,A,,2,480,quarter,False,False,False,False
P1,4,D,D,,3,480,quarter,False,False,False,False
P1,4,G,G,,1,480,quarter,False,False,False,False
P1,4,G,G,,2,480,quarter,False,False,False,False
P1,4,D,D,,1,480,quarter,False,False,False,False
P1,4,D,D,,2,480,quarter,False,False,False,False
P1,4,G,G,,1,480,quarter,False,False,False,False
P1,4,G,G,,2,480,quarter,False,False,False,False
P1,5,,,,,480,quarter,False,True,False,False
P1,5,,,,,480,quarter,False,True,False,False
P1,5,D,D,,5,480,quarter,False,False,False,False
P1,5,,,,,480,quarter,False,True,False,False
P1,5,Eb,E,-1,4,480,quarter,False,False,False,False
P1,5,G,G,,4,480,quarter,False,False,False,False
P1,5,Eb,E,-1,5,480,quarter,False,False,False,False
P1,5,Eb,E,-1,4,480,quarter,False,False,False,False
P1,5,Ab,A,-1,4,480,quarter,False,False,False,False
P1,5,Eb,E,-1,5,480,quarter,False,False,False,False
P1,5,D,D,,4,360,eighth,True,False,False,False
P1,5,Ab,A,-1,4,360,eighth,True,False,False,False
P1,5,D,D,,4,120,16th,False,False,False,False
P1,5,F#,F,1,4,120,16th,False,False,False,False
P1,5,D,D,,4,480,quarter,False,False,False,False
P1,5,G,G,,4,480,quarter,False,False,False,False
P1,5,D,D,,5,480,quarter,False,False,False,False
P1,5,C,C,,2,480,quarter,False,False,False,False
P1,5,C,C,,3,480,quarter,False,False,False,False
P1,5,C,C,,3,480,quarter,False,False,False,False
P1,5,C,C,,4,480,quarter,False,False,False,False
P1,5,B,B,,2,480,quarter,False,False,False,False
P1,5,B,B,,3,480,quarter,False,False,False,False
P1,5,Bb,B,-1,2,480,quarter,False,False,False,False
P1,5,Bb,B,-1,3,480,quarter,False,False,False,False
P1,6,,,,,1920,whole,False,True,False,False
P1,6,C,C,,4,480,quarter,False,False,False,False
P1,6,G,G,,4,480,quarter,False,False,False,False
P1,6,C,C,,5,480,quarter,False,False,False,False
P1,6,C,C,,4,480,quarter,False,False,False,False
P1,6,D,D,,4,480,quarter,False,False,False,False
P1,6,F#,F,1,4,480,quarter,False,False,False,False
P1,6,D,D,,5,480,quarter,False,False,False,False
P1,6,D,D,,4,360,eighth,True,False,False,False
P1,6,G,G,,4,360,eighth,True,False,False,False
P1,6,B,B,,4,360,eighth,True,False,False,False
P1,6,C,C,,4,120,16th,False,False,False,False
P1,6,A,A,,4,120,16th,False,False,False,False
P1,6,B,B,,3,480,quarter,False,False,False,False
P1,6,D,D,,4,480,quarter,False,False,False,False
P1,6,G,G,,4,480,quarter,False,False,False,False
P1,6,A,A,,2,480,quarter,False,False,False,False
P1,6,A,A,,3,480,quarter,False,False,False,False
P1,6,Ab,A,-1,2,480,quarter,False,False,False,False
P1,6,Ab,A,-1,3,480,quarter,False,False,False,False
P1,6,G,G,,2,480,quarter,False,False,False,False
P1,6,G,G,,3,480,quarter,False,False,False,False
P1,6,F,F,,2,480,quarter,False,False,False,False
P1,6,F,F,,3,480,quarter,False,False,False,False
P1,7,,,,,480,quarter,False,True,False,False
P1,7,,,,,480,quarter,False,True,False,False
P1,7,G,G,,4,360,eighth,True,False,False,False
P1,7,F,F,,4,120,16th,False,False,False,False
P1,7,,,,,480,quarter,False,True,False,False
P1,7,C,C,,4,480,quarter,False,False,False,False
P1,7,G,G,,4,480,quarter,False,False,False,False
P1,7,C,C,,5,480,quarter,False,False,False,False
P1,7,Ab,A,-1,3,480,quarter,False,False,False,False
P1,7,C,C,,4,480,quarter,False,False,False,False
P1,7,Ab,A,-1,4,480,quarter,False,False,False,False
P1,7,G,G,,3,480,quarter,False,False,False,False
P1,7,D,D,,4,480,quarter,False,False,False,False
P1,7,G,G,,3,480,quarter,False,False,False,False
P1,7,C,C,,4,480,quarter,False,False,False,False
P1,7,Eb,E,-1,4,480,quarter,False,False,False,False
P1,7,Eb,E,-1,2,480,quarter,False,False,False,False
P1,7,Eb,E,-1,3,480,quarter,False,False,False,False
P1,7,F,F,,2,480,quarter,False,False,False,False
P1,7,F,F,,3,480,quarter,False,False,False,False
P1,7,B,B,,1,480,quarter,False,False,False,False
P1,7,B,B,,2,480,quarter,False,False,False,False
P1,7,C,C,,2,480,quarter,False,False,False,False
P1,7,C,C,,3,480,quarter,False,False,False,False
P1,8,,,,,480,quarter,False,True,False,False
P1,8,,,,,480,quarter,False,True,False,False
P1,8,Eb,E,-1,4,360,eighth,True,False,False,False
P1,8,D,D,,4,120,16th,False,False,False,False
P1,8,,,,,480,quarter,False,True,False,False
P1,8,Eb,E,-1,3,480,quarter,False,False,False,False
P1,8,Ab,A,-1,3,480,quarter,False,False,False,False
P1,8,C,C,,4,480,quarter,False,False,False,False
P1,8,Eb,E,-1,4,480,quarter,False,False,False,False
P1,8,F,F,,3,480,quarter,False,False,False,False
P1,8,Ab,A,-1,3,480,quarter,False,False,False,False
P1,8,Db,D,-1,4,480,quarter,False,False,False,False
P1,8,F,F,,4,480,quarter,False,False,False,False
P1,8,F,F,,3,480,quarter,False,False,False,False
P1,8,G,G,,3,480,quarter,False,False,False,False
P1,8,B,B,,3,480,quarter,False,False,False,False
P1,8,Eb,E,-1,3,480,quarter,False,False,False,False
P1,8,G,G,,3,480,quarter,False,False,False,False
P1,8,C,C,,4,480,quarter,False,False,False,False
P1,8,Ab,A,-1,1,480,quarter,False,False,False,False
P1,8,Ab,A,-1,2,480,quarter,False,False,False,False
P1,8,Db,D,-1,1,480,quarter,False,False,False,False
P1,8,Db,D,-1,2,480,quarter,False,False,False,False
P1,8,G,G,,1,480,quarter,False,False,False,False
P1,8,G,G,,2,480,quarter,False,False,False,False
P1,8,C,C,,1,480,quarter,False,False,False,False
P1,8,C,C,,2,480,quarter,False,False,False,False
P1,9,,,,,480,quarter,False,True,False,False
P1,9,,,,,480,quarter,False,True,False,False
P1,9,D,D,,5,480,quarter,False,False,False,False
P1,9,,,,,480,quarter,False,True,False,False
P1,9,Eb,E,-1,4,480,quarter,False,False,False,False
P1,9,G,G,,4,480,quarter,False,False,False,False
P1,9,Eb,E,-1,5,480,quarter,False,False,False,False
P1,9,Eb,E,-1,4,480,quarter,False,False,False,False
P1,9,Ab,A,-1,4,480,quarter,False,False,False,False
P1,9,Eb,E,-1,5,480,quarter,False,False,False,False
P1,9,D,D,,4,360,eighth,True,False,False,False
P1,9,Ab,A,-1,4,360,eighth,True,False,False,False
P1,9,D,D,,4,120,16th,False,False,False,False
P1,9,F#,F,1,4,120,16th,False,False,False,False
P1,9,D,D,,4,480,quarter,False,False,False,False
P1,9,G,G,,4,480,quarter,False,False,False,False
P1,9,D,D,,5,480,quarter,False,False,False,False
P1,9,C,C,,2,480,quarter,False,False,False,False
P1,9,C,C,,3,480,quarter,False,False,False,False
P1,9,C,C,,3,480,quarter,False,False,False,False
P1,9,C,C,,4,480,quarter,False,False,False,False
P1,9,B,B,,2,480,quarter,False,False,False,False
P1,9,B,B,,3,480,quarter,False,False,False,False
P1,9,Bb,B,-1,2,480,quarter,False,False,False,False
P1,9,Bb,B,-1,3,480,quarter,False,False,False,False
P1,10,,,,,1920,whole,False,True,False,False
P1,10,C,C,,4,480,quarter,False,False,False,False
P1,10,G,G,,4,480,quarter,False,False,False,False
P1,10,C,C,,5,480,quarter,False,False,False,False
P1,10,C,C,,4,480,quarter,False,False,False,False
P1,10,D,D,,4,480,quarter,False,False,False,False
P1,10,F#,F,1,4,480,quarter,False,False,False,False
P1,10,D,D,,5,480,quarter,False,False,False,False
P1,10,D,D,,4,360,eighth,True,False,False,False
P1,10,G,G,,4,360,eighth,True,False,False,False
P1,10,B,B,,4,360,eighth,True,False,False,False
P1,10,C,C,,4,120,16th,False,False,False,False
P1,10,A,A,,4,120,16th,False,False,False,False
P1,10,B,B,,3,480,quarter,False,False,False,False
P1,10,D,D,,4,480,quarter,False,False,False,False
P1,10,G,G,,4,480,quarter,False,False,False,False
P1,10,A,A,,2,480,quarter,False,False,False,False
P1,10,A,A,,3,480,quarter,False,False,False,False
P1,10,Ab,A,-1,2,480,quarter,False,False,False,False
P1,10,Ab,A,-1,3,480,quarter,False,False,False,False
P1,10,G,G,,2,480,quarter,False,False,False,False
P1,10,G,G,,3,480,quarter,False,False,False,False
P1,10,F,F,,2,480,quarter,False,False,False,False
P1,10,F,F,,3,480,quarter,False,False,False,False
P1,11,,,,,480,quarter,False,True,False,False
P1,11,,,,,480,quarter,False,True,False,False
P1,11,G,G,,4,360,eighth,True,False,False,False
P1,11,F,F,,4,120,16th,False,False,False,False
P1,11,,,,,480,quarter,False,True,False,False
P1,11,C,C,,4,480,quarter,False,False,False,False
P1,11,G,G,,4,480,quarter,False,False,False,False
P1,11,C,C,,5,480,quarter,False,False,False,False
P1,11,Ab,A,-1,3,480,quarter,False,False,False,False
P1,11,C,C,,4,480,quarter,False,False,False,False
P1,11,Ab,A,-1,4,480,quarter,False,False,False,False
P1,11,G,G,,3,480,quarter,False,False,False,False
P1,11,D,D,,4,480,quarter,False,False,False,False
P1,11,G,G,,3,480,quarter,False,False,False,False
P1,11,C,C,,4,480,quarter,False,False,False,False
P1,11,Eb,E,-1,4,480,quarter,False,False,False,False
P1,11,Eb,E,-1,2,480,quarter,False,False,False,False
P1,11,Eb,E,-1,3,480,quarter,False,False,False,False
P1,11,F,F,,2,480,quarter,False,False,False,False
P1,11,Eb,E,-1,3,480,quarter,False,False,False,False
P1,11,B,B,,1,480,quarter,False,False,False,False
P1,11,B,B,,2,480,quarter,False,False,False,False
P1,11,C,C,,2,480,quarter,False,False,False,False
P1,11,C,C,,3,480,quarter,False,False,False,False
P1,12,,,,,480,quarter,False,True,False,False
