part,measure,pitch,step,alter,octave,duration,type,dotted,rest,grace,cue
P1,1,G,G,,5,960,half,False,False,False,False
P1,1,E,E,,5,120,16th,False,False,False,False
P1,1,F,F,,5,120,16th,False,False,False,False
P1,1,E,E,,5,120,16th,False,False,False,False
P1,1,D,D,,5,120,16th,False,False,False,False
P1,1,E,E,,5,240,eighth,False,False,False,False
P1,1,F,F,,5,240,eighth,False,False,False,False
P1,1,E,E,,4,480,quarter,False,False,False,False
P1,1,C,C,,5,480,quarter,False,False,False,False
P1,1,,,,,480,quarter,False,True,False,False
P1,1,,,,,960,half,False,True,False,False
P1,2,A,A,,5,240,eighth,False,False,False,False
P1,2,G,G,,5,240,eighth,False,False,False,False
P1,2,G,G,,5,720,quarter,True,False,False,False
P1,2,A,A,,5,120,16th,False,False,False,False
P1,2,G,G,,5,120,16th,False,False,False,False
P1,2,F#,F,1,5,120,16th,False,False,False,False
P1,2,G,G,,5,120,16th,False,False,False,False
P1,2,A,A,,5,120,16th,False,False,False,False
P1,2,B,B,,5,120,16th,False,False,False,False
P1,2,,,,,1920,whole,False,True,False,False
P1,3,C,C,,6,480,quarter,False,False,False,False
P1,3,C,C,,6,720,quarter,True,False,False,False
P1,3,B,B,,5,240,eighth,False,False,False,False
P1,3,A,A,,5,240,eighth,False,False,False,False
P1,3,G,G,,5,240,eighth,False,False,False,False
P1,3,,,,,1920,whole,False,True,False,False
P1,4,G,G,,5,720,quarter,True,False,False,False
P1,4,E,E,,5,240,eighth,False,False,False,False
P1,4,F,F,,5,480,quarter,False,False,False,False
P1,4,,,,,480,quarter,False,True,False,False
P1,4,,,,,1920,whole,False,True,False,False
P1,5,F,F,,5,960,half,False,False,False,False
P1,5,D,D,,5,120,16th,False,False,False,False
P1,5,E,E,,5,120,16th,False,False,False,False
P1,5,D,D,,5,120,16th,False,False,False,False
P1,5,C#,C,1,5,120,16th,False,False,False,False
P1,5,D,D,,5,120,16th,False,False,False,False
P1,5,F,F,,5,120,16th,False,False,False,False
P1,5,E,E,,5,120,16th,False,False,False,False
