part,measure,pitch,step,alter,octave,duration,type,dotted,rest,grace,cue
P1,1,Bb,B,-1,4,960,half,False,False,False,False
P1,1,Bb,B,-1,4,240,eighth,False,False,False,False
P1,1,Bb,B,-1,4,240,eighth,False,False,False,False
P1,1,,,,,1440,whole,False,True,False,False
P1,2,Bb,B,-1,4,960,half,False,False,False,False
P1,2,Bb,B,-1,4,240,eighth,False,False,False,False
P1,2,Bb,B,-1,4,240,eighth,False,False,False,False
P1,2,,,,,1440,whole,False,True,False,False
P1,3,Bb,B,-1,4,480,quarter,False,False,False,False
P1,3,Bb,B,-1,4,240,eighth,False,False,False,False
P1,3,Bb,B,-1,4,240,eighth,False,False,False,False
P1,3,Bb,B,-1,4,480,quarter,False,False,False,False
P1,3,,,,,1440,whole,False,True,False,False
P1,4,Bb,B,-1,4,240,eighth,False,False,False,False
P1,4,Bb,B,-1,4,240,eighth,False,False,False,False
P1,4,Bb,B,-1,4,480,quarter,False,False,False,False
P1,4,Bb,B,-1,4,240,eighth,False,False,False,False
P1,4,Bb,B,-1,4,240,eighth,False,False,False,False
P1,4,,,,,1440,whole,False,True,False,False
P1,5,Bb,B,-1,4,480,quarter,False,False,False,False
P1,5,D,D,,5,240,eighth,False,False,False,False
P1,5,Eb,E,-1,5,240,eighth,False,False,False,False
P1,5,D,D,,5,480,quarter,False,False,False,False
P1,5,F,F,,5,480,quarter,False,False,False,False
P1,5,Bb,B,-1,2,480,quarter,False,False,False,False
P1,5,Bb,B,-1,3,480,quarter,False,False,False,False
P1,5,F,F,,4,480,quarter,False,False,False,False
P1,5,Ab,A,-1,4,480,quarter,False,False,False,False
P1,5,Bb,B,-1,3,480,quarter,False,False,False,False
P1,5,F,F,,4,480,quarter,False,False,False,False
P1,5,Ab,A,-1,4,480,quarter,False,False,False,False
P1,6,Bb,B,-1,4,480,quarter,False,False,False,False
P1,6,Eb,E,-1,5,240,eighth,False,False,False,False
P1,6,F,F,,5,240,eighth,False,False,False,False
P1,6,Eb,E,-1,5,480,quarter,False,False,False,False
P1,6,G,G,,5,480,quarter,False,False,False,False
P1,6,Eb,E,-1,3,480,quarter,False,False,False,False
P1,6,Bb,B,-1,3,480,quarter,False,False,False,False
P1,6,Eb,E,-1,4,480,quarter,False,False,False,False
P1,6,G,G,,4,480,quarter,False,False,False,False
P1,6,Bb,B,-1,3,480,quarter,False,False,False,False
P1,6,Eb,E,-1,4,480,quarter,False,False,False,False
P1,6,G,G,,4,480,quarter,False,False,False,False
P1,7,,,,,1440,whole,False,True,False,False
P1,7,Bb,B,-1,4,480,quarter,False,False,False,False
P1,7,F,F,,5,240,eighth,False,False,False,False
P1,7,G,G,,5,240,eighth,False,False,False,False
P1,7,F,F,,5,480,quarter,False,False,False,False
P1,7,Ab,A,-1,5,480,quarter,False,False,False,False
P1,7,,,,,1440,whole,False,True,False,False
P1,7,D,D,,3,480,quarter,False,False,False,False
P1,7,Bb,B,-1,3,480,quarter,False,False,False,False
P1,7,F,F,,4,480,quarter,False,False,False,False
P1,7,Ab,A,-1,4,480,quarter,False,False,False,False
P1,7,Bb,B,-1,3,480,quarter,False,False,False,False
P1,7,F,F,,4,480,quarter,False,False,False,False
P1,7,Ab,A,-1,4,480,quarter,False,False,False,False
P1,8,,,,,1440,whole,False,True,False,False
P1,8,Db,D,-1,5,960,half,False,False,False,False
P1,8,G,G,,5,960,half,False,False,False,False
P1,8,Bb,B,-1,5,960,half,False,False,False,False
P1,8,Db,D,-1,5,240,eighth,False,False,False,False
P1,8,G,G,,5,240,eighth,False,False,False,False
P1,8,Bb,B,-1,5,240,eighth,False,False,False,False
P1,8,Db,D,-1,5,240,eighth,False,False,False,False
P1,8,G,G,,5,240,eighth,False,False,False,False
P1,8,Bb,B,-1,5,240,eighth,False,False,False,False
P1,8,,,,,1440,whole,False,True,False,False
P1,8,Eb,E,-1,3,480,quarter,False,False,False,False
P1,8,Bb,B,-1,3,480,quarter,False,False,False,False
P1,8,Db,D,-1,4,480,quarter,False,False,False,False
P1,8,G,G,,4,480,quarter,False,False,False,False
P1,8,E,E,,3,480,quarter,False,False,False,False
P1,9,Bb,B,-1,5,480,quarter,False,False,False,False
P1,9,C,C,,6,240,eighth,False,False,False,False
P1,9,Bb,B,-1,5,240,eighth,False,False,False,False
P1,9,Ab,A,-1,5,480,quarter,False,False,False,False
P1,9,Db,D,-1,5,960,half,False,False,False,False
