part,measure,pitch,step,alter,octave,duration,type,dotted,rest,grace,cue
P1,0,D,D,,4,240,eighth,False,False,False,False
P1,1,A,A,,4,240,eighth,False,False,False,False
P1,1,F#,F,1,4,240,eighth,False,False,False,False
P1,1,G,G,,4,240,eighth,False,False,False,False
P1,1,B,B,,4,240,eighth,False,False,False,False
P1,2,B,B,,4,120,16th,False,False,False,False
P1,2,A,A,,4,240,eighth,False,False,False,False
P1,2,G,G,,4,120,16th,False,False,False,False
P1,2,F#,F,1,4,240,eighth,False,False,False,False
P1,2,,,,,120,16th,False,True,False,False
P1,2,D,D,,5,120,16th,False,False,False,False
P1,3,D,D,,5,120,16th,False,False,False,False
P1,3,C#,C,1,5,120,16th,False,False,False,False
P1,3,,,,,120,16th,False,True,False,False
P1,3,C#,C,1,5,120,16th,False,False,False,False
P1,3,C#,C,1,5,120,16th,False,False,False,False
P1,3,B,B,,4,120,16th,False,False,False,False
P1,3,,,,,120,16th,False,True,False,False
P1,3,B,B,,4,120,16th,False,False,False,False
P1,4,B,B,,4,120,16th,False,False,False,False
P1,4,A,A,,4,240,eighth,False,False,False,False
P1,4,G,G,,4,120,16th,False,False,False,False
P1,4,F#,F,1,4,240,eighth,False,False,False,False
P1,4,,,,,240,eighth,False,True,False,False
P1,5,,,,,240,eighth,False,True,False,False
P1,5,E,E,,4,240,eighth,False,False,False,False
P1,5,F#,F,1,4,240,eighth,False,False,False,False
P1,5,G,G,,4,240,eighth,False,False,False,False
P1,6,F#,F,1,4,360,eighth,True,False,False,False
P1,6,D,D,,4,120,16th,False,False,False,False
P1,6,F#,F,1,4,240,eighth,False,False,False,False
P1,6,E,E,,4,240,eighth,False,False,False,False
P1,7,D,D,,4,480,quarter,False,False,False,False
P1,7,,,,,240,eighth,False,True,False,False
P1,7,E,E,,4,240,eighth,False,False,False,False
P1,8,A,A,,4,240,eighth,False,False,False,False
P1,8,G#,G,1,4,240,eighth,False,False,False,False
P1,8,F#,F,1,4,240,eighth,False,False,False,False
P1,8,G#,G,1,4,240,eighth,False,False,False,False
P1,9,A,A,,4,360,eighth,True,False,False,False
P1,9,E,E,,4,120,16th,False,False,False,False
P1,9,E,E,,4,240,eighth,False,False,False,False
P1,9,E,E,,4,240,eighth,False,False,False,False
P1,10,A,A,,4,240,eighth,False,False,False,False
P1,10,,,,,120,16th,False,True,False,False
P1,10,A,A,,4,120,16th,False,False,False,False
P1,10,B,B,,4,240,eighth,False,False,False,False
P1,10,,,,,120,16th,False,True,False,False
P1,10,B,B,,4,120,16th,False,False,False,False
P1,11,C#,C,1,5,240,eighth,False,False,False,False
P1,11,,,,,120,16th,False,True,False,False
P1,11,C#,C,1,5,120,16th,False,False,False,False
P1,11,B,B,,4,240,eighth,False,False,False,False
P1,11,E,E,,4,240,eighth,False,False,False,False
P1,12,D,D,,5,720,quarter,True,False,False,False
P1,12,B,B,,4,240,eighth,False,False,False,False
P1,13,C#,C,1,5,240,eighth,False,False,False,False
P1,13,A,A,,4,240,eighth,False,False,False,False
P1,13,A,A,,4,240,eighth,False,False,False,False
P1,13,G#,G,1,4,120,16th,False,False,False,False
P1,13,A,A,,4,120,16th,False,False,False,False
P1,14,B,B,,4,240,eighth,False,False,False,False
P1,14,,,,,240,eighth,False,True,False,False
P1,14,G#,G,1,4,360,eighth,True,False,False,False
P1,14,A,A,,4,120,16th,False,False,False,False
