part,measure,pitch,step,alter,octave,duration,type,dotted,rest,grace,cue
P1,0,F,F,,4,120,16th,False,False,False,False
P1,0,F,F,,4,120,16th,False,False,False,False
P1,0,F,F,,4,120,16th,False,False,False,False
P1,0,,,,,120,16th,False,True,False,False
P1,0,,,,,240,eighth,False,True,False,False
P1,0,,,,,120,16th,False,True,False,False
P1,0,,,,,240,eighth,False,True,False,False
P1,1,F,F,,4,240,eighth,False,False,False,False
P1,1,,,,,120,16th,False,True,False,False
P1,1,E,E,,4,120,16th,False,False,False,False
P1,1,F,F,,4,120,16th,False,False,False,False
P1,1,G,G,,4,120,16th,False,False,False,False
P1,1,,,,,240,eighth,False,True,False,False
P1,1,D,D,,4,240,eighth,False,False,False,False
P1,1,,,,,240,eighth,False,True,False,False
P1,1,,,,,240,eighth,False,True,False,False
P1,1,Bb,B,-1,2,240,eighth,False,False,False,False
P1,1,,,,,240,eighth,False,True,False,False
P1,2,F,F,,4,240,eighth,False,False,False,False
P1,2,,,,,120,16th,False,True,False,False
P1,2,F,F,,4,120,16th,False,False,False,False
P1,2,G,G,,4,120,16th,False,False,False,False
P1,2,A,A,,4,120,16th,False,False,False,False
P1,2,,,,,240,eighth,False,True,False,False
P1,2,C,C,,4,240,eighth,False,False,False,False
P1,2,,,,,240,eighth,False,True,False,False
P1,2,,,,,240,eighth,False,True,False,False
P1,2,A,A,,2,240,eighth,False,False,False,False
P1,2,,,,,240,eighth,False,True,False,False
P1,3,Bb,B,-1,4,240,eighth,False,False,False,False
P1,3,,,,,120,16th,False,True,False,False
P1,3,A,A,,4,120,16th,False,False,False,False
P1,3,Bb,B,-1,4,120,16th,False,False,False,False
P1,3,C,C,,5,120,16th,False,False,False,False
P1,3,,,,,240,eighth,False,True,False,False
P1,3,Bb,B,-1,3,240,eighth,False,False,False,False
P1,3,E,E,,4,240,eighth,False,False,False,False
P1,3,,,,,240,eighth,False,True,False,False
P1,3,,,,,240,eighth,False,True,False,False
P1,3,G,G,,2,240,eighth,False,False,False,False
P1,3,,,,,240,eighth,False,True,False,False
P1,4,F,F,,4,240,eighth,False,False,False,False
P1,4,,,,,120,16th,False,True,False,False
P1,4,F,F,,4,120,16th,False,False,False,False
P1,4,A,A,,4,120,16th,False,False,False,False
P1,4,Bb,B,-1,4,120,16th,False,False,False,False
P1,4,,,,,240,eighth,False,True,False,False
P1,4,A,A,,3,240,eighth,False,False,False,False
P1,4,,,,,240,eighth,False,True,False,False
P1,4,,,,,240,eighth,False,True,False,False
P1,4,F,F,,2,240,eighth,False,False,False,False
P1,4,,,,,240,eighth,False,True,False,False
P1,5,C,C,,5,240,eighth,False,False,False,False
P1,5,,,,,120,16th,False,True,False,False
P1,5,C,C,,5,120,16th,False,False,False,False
P1,5,D,D,,5,120,16th,False,False,False,False
P1,5,Eb,E,-1,5,120,16th,False,False,False,False
P1,5,,,,,240,eighth,False,True,False,False
P1,5,A,A,,3,240,eighth,False,False,False,False
P1,5,,,,,240,eighth,False,True,False,False
P1,5,,,,,240,eighth,False,True,False,False
P1,5,Eb,E,-1,3,240,eighth,False,False,False,False
P1,5,,,,,240,eighth,False,True,False,False
P1,6,F,F,,5,240,eighth,False,False,False,False
P1,6,,,,,120,16th,False,True,False,False
P1,6,F,F,,5,120,16th,False,False,False,False
P1,6,Eb,E,-1,5,120,16th,False,False,False,False
P1,6,D,D,,5,120,16th,False,False,False,False
