part,measure,pitch,step,alter,octave,duration,type,dotted,rest,grace,cue
P1,1,,,,,960,half,False,True,False,False
P1,1,,,,,480,quarter,False,True,False,False
P1,1,,,,,240,eighth,False,True,False,False
P1,1,G,G,,4,240,eighth,False,False,False,False
P1,2,Eb,E,-1,5,360,eighth,True,False,False,False
P1,2,D,D,,5,60,32nd,False,False,False,False
P1,2,C,C,,5,60,32nd,False,False,False,False
P1,2,B,B,,4,120,16th,False,False,False,False
P1,2,B,B,,4,120,16th,False,False,False,False
P1,2,C,C,,5,120,16th,False,False,False,False
P1,2,D,D,,5,120,16th,False,False,False,False
P1,2,C,C,,5,240,eighth,False,False,False,False
P1,2,,,,,120,16th,False,True,False,False
P1,2,C,C,,5,120,16th,False,False,False,False
P1,2,C,C,,5,240,eighth,False,False,False,False
P1,2,C,C,,5,240,eighth,False,False,False,False
P1,3,B,B,,4,360,eighth,True,False,False,False
P1,3,B,B,,4,120,16th,False,False,False,False
P1,3,C,C,,5,240,eighth,False,False,False,False
P1,3,G,G,,4,240,eighth,False,False,False,False
P1,3,Bb,B,-1,4,120,16th,False,False,False,False
P1,3,Ab,A,-1,4,120,16th,False,False,False,False
P1,3,Ab,A,-1,4,120,16th,False,False,False,False
P1,3,C,C,,5,120,16th,False,False,False,False
P1,3,C,C,,5,360,eighth,True,False,False,False
P1,3,Bb,B,-1,4,60,32nd,False,False,False,False
P1,3,Ab,A,-1,4,60,32nd,False,False,False,False
P1,4,Ab,A,-1,4,240,eighth,False,False,False,False
P1,4,G,G,,4,240,eighth,False,False,False,False
P1,4,,,,,240,eighth,False,True,False,False
P1,4,G,G,,4,180,16th,True,False,False,False
P1,4,C,C,,5,60,32nd,False,False,False,False
P1,4,C,C,,5,240,eighth,False,False,False,False
P1,4,B,B,,4,240,eighth,False,False,False,False
P1,4,,,,,240,eighth,False,True,False,False
P1,4,B,B,,4,180,16th,True,False,False,False
P1,4,D,D,,5,60,32nd,False,False,False,False
P1,5,D,D,,5,240,eighth,False,False,False,False
P1,5,C,C,,5,240,eighth,False,False,False,False
P1,5,,,,,240,eighth,False,True,False,False
P1,5,C,C,,5,120,16th,False,False,False,False
P1,5,Eb,E,-1,5,120,16th,False,False,False,False
P1,5,Eb,E,-1,5,480,quarter,False,False,False,False
P1,5,D,D,,5,120,16th,False,False,False,False
P1,5,C,C,,5,120,16th,False,False,False,False
P1,5,Bb,B,-1,4,120,16th,False,False,False,False
P1,5,Ab,A,-1,4,120,16th,False,False,False,False
P1,6,Ab,A,-1,4,240,eighth,False,False,False,False
P1,6,G,G,,4,240,eighth,False,False,False,False
P1,6,G,G,,4,240,eighth,False,False,False,False
P1,6,F#,F,1,4,240,eighth,False,False,False,False
P1,6,G,G,,4,480,quarter,False,False,False,False
P1,6,,,,,480,quarter,False,True,False,False
P1,7,,,,,480,quarter,False,True,False,False
P1,7,,,,,120,16th,False,True,False,False
P1,7,Eb,E,-1,4,120,16th,False,False,False,False
P1,7,G,G,,4,120,16th,False,False,False,False
P1,7,Ab,A,-1,4,120,16th,False,False,False,False
P1,7,Bb,B,-1,4,360,eighth,True,False,False,False
P1,7,G,G,,4,120,16th,False,False,False,False
P1,7,Eb,E,-1,4,360,eighth,True,False,False,False
P1,7,Eb,E,-1,5,120,16th,False,False,False,False
P1,8,D,D,,5,480,quarter,False,False,False,False
P1,8,,,,,120,16th,False,True,False,False
P1,8,D,D,,5,120,16th,False,False,False,False
P1,8,Eb,E,-1,5,120,16th,False,False,False,False
P1,8,F,F,,5,120,16th,False,False,False,False
P1,8,Bb,B,-1,4,360,eighth,True,False,False,False
P1,8,C,C,,5,120,16th,False,False,False,False
P1,8,F,F,,4,360,eighth,True,False,False,False
P1,8,Ab,A,-1,4,120,16th,False,False,False,False
P1,9,Ab,A,-1,4,240,eighth,False,False,False,False
P1,9,G,G,,4,240,eighth,False,False,False,False
P1,9,,,,,120,16th,False,True,False,False
P1,9,Eb,E,-1,4,120,16th,False,False,False,False
P1,9,G,G,,4,120,16th,False,False,False,False
P1,9,Bb,B,-1,4,120,16th,False,False,False,False
P1,9,Eb,E,-1,5,360,eighth,True,False,False,False
P1,9,C,C,,5,120,16th,False,False,False,False
P1,9,A,A,,4,360,eighth,True,False,False,False
P1,9,C,C,,5,120,16th,False,False,False,False
P1,10,C,C,,5,240,eighth,False,False,False,False
P1,10,F#,F,1,4,240,eighth,False,False,False,False
P1,10,,,,,240,eighth,False,True,False,False
P1,10,A,A,,4,120,16th,False,False,False,False
P1,10,D,D,,5,120,16th,False,False,False,False
P1,10,D,D,,5,480,quarter,False,False,False,False
P1,10,,,,,480,quarter,False,True,False,False
P1,11,,,,,240,eighth,False,True,False,False
P1,11,Bb,B,-1,4,240,eighth,False,False,False,False
P1,11,Ab,A,-1,4,240,eighth,False,False,False,False
P1,11,Eb,E,-1,5,240,eighth,False,False,False,False
P1,11,G,G,,4,480,quarter,False,False,False,False
P1,11,F#,F,1,4,360,eighth,True,False,False,False
P1,11,G,G,,4,120,16th,False,False,False,False
P1,12,G,G,,4,480,quarter,False,False,False,False
P1,12,,,,,240,eighth,False,True,False,False
P1,12,G,G,,4,240,eighth,False,False,False,False
P1,12,Ab,A,-1,4,360,eighth,True,False,False,False
P1,12,G,G,,4,120,16th,False,False,False,False
P1,12,Ab,A,-1,4,240,eighth,False,False,False,False
P1,12,,,,,120,16th,False,True,False,False
P1,12,Ab,A,-1,4,120,16th,False,False,False,False
P1,13,B,B,,4,480,quarter,False,False,False,False
P1,13,,,,,240,eighth,False,True,False,False
P1,13,B,B,,4,240,eighth,False,False,False,False
P1,13,C,C,,5,240,eighth,False,False,False,False
P1,13,C,C,,5,240,eighth,False,False,False,False
P1,13,,,,,120,16th,False,True,False,False
P1,13,D,D,,5,120,16th,False,False,False,False
P1,13,D,D,,5,120,16th,False,False,False,False
P1,13,D,D,,5,120,16th,False,False,False,False
P1,14,Eb,E,-1,5,360,eighth,True,False,False,False
P1,14,C,C,,5,120,16th,False,False,False,False
P1,14,Eb,E,-1,5,360,eighth,True,False,False,False
P1,14,C,C,,5,120,16th,False,False,False,False
P1,14,B,B,,4,480,quarter,False,False,False,False
P1,14,,,,,480,quarter,False,True,False,False
P1,15,,,,,480,quarter,False,True,False,False
P1,15,,,,,240,eighth,False,True,False,False
P1,15,D,D,,5,240,eighth,False,False,False,False
P1,15,Eb,E,-1,5,480,quarter,False,False,False,False
P1,15,,,,,240,eighth,False,True,False,False
P1,15,C,C,,5,240,eighth,False,False,False,False
P1,16,B,B,,4,240,eighth,False,False,False,False
P1,16,Bb,B,-1,4,240,eighth,False,False,False,False
P1,16,Ab,A,-1,4,240,eighth,False,False,False,False
P1,16,G,G,,4,240,eighth,False,False,False,False
P1,16,Ab,A,-1,4,240,eighth,False,False,False,False
P1,16,Ab,A,-1,4,240,eighth,False,False,False,False
P1,16,,,,,240,eighth,False,True,False,False
P1,16,C,C,,5,240,eighth,False,False,False,False
P1,17,Db,D,-1,5,960,half,False,False,False,False
P1,17,Db,D,-1,5,240,eighth,False,False,False,False
P1,17,B,B,,4,120,16th,False,False,False,False
P1,17,C,C,,5,120,16th,False,False,False,False
P1,17,C,C,,5,240,eighth,False,False,False,False
P1,17,C,C,,5,240,eighth,False,False,False,False
P1,18,C,C,,5,240,eighth,False,False,False,False
P1,18,Eb,E,-1,5,480,quarter,False,False,False,False
P1,18,D,D,,5,240,eighth,False,False,False,False
P1,18,C,C,,5,240,eighth,False,False,False,False
P1,18,F,F,,4,240,eighth,False,False,False,False
P1,18,G,G,,4,240,eighth,False,False,False,False
P1,18,Ab,A,-1,4,240,eighth,False,False,False,False
P1,19,Ab,A,-1,4,,16th,False,False,True,False
P1,19,G,G,,4,360,eighth,True,False,False,False
P1,19,G,G,,4,120,16th,False,False,False,False
P1,19,G,G,,4,360,eighth,True,False,False,False
P1,19,G,G,,4,120,16th,False,False,False,False
P1,19,C,C,,4,480,quarter,False,False,False,False
P1,19,,,,,480,quarter,False,True,False,False
P1,20,,,,,1920,whole,False,True,False,False
P2,1,C,C,,4,360,eighth,True,False,False,False
P2,1,Eb,E,-1,4,60,32nd,False,False,False,False
P2,1,G,G,,4,60,32nd,False,False,False,False
P2,1,C,C,,5,240,eighth,False,False,False,False
P2,1,C,C,,4,240,eighth,False,False,False,False
P2,1,F#,F,1,4,240,eighth,False,False,False,False
P2,1,B,B,,3,240,eighth,False,False,False,False
P2,1,G,G,,4,240,eighth,False,False,False,False
P2,1,G,G,,5,240,eighth,False,False,False,False
P2,1,,,,,480,quarter,False,True,False,False
P2,1,C,C,,3,360,eighth,True,False,False,False
P2,1,Eb,E,-1,3,60,32nd,False,False,False,False
P2,1,G,G,,3,60,32nd,False,False,False,False
P2,1,C,C,,4,240,eighth,False,False,False,False
P2,1,Ab,A,-1,2,240,eighth,False,False,False,False
P2,1,Ab,A,-1,3,240,eighth,False,False,False,False
P2,1,G,G,,2,480,quarter,False,False,False,False
P2,1,G,G,,3,480,quarter,False,False,False,False
P2,1,,,,,480,quarter,False,True,False,False
P2,2,Eb,E,-1,4,480,quarter,False,False,False,False
P2,2,G,G,,4,480,quarter,False,False,False,False
