part,measure,pitch,step,alter,octave,duration,type,dotted,rest,grace,cue
P1,1,G#,G,1,4,480,quarter,False,False,False,False
P1,1,F#,F,1,4,240,eighth,False,False,False,False
P1,1,E,E,,4,240,eighth,False,False,False,False
P1,1,G#,G,1,3,960,half,False,False,False,False
P1,1,B,B,,3,960,half,False,False,False,False
P1,1,E,E,,2,240,eighth,False,False,False,False
P1,1,B,B,,2,240,eighth,False,False,False,False
P1,1,E,E,,2,240,eighth,False,False,False,False
P1,1,B,B,,2,240,eighth,False,False,False,False
P1,2,E,E,,4,480,quarter,False,False,False,False
P1,2,D#,D,1,4,480,quarter,False,False,False,False
P1,2,A,A,,3,960,half,False,False,False,False
P1,2,B,B,,3,960,half,False,False,False,False
P1,2,F#,F,1,2,240,eighth,False,False,False,False
P1,2,B,B,,2,240,eighth,False,False,False,False
P1,2,F#,F,1,2,240,eighth,False,False,False,False
P1,2,B,B,,2,240,eighth,False,False,False,False
P1,3,E,E,,4,480,quarter,False,False,False,False
P1,3,F#,F,1,4,240,eighth,False,False,False,False
P1,3,G#,G,1,4,240,eighth,False,False,False,False
P1,3,B,B,,3,960,half,False,False,False,False
P1,3,G#,G,1,2,240,eighth,False,False,False,False
P1,3,B,B,,2,240,eighth,False,False,False,False
P1,3,E,E,,2,240,eighth,False,False,False,False
P1,3,B,B,,2,240,eighth,False,False,False,False
P1,4,C##,C,2,4,480,quarter,False,False,False,False
P1,4,E#,E,1,4,480,quarter,False,False,False,False
P1,4,D#,D,1,4,480,quarter,False,False,False,False
P1,4,F#,F,1,4,480,quarter,False,False,False,False
P1,4,B,B,,3,960,half,False,False,False,False
P1,4,B,B,,1,240,eighth,False,False,False,False
P1,4,B,B,,2,240,eighth,False,False,False,False
P1,4,B,B,,1,240,eighth,False,False,False,False
P1,4,B,B,,2,240,eighth,False,False,False,False
P1,5,B,B,,4,480,quarter,False,False,False,False
P1,5,B,B,,4,,16th,False,False,True,False
P1,5,A,A,,4,240,eighth,False,False,False,False
P1,5,G#,G,1,4,240,eighth,False,False,False,False
P1,5,B,B,,3,480,quarter,False,False,False,False
P1,5,D,D,,4,480,quarter,False,False,False,False
P1,5,G#,G,1,2,240,eighth,False,False,False,False
P1,5,B,B,,2,240,eighth,False,False,False,False
P1,5,E#,E,1,2,240,eighth,False,False,False,False
P1,5,B,B,,2,240,eighth,False,False,False,False
P1,6,B,B,,4,240,eighth,False,False,False,False
P1,6,A,A,,4,480,quarter,False,False,False,False
P1,6,G#,G,1,4,120,16th,False,False,False,False
P1,6,F#,F,1,4,120,16th,False,False,False,False
P1,6,C#,C,1,4,480,quarter,False,False,False,False
P1,6,D#,D,1,4,480,quarter,False,False,False,False
P1,6,F#,F,1,2,240,eighth,False,False,False,False
P1,6,B,B,,2,240,eighth,False,False,False,False
P1,6,B,B,,1,240,eighth,False,False,False,False
P1,6,B,B,,2,240,eighth,False,False,False,False
P1,7,B,B,,3,480,quarter,False,False,False,False
P1,7,E,E,,4,480,quarter,False,False,False,False
P1,7,G#,G,1,4,480,quarter,False,False,False,False
P1,7,A,A,,3,480,quarter,False,False,False,False
P1,7,B,B,,3,480,quarter,False,False,False,False
P1,7,D#,D,1,4,480,quarter,False,False,False,False
P1,7,F#,F,1,4,480,quarter,False,False,False,False
P1,7,,,,,960,half,False,True,False,False
P1,7,E,E,,2,240,eighth,False,False,False,False
P1,7,B,B,,2,240,eighth,False,False,False,False
P1,7,B,B,,1,240,eighth,False,False,False,False
