part,measure,pitch,step,alter,octave,duration,type,dotted,rest,grace,cue
P1,0,,,,,240,eighth,False,True,False,False
P1,1,,,,,960,half,False,True,False,False
P1,2,,,,,480,quarter,False,True,False,False
P1,2,,,,,240,eighth,False,True,False,False
P1,2,F#,F,1,5,240,eighth,False,False,False,False
P1,3,E,E,,5,240,eighth,False,False,False,False
P1,3,E,E,,5,240,eighth,False,False,False,False
P1,3,A,A,,5,120,16th,False,False,False,False
P1,3,G,G,,5,120,16th,False,False,False,False
P1,3,F#,F,1,5,120,16th,False,False,False,False
P1,3,E,E,,5,120,16th,False,False,False,False
P1,4,D,D,,5,420,eighth,True,False,False,False
P1,4,E,E,,5,60,32nd,False,False,False,False
P1,4,F#,F,1,5,240,eighth,False,False,False,False
P1,4,,,,,240,eighth,False,True,False,False
P1,5,,,,,960,half,False,True,False,False
P1,6,,,,,480,quarter,False,True,False,False
P1,6,,,,,240,eighth,False,True,False,False
P1,6,F#,F,1,5,240,eighth,False,False,False,False
P1,7,E,E,,5,240,eighth,False,False,False,False
P1,7,A,A,,5,240,eighth,False,False,False,False
P1,7,A,A,,5,120,16th,False,False,False,False
P1,7,G,G,,5,120,16th,False,False,False,False
P1,7,F#,F,1,5,120,16th,False,False,False,False
P1,7,E,E,,5,120,16th,False,False,False,False
P1,8,D,D,,5,360,eighth,True,False,False,False
P1,8,F#,F,1,5,60,32nd,False,False,False,False
P1,8,E,E,,5,60,32nd,False,False,False,False
P1,8,D,D,,5,240,eighth,False,False,False,False
P1,8,,,,,240,eighth,False,True,False,False
P1,9,,,,,240,eighth,False,True,False,False
P1,9,G#,G,1,5,240,eighth,False,False,False,False
P1,9,A,A,,5,240,eighth,False,False,False,False
P1,9,,,,,240,eighth,False,True,False,False
P1,10,,,,,240,eighth,False,True,False,False
P1,10,B,B,,5,240,eighth,False,False,False,False
P1,10,C#,C,1,6,240,eighth,False,False,False,False
P1,10,,,,,240,eighth,False,True,False,False
P1,11,,,,,960,half,False,True,False,False
P1,12,,,,,480,quarter,False,True,False,False
P1,12,,,,,240,eighth,False,True,False,False
P1,12,C#,C,1,6,240,eighth,False,False,False,False
