part,measure,pitch,step,alter,octave,duration,type,dotted,rest,grace,cue
P1,1,C,C,,5,480,quarter,False,False,False,False
P1,1,D,D,,5,240,eighth,False,False,False,False
P1,1,E,E,,5,240,eighth,False,False,False,False
P1,1,F,F,,5,240,eighth,False,False,False,False
P1,1,E,E,,5,240,eighth,False,False,False,False
P1,2,E,E,,5,240,eighth,False,False,False,False
P1,2,D,D,,5,240,eighth,False,False,False,False
P1,2,D,D,,5,480,quarter,False,False,False,False
P1,2,D,D,,5,480,quarter,False,False,False,False
P1,3,D,D,,5,480,quarter,False,False,False,False
P1,3,E,E,,5,240,eighth,False,False,False,False
P1,3,F,F,,5,240,eighth,False,False,False,False
P1,3,G,G,,5,240,eighth,False,False,False,False
P1,3,F,F,,5,240,eighth,False,False,False,False
P1,4,F,F,,5,240,eighth,False,False,False,False
P1,4,E,E,,5,240,eighth,False,False,False,False
P1,4,E,E,,5,480,quarter,False,False,False,False
P1,4,E,E,,5,480,quarter,False,False,False,False
P1,5,E,E,,5,480,quarter,False,False,False,False
P1,5,F,F,,5,240,eighth,False,False,False,False
P1,5,G,G,,5,240,eighth,False,False,False,False
P1,5,A,A,,5,240,eighth,False,False,False,False
P1,5,G,G,,5,240,eighth,False,False,False,False
P1,6,F#,F,1,5,240,eighth,False,False,False,False
P1,6,D,D,,5,240,eighth,False,False,False,False
P1,6,F,F,,5,720,quarter,True,False,False,False
P1,6,E,E,,5,240,eighth,False,False,False,False
P1,7,E,E,,5,240,eighth,False,False,False,False
P1,7,D,D,,5,240,eighth,False,False,False,False
P1,7,D,D,,5,240,eighth,False,False,False,False
P1,7,C,C,,5,240,eighth,False,False,False,False
P1,7,D,D,,5,240,eighth,False,False,False,False
P1,7,E,E,,5,240,eighth,False,False,False,False
P1,8,C,C,,5,480,quarter,False,False,False,False
P1,8,,,,,480,quarter,False,True,False,False
P1,8,,,,,480,quarter,False,True,False,False
P1,9,D,D,,5,480,quarter,False,False,False,False
P1,9,E,E,,5,240,eighth,False,False,False,False
P1,9,F,F,,5,240,eighth,False,False,False,False
P1,9,G,G,,5,240,eighth,False,False,False,False
P1,9,F,F,,5,240,eighth,False,False,False,False
P1,10,D#,D,1,5,240,eighth,False,False,False,False
P1,10,E,E,,5,240,eighth,False,False,False,False
P1,10,E,E,,5,480,quarter,False,False,False,False
P1,10,,,,,480,quarter,False,True,False,False
P1,11,G,G,,5,240,eighth,False,False,False,False
P1,11,E,E,,5,240,eighth,False,False,False,False
P1,11,C,C,,6,240,eighth,False,False,False,False
P1,11,G,G,,5,240,eighth,False,False,False,False
P1,11,F,F,,5,240,eighth,False,False,False,False
P1,11,E,E,,5,240,eighth,False,False,False,False
P1,12,G,G,,5,240,eighth,False,False,False,False
P1,12,E,E,,5,240,eighth,False,False,False,False
P1,12,D,D,,5,480,quarter,False,False,False,False
P1,12,,,,,480,quarter,False,True,False,False
P1,13,C,C,,5,480,quarter,False,False,False,False
P1,13,D,D,,5,240,eighth,False,False,False,False
P1,13,E,E,,5,240,eighth,False,False,False,False
P1,13,F,F,,5,240,eighth,False,False,False,False
P1,13,E,E,,5,240,eighth,False,False,False,False
P1,14,D,D,,5,480,quarter,False,False,False,False
P1,14,E,E,,5,240,eighth,False,False,False,False
P1,14,F,F,,5,240,eighth,False,False,False,False
P1,14,G,G,,5,240,eighth,False,False,False,False
P1,14,F,F,,5,240,eighth,False,False,False,False
P1,15,E,E,,5,240,eighth,False,False,False,False
P1,15,G,G,,5,240,eighth,False,False,False,False
P1,15,C,C,,5,480,quarter,False,False,False,False
P1,15,B,B,,4,480,quarter,False,False,False,False
P1,16,C,C,,5,480,quarter,False,False,False,False
P1,16,,,,,480,quarter,False,True,False,False
P1,16,,,,,480,quarter,False,True,False,False
P1,17,C,C,,5,1440,half,True,False,False,False
P1,18,C#,C,1,5,240,eighth,False,False,False,False
P1,18,D,D,,5,240,eighth,False,False,False,False
P1,18,D,D,,5,720,quarter,True,False,False,False
P1,18,G,G,,5,240,eighth,False,False,False,False
P1,19,F,F,,5,240,eighth,False,False,False,False
P1,19,E,E,,5,240,eighth,False,False,False,False
P1,19,D,D,,5,240,eighth,False,False,False,False
P1,19,C,C,,5,240,eighth,False,False,False,False
P1,19,D,D,,5,240,eighth,False,False,False,False
P1,19,E,E,,5,240,eighth,False,False,False,False
P1,20,F,F,,5,240,eighth,False,False,False,False
P1,20,A,A,,5,240,eighth,False,False,False,False
P1,20,G,G,,5,240,eighth,False,False,False,False
P1,20,F,F,,5,240,eighth,False,False,False,False
P1,20,E,E,,5,240,eighth,False,False,False,False
P1,20,D,D,,5,240,eighth,False,False,False,False
P1,21,C#,C,1,5,960,half,False,False,False,False
P1,21,D,D,,5,240,eighth,False,False,False,False
P1,21,A,A,,5,240,eighth,False,False,False,False
P1,22,B,B,,4,960,half,False,False,False,False
P1,22,C,C,,5,240,eighth,False,False,False,False
P1,22,G,G,,5,240,eighth,False,False,False,False
P1,23,G,G,,5,240,eighth,False,False,False,False
P1,23,F,F,,5,240,eighth,False,False,False,False
P1,23,F,F,,5,240,eighth,False,False,False,False
P1,23,D,D,,5,240,eighth,False,False,False,False
P1,23,C,C,,5,240,eighth,False,False,False,False
P1,23,B,B,,4,240,eighth,False,False,False,False
P1,24,C,C,,5,480,quarter,False,False,False,False
P1,24,,,,,480,quarter,False,True,False,False
P1,24,,,,,480,quarter,False,True,False,False
P1,25,E,E,,5,960,half,False,False,False,False
P1,25,F,F,,5,480,quarter,False,False,False,False
P1,26,G,G,,5,160,eighth,False,False,False,False
P1,26,E,E,,5,160,eighth,False,False,False,False
P1,26,C,C,,5,160,eighth,False,False,False,False
P1,26,Bb,B,-1,4,480,quarter,False,False,False,False
P1,26,A,A,,4,480,quarter,False,False,False,False
P1,27,E,E,,5,960,half,False,False,False,False
P1,27,F,F,,5,480,quarter,False,False,False,False
P1,28,G,G,,5,160,eighth,False,False,False,False
P1,28,E,E,,5,160,eighth,False,False,False,False
P1,28,C,C,,5,160,eighth,False,False,False,False
P1,28,Bb,B,-1,4,480,quarter,False,False,False,False
P1,28,A,A,,4,480,quarter,False,False,False,False
P1,29,C,C,,5,1440,half,True,False,False,False
P1,30,C#,C,1,5,240,eighth,False,False,False,False
P1,30,D,D,,5,240,eighth,False,False,False,False
P1,30,D,D,,5,720,quarter,True,False,False,False
P1,30,G,G,,5,240,eighth,False,False,False,False
P1,31,F,F,,5,240,eighth,False,False,False,False
P1,31,E,E,,5,240,eighth,False,False,False,False
P1,31,D,D,,5,240,eighth,False,False,False,False
P1,31,C,C,,5,240,eighth,False,False,False,False
P1,31,D,D,,5,240,eighth,False,False,False,False
P1,31,E,E,,5,240,eighth,False,False,False,False
P1,32,F,F,,5,480,quarter,False,False,False,False
P1,32,,,,,480,quarter,False,True,False,False
P1,32,,,,,480,quarter,False,True,False,False
P2,1,,,,,480,quarter,False,True,False,False
P2,1,,,,,480,quarter,False,True,False,False
P2,1,C,C,,4,480,quarter,False,False,False,False
P2,2,G,G,,4,480,quarter,False,False,False,False
P2,2,,,,,240,eighth,False,True,False,False
P2,2,G,G,,4,240,eighth,False,False,False,False
P2,2,F#,F,1,4,240,eighth,False,False,False,False
P2,2,G,G,,4,240,eighth,False,False,False,False
P2,3,G,G,,3,480,quarter,False,False,False,False
P2,3,,,,,480,quarter,False,True,False,False
P2,3,G,G,,4,480,quarter,False,False,False,False
P2,4,C,C,,5,480,quarter,False,False,False,False
P2,4,,,,,240,eighth,False,True,False,False
P2,4,C,C,,5,240,eighth,False,False,False,False
P2,4,G,G,,4,240,eighth,False,False,False,False
P2,4,E,E,,4,240,eighth,False,False,False,False
P2,5,C,C,,4,480,quarter,False,False,False,False
P2,5,,,,,480,quarter,False,True,False,False
P2,5,C,C,,5,240,eighth,False,False,False,False
P2,5,B,B,,4,240,eighth,False,False,False,False
P2,6,A,A,,4,240,eighth,False,False,False,False
P2,6,D,D,,5,240,eighth,False,False,False,False
P2,6,A,A,,4,240,eighth,False,False,False,False
P2,6,B,B,,4,240,eighth,False,False,False,False
P2,6,C,C,,5,480,quarter,False,False,False,False
P2,7,C,C,,5,240,eighth,False,False,False,False
P2,7,G,G,,4,240,eighth,False,False,False,False
P2,7,,,,,480,quarter,False,True,False,False
