part,measure,pitch,step,alter,octave,duration,type,dotted,rest,grace,cue
P1,1,C#,C,1,5,360,eighth,True,False,False,False
P1,1,D,D,,5,120,16th,False,False,False,False
P1,1,B,B,,4,240,eighth,False,False,False,False
P1,1,A,A,,4,120,16th,False,False,False,False
P1,1,G#,G,1,4,120,16th,False,False,False,False
P1,1,A,A,,4,120,16th,False,False,False,False
P1,1,G#,G,1,4,120,16th,False,False,False,False
P1,1,A,A,,4,240,eighth,False,False,False,False
P1,1,,,,,120,16th,False,True,False,False
P1,1,A,A,,4,120,16th,False,False,False,False
P1,1,C#,C,1,5,120,16th,False,False,False,False
P1,1,A,A,,4,120,16th,False,False,False,False
P1,2,B,B,,4,120,16th,False,False,False,False
P1,2,A,A,,4,120,16th,False,False,False,False
P1,2,B,B,,4,240,eighth,False,False,False,False
P1,2,B,B,,4,,16th,False,False,True,False
P1,2,C#,C,1,5,,16th,False,False,True,False
P1,2,D,D,,5,240,eighth,False,False,False,False
P1,2,C#,C,1,5,240,eighth,False,False,False,False
P1,2,B,B,,4,240,eighth,False,False,False,False
P1,2,E,E,,4,240,eighth,False,False,False,False
P1,2,,,,,240,eighth,False,True,False,False
P1,2,E,E,,5,180,16th,True,False,False,False
P1,2,E,E,,4,60,32nd,False,False,False,False
P1,3,F#,F,1,4,240,eighth,False,False,False,False
P1,3,D,D,,4,240,eighth,False,False,False,False
P1,3,D,D,,5,120,16th,False,False,False,False
P1,3,F#,F,1,5,60,32nd,False,False,False,False
P1,3,E,E,,5,60,32nd,False,False,False,False
P1,3,D,D,,5,60,32nd,False,False,False,False
P1,3,C#,C,1,5,60,32nd,False,False,False,False
P1,3,B,B,,4,60,32nd,False,False,False,False
P1,3,A,A,,4,60,32nd,False,False,False,False
P1,3,G#,G,1,4,240,eighth,False,False,False,False
P1,3,E,E,,4,240,eighth,False,False,False,False
P1,3,,,,,240,eighth,False,True,False,False
P1,3,E,E,,5,180,16th,True,False,False,False
P1,3,G#,G,1,4,60,32nd,False,False,False,False
P1,4,A,A,,4,120,16th,False,False,False,False
P1,4,D,D,,5,120,16th,False,False,False,False
P1,4,C#,C,1,5,120,16th,False,False,False,False
P1,4,B,B,,4,120,16th,False,False,False,False
P1,4,B,B,,4,360,eighth,True,False,False,False
P1,4,A,A,,4,120,16th,False,False,False,False
P1,4,A,A,,4,480,quarter,False,False,False,False
P1,4,,,,,240,eighth,False,True,False,False
P1,4,C#,C,1,5,180,16th,True,False,False,False
P1,4,D,D,,5,60,32nd,False,False,False,False
P1,5,E,E,,5,240,eighth,False,False,False,False
P1,5,F#,F,1,5,120,16th,False,False,False,False
P1,5,G#,G,1,5,120,16th,False,False,False,False
P1,5,A,A,,5,240,eighth,False,False,False,False
P1,5,B,B,,5,180,16th,True,False,False,False
P1,5,A,A,,5,60,32nd,False,False,False,False
P1,5,G#,G,1,5,240,eighth,False,False,False,False
P1,5,E,E,,5,240,eighth,False,False,False,False
P1,5,E,E,,5,120,16th,False,False,False,False
P1,5,A,A,,5,120,16th,False,False,False,False
P1,5,F#,F,1,5,120,16th,False,False,False,False
P1,5,E,E,,5,120,16th,False,False,False,False
P1,6,D#,D,1,5,60,32nd,False,False,False,False
P1,6,C#,C,1,5,60,32nd,False,False,False,False
P1,6,B,B,,4,120,16th,False,False,False,False
P1,6,G#,G,1,5,60,32nd,False,False,False,False
P1,6,F#,F,1,5,60,32nd,False,False,False,False
P1,6,E,E,,5,120,16th,False,False,False,False
P1,6,D#,D,1,5,360,eighth,True,False,False,False
P1,6,E,E,,5,120,16th,False,False,False,False
P1,6,E,E,,5,480,quarter,False,False,False,False
P1,6,,,,,480,quarter,False,True,False,False
P1,7,,,,,240,eighth,False,True,False,False
P1,7,E,E,,5,180,16th,True,False,False,False
P1,7,D,D,,5,60,32nd,False,False,False,False
P1,7,C#,C,1,5,60,32nd,False,False,False,False
P1,7,D,D,,5,60,32nd,False,False,False,False
P1,7,E,E,,5,120,16th,False,False,False,False
P1,7,A,A,,4,60,32nd,False,False,False,False
P1,7,B,B,,4,60,32nd,False,False,False,False
P1,7,C#,C,1,5,120,16th,False,False,False,False
P1,7,D,D,,5,240,eighth,False,False,False,False
P1,7,D,D,,5,180,16th,True,False,False,False
P1,7,C#,C,1,5,60,32nd,False,False,False,False
P1,7,B,B,,4,60,32nd,False,False,False,False
P1,7,C#,C,1,5,60,32nd,False,False,False,False
P1,7,D,D,,5,120,16th,False,False,False,False
P1,7,G#,G,1,4,60,32nd,False,False,False,False
P1,7,A,A,,4,60,32nd,False,False,False,False
P1,7,B,B,,4,120,16th,False,False,False,False
P1,8,E#,E,1,4,240,eighth,False,False,False,False
P1,8,G#,G,1,5,180,16th,True,False,False,False
P1,8,F#,F,1,5,60,32nd,False,False,False,False
P1,8,E#,E,1,5,60,32nd,False,False,False,False
P1,8,F#,F,1,5,60,32nd,False,False,False,False
P1,8,G#,G,1,5,120,16th,False,False,False,False
P1,8,C#,C,1,5,60,32nd,False,False,False,False
P1,8,D#,D,1,5,60,32nd,False,False,False,False
P1,8,E#,E,1,5,120,16th,False,False,False,False
P1,8,F#,F,1,5,180,16th,True,False,False,False
P1,8,B,B,,5,60,32nd,False,False,False,False
P1,8,A,A,,5,180,16th,True,False,False,False
P1,8,G#,G,1,5,60,32nd,False,False,False,False
P1,8,G#,G,1,5,360,eighth,True,False,False,False
P1,8,F#,F,1,5,120,16th,False,False,False,False
P1,9,F#,F,1,5,180,16th,True,False,False,False
P1,9,A#,A,1,5,60,32nd,False,False,False,False
P1,9,A#,A,1,5,180,16th,True,False,False,False
P1,9,B,B,,5,60,32nd,False,False,False,False
P1,9,B,B,,5,180,16th,True,False,False,False
P1,9,A,A,,5,60,32nd,False,False,False,False
P1,9,A,A,,5,180,16th,True,False,False,False
P1,9,G#,G,1,5,60,32nd,False,False,False,False
P1,9,G#,G,1,5,180,16th,True,False,False,False
P1,9,G#,G,1,5,60,32nd,False,False,False,False
P1,9,G#,G,1,5,180,16th,True,False,False,False
P1,9,A,A,,5,60,32nd,False,False,False,False
P1,9,A,A,,5,180,16th,True,False,False,False
P1,9,G,G,,5,60,32nd,False,False,False,False
P1,9,G,G,,5,180,16th,True,False,False,False
P1,9,F#,F,1,5,60,32nd,False,False,False,False
P1,10,F#,F,1,5,120,16th,False,False,False,False
P1,10,E,E,,5,120,16th,False,False,False,False
P1,10,E,E,,5,120,16th,False,False,False,False
P1,10,D,D,,5,120,16th,False,False,False,False
P1,10,D,D,,5,120,16th,False,False,False,False
P1,10,C#,C,1,5,120,16th,False,False,False,False
P1,10,C#,C,1,5,120,16th,False,False,False,False
P1,10,B,B,,4,120,16th,False,False,False,False
P1,10,B,B,,4,240,eighth,False,False,False,False
P1,10,E,E,,5,180,16th,True,False,False,False
P1,10,D,D,,5,60,32nd,False,False,False,False
