part,measure,pitch,step,alter,octave,duration,type,dotted,rest,grace,cue
P1,0,C,C,,4,120,16th,False,False,False,False
P1,0,B,B,,3,120,16th,False,False,False,False
P1,0,C,C,,4,120,16th,False,False,False,False
P1,0,B,B,,3,120,16th,False,False,False,False
P1,0,C,C,,3,120,16th,False,False,False,False
P1,0,B,B,,2,120,16th,False,False,False,False
P1,0,C,C,,3,120,16th,False,False,False,False
P1,0,B,B,,2,120,16th,False,False,False,False
P1,1,C,C,,4,480,quarter,False,False,False,False
P1,1,C,C,,4,480,quarter,False,False,False,False
P1,1,E,E,,4,480,quarter,False,False,False,False
P1,1,G,G,,4,480,quarter,False,False,False,False
P1,1,E,E,,5,480,quarter,False,False,False,False
P1,1,C,C,,3,480,quarter,False,False,False,False
P1,1,C,C,,3,480,quarter,False,False,False,False
P1,1,C,C,,3,480,quarter,False,False,False,False
P1,1,C,C,,4,480,quarter,False,False,False,False
P1,2,E,E,,4,960,half,False,False,False,False
P1,2,C,C,,5,960,half,False,False,False,False
P1,2,C,C,,4,120,16th,False,False,False,False
P1,2,B,B,,3,120,16th,False,False,False,False
P1,2,C,C,,4,120,16th,False,False,False,False
P1,2,B,B,,3,120,16th,False,False,False,False
P1,2,C,C,,3,480,quarter,False,False,False,False
P1,2,C,C,,4,480,quarter,False,False,False,False
P1,2,C,C,,2,480,quarter,False,False,False,False
P1,2,C,C,,3,480,quarter,False,False,False,False
P1,2,C,C,,3,120,16th,False,False,False,False
P1,2,B,B,,2,120,16th,False,False,False,False
P1,2,C,C,,3,120,16th,False,False,False,False
P1,2,B,B,,2,120,16th,False,False,False,False
P1,3,C,C,,4,480,quarter,False,False,False,False
P1,3,C,C,,4,480,quarter,False,False,False,False
P1,3,G,G,,4,480,quarter,False,False,False,False
P1,3,E,E,,5,480,quarter,False,False,False,False
P1,3,G,G,,5,480,quarter,False,False,False,False
P1,3,C,C,,3,480,quarter,False,False,False,False
P1,3,C,C,,3,480,quarter,False,False,False,False
P1,3,C,C,,3,480,quarter,False,False,False,False
P1,3,C,C,,4,480,quarter,False,False,False,False
P1,4,E,E,,4,960,half,False,False,False,False
P1,4,C,C,,5,960,half,False,False,False,False
P1,4,E,E,,5,960,half,False,False,False,False
P1,4,G,G,,4,120,16th,False,False,False,False
P1,4,F#,F,1,4,120,16th,False,False,False,False
P1,4,G,G,,4,120,16th,False,False,False,False
P1,4,F#,F,1,4,120,16th,False,False,False,False
P1,4,C,C,,3,480,quarter,False,False,False,False
P1,4,C,C,,4,480,quarter,False,False,False,False
P1,4,C,C,,2,480,quarter,False,False,False,False
