part,measure,pitch,step,alter,octave,duration,type,dotted,rest,grace,cue
P1,0,F,F,,5,160,eighth,False,False,False,False
P1,0,F,F,,4,160,eighth,False,False,False,False
P1,0,D,D,,5,160,eighth,False,False,False,False
P1,0,,,,,480,quarter,False,True,False,False
P1,1,Bb,B,-1,4,240,eighth,False,False,False,False
P1,1,,,,,240,eighth,False,True,False,False
P1,1,Bb,B,-1,4,240,eighth,False,False,False,False
P1,1,,,,,240,eighth,False,True,False,False
P1,1,F,F,,5,160,eighth,False,False,False,False
P1,1,F,F,,4,160,eighth,False,False,False,False
P1,1,D,D,,5,160,eighth,False,False,False,False
P1,1,Bb,B,-1,2,240,eighth,False,False,False,False
P1,1,,,,,240,eighth,False,True,False,False
P1,1,F,F,,3,240,eighth,False,False,False,False
P1,1,Bb,B,-1,3,240,eighth,False,False,False,False
P1,1,D,D,,4,240,eighth,False,False,False,False
P1,1,,,,,240,eighth,False,True,False,False
P1,1,,,,,480,quarter,False,True,False,False
P1,2,Bb,B,-1,4,240,eighth,False,False,False,False
P1,2,,,,,240,eighth,False,True,False,False
P1,2,Bb,B,-1,4,240,eighth,False,False,False,False
P1,2,,,,,240,eighth,False,True,False,False
P1,2,G,G,,5,,16th,False,False,True,False
P1,2,F,F,,5,240,eighth,False,False,False,False
P1,2,E,E,,5,240,eighth,False,False,False,False
P1,2,Bb,B,-1,2,240,eighth,False,False,False,False
P1,2,,,,,240,eighth,False,True,False,False
P1,2,F,F,,3,240,eighth,False,False,False,False
P1,2,Bb,B,-1,3,240,eighth,False,False,False,False
P1,2,D,D,,4,240,eighth,False,False,False,False
P1,2,,,,,240,eighth,False,True,False,False
P1,2,,,,,480,quarter,False,True,False,False
P1,3,G,G,,5,,16th,False,False,True,False
P1,3,F,F,,5,240,eighth,False,False,False,False
P1,3,E,E,,5,240,eighth,False,False,False,False
P1,3,F,F,,5,240,eighth,False,False,False,False
P1,3,G,G,,5,240,eighth,False,False,False,False
P1,3,A,A,,5,240,eighth,False,False,False,False
P1,3,Bb,B,-1,5,240,eighth,False,False,False,False
P1,3,Bb,B,-1,2,240,eighth,False,False,False,False
P1,3,,,,,240,eighth,False,True,False,False
P1,3,F,F,,3,240,eighth,False,False,False,False
P1,3,Bb,B,-1,3,240,eighth,False,False,False,False
P1,3,D,D,,4,240,eighth,False,False,False,False
P1,3,,,,,240,eighth,False,True,False,False
P1,3,,,,,480,quarter,False,True,False,False
P1,4,F#,F,1,5,480,quarter,False,False,False,False
P1,4,G,G,,5,240,eighth,False,False,False,False
P1,4,,,,,240,eighth,False,True,False,False
P1,4,G,G,,5,160,eighth,False,False,False,False
P1,4,C,C,,5,160,eighth,False,False,False,False
P1,4,Eb,E,-1,5,160,eighth,False,False,False,False
P1,4,Eb,E,-1,2,240,eighth,False,False,False,False
P1,4,,,,,240,eighth,False,True,False,False
P1,4,G,G,,3,240,eighth,False,False,False,False
P1,4,Bb,B,-1,3,240,eighth,False,False,False,False
P1,4,Eb,E,-1,4,240,eighth,False,False,False,False
P1,4,,,,,240,eighth,False,True,False,False
P1,4,,,,,480,quarter,False,True,False,False
P1,5,A,A,,4,240,eighth,False,False,False,False
P1,5,,,,,240,eighth,False,True,False,False
P1,5,A,A,,4,240,eighth,False,False,False,False
P1,5,,,,,240,eighth,False,True,False,False
P1,5,Gb,G,-1,5,160,eighth,False,False,False,False
P1,5,C,C,,5,160,eighth,False,False,False,False
P1,5,Eb,E,-1,5,160,eighth,False,False,False,False
P1,5,F,F,,3,240,eighth,False,False,False,False
P1,5,,,,,240,eighth,False,True,False,False
