part,measure,pitch,step,alter,octave,duration,type,dotted,rest,grace,cue
P1,0,G,G,,4,480,quarter,False,False,False,False
P1,0,,,,,480,quarter,False,True,False,False
P1,1,G,G,,4,480,quarter,False,False,False,False
P1,1,C,C,,5,960,half,False,False,False,False
P1,1,C,C,,4,480,quarter,False,False,False,False
P1,1,E,E,,4,480,quarter,False,False,False,False
P1,1,G,G,,4,480,quarter,False,False,False,False
P1,1,E,E,,4,480,quarter,False,False,False,False
P1,1,G,G,,4,480,quarter,False,False,False,False
P1,2,B,B,,4,240,eighth,False,False,False,False
P1,2,C,C,,5,240,eighth,False,False,False,False
P1,2,D,D,,5,240,eighth,False,False,False,False
P1,2,C,C,,5,240,eighth,False,False,False,False
P1,2,E,E,,5,240,eighth,False,False,False,False
P1,2,C,C,,5,240,eighth,False,False,False,False
P1,2,C,C,,4,480,quarter,False,False,False,False
P1,2,E,E,,4,480,quarter,False,False,False,False
P1,2,G,G,,4,480,quarter,False,False,False,False
P1,2,E,E,,4,480,quarter,False,False,False,False
P1,2,G,G,,4,480,quarter,False,False,False,False
P1,3,G,G,,4,480,quarter,False,False,False,False
P1,3,D,D,,5,960,half,False,False,False,False
P1,3,B,B,,3,480,quarter,False,False,False,False
P1,3,F,F,,4,480,quarter,False,False,False,False
P1,3,G,G,,4,480,quarter,False,False,False,False
P1,3,F,F,,4,480,quarter,False,False,False,False
P1,3,G,G,,4,480,quarter,False,False,False,False
P1,4,C#,C,1,5,240,eighth,False,False,False,False
P1,4,D,D,,5,240,eighth,False,False,False,False
P1,4,E,E,,5,240,eighth,False,False,False,False
P1,4,D,D,,5,240,eighth,False,False,False,False
P1,4,F,F,,5,240,eighth,False,False,False,False
P1,4,D,D,,5,240,eighth,False,False,False,False
P1,4,B,B,,3,480,quarter,False,False,False,False
P1,4,F,F,,4,480,quarter,False,False,False,False
P1,4,G,G,,4,480,quarter,False,False,False,False
P1,4,F,F,,4,480,quarter,False,False,False,False
P1,4,G,G,,4,480,quarter,False,False,False,False
P1,5,E,E,,5,480,quarter,False,False,False,False
P1,5,E,E,,5,240,eighth,False,False,False,False
P1,5,F,F,,5,240,eighth,False,False,False,False
P1,5,G,G,,5,240,eighth,False,False,False,False
P1,5,E,E,,5,240,eighth,False,False,False,False
P1,5,C,C,,4,480,quarter,False,False,False,False
P1,5,E,E,,4,480,quarter,False,False,False,False
P1,5,G,G,,4,480,quarter,False,False,False,False
P1,5,E,E,,4,480,quarter,False,False,False,False
P1,5,G,G,,4,480,quarter,False,False,False,False
P1,6,D,D,,5,480,quarter,False,False,False,False
P1,6,D,D,,5,240,eighth,False,False,False,False
P1,6,E,E,,5,240,eighth,False,False,False,False
P1,6,F,F,,5,240,eighth,False,False,False,False
P1,6,D,D,,5,240,eighth,False,False,False,False
P1,6,F,F,,3,480,quarter,False,False,False,False
P1,6,A,A,,3,480,quarter,False,False,False,False
P1,6,D,D,,4,480,quarter,False,False,False,False
P1,6,F,F,,4,480,quarter,False,False,False,False
P1,6,A,A,,3,480,quarter,False,False,False,False
P1,6,D,D,,4,480,quarter,False,False,False,False
P1,6,F,F,,4,480,quarter,False,False,False,False
P1,7,C,C,,5,240,eighth,False,False,False,False
P1,7,B,B,,4,240,eighth,False,False,False,False
P1,7,A,A,,4,240,eighth,False,False,False,False
P1,7,G,G,,4,240,eighth,False,False,False,False
P1,7,A,A,,4,240,eighth,False,False,False,False
P1,7,B,B,,4,240,eighth,False,False,False,False
P1,7,G,G,,3,480,quarter,False,False,False,False
P1,7,B,B,,3,480,quarter,False,False,False,False
P1,7,F,F,,4,480,quarter,False,False,False,False
P1,7,D,D,,4,480,quarter,False,False,False,False
P1,7,F,F,,4,480,quarter,False,False,False,False
P1,8,C,C,,5,480,quarter,False,False,False,False
P1,8,,,,,480,quarter,False,True,False,False
P1,8,G,G,,4,480,quarter,False,False,False,False
P1,8,C,C,,4,480,quarter,False,False,False,False
P1,8,E,E,,4,480,quarter,False,False,False,False
P1,8,,,,,480,quarter,False,True,False,False
P1,8,,,,,480,quarter,False,True,False,False
P1,9,G,G,,4,240,eighth,False,False,False,False
P1,9,A,A,,4,240,eighth,False,False,False,False
P1,9,B,B,,4,240,eighth,False,False,False,False
P1,9,C,C,,5,240,eighth,False,False,False,False
P1,9,D,D,,5,240,eighth,False,False,False,False
P1,9,E,E,,5,240,eighth,False,False,False,False
P1,9,,,,,1440,whole,False,True,False,False
P1,10,D,D,,5,960,half,False,False,False,False
P1,10,F,F,,5,960,half,False,False,False,False
P1,10,B,B,,4,480,quarter,False,False,False,False
P1,10,D,D,,5,480,quarter,False,False,False,False
P1,10,G,G,,2,480,quarter,False,False,False,False
P1,10,G,G,,3,480,quarter,False,False,False,False
P1,10,G,G,,2,240,eighth,False,False,False,False
P1,10,G,G,,3,240,eighth,False,False,False,False
P1,10,G,G,,2,240,eighth,False,False,False,False
P1,10,G,G,,3,240,eighth,False,False,False,False
P1,10,G,G,,2,480,quarter,False,False,False,False
P1,10,G,G,,3,480,quarter,False,False,False,False
P1,11,G,G,,4,240,eighth,False,False,False,False
P1,11,B,B,,4,240,eighth,False,False,False,False
P1,11,C,C,,5,240,eighth,False,False,False,False
P1,11,D,D,,5,240,eighth,False,False,False,False
P1,11,E,E,,5,240,eighth,False,False,False,False
P1,11,F,F,,5,240,eighth,False,False,False,False
P1,11,,,,,1440,whole,False,True,False,False
P1,12,E,E,,5,960,half,False,False,False,False
P1,12,G,G,,5,960,half,False,False,False,False
P1,12,C,C,,5,480,quarter,False,False,False,False
P1,12,E,E,,5,480,quarter,False,False,False,False
P1,12,C,C,,3,480,quarter,False,False,False,False
P1,12,C,C,,4,480,quarter,False,False,False,False
P1,12,C,C,,3,240,eighth,False,False,False,False
P1,12,C,C,,4,240,eighth,False,False,False,False
P1,12,C,C,,3,240,eighth,False,False,False,False
P1,12,C,C,,4,240,eighth,False,False,False,False
P1,12,C,C,,3,480,quarter,False,False,False,False
P1,12,C,C,,4,480,quarter,False,False,False,False
P1,13,A,A,,4,240,eighth,False,False,False,False
P1,13,C#,C,1,5,240,eighth,False,False,False,False
P1,13,D,D,,5,240,eighth,False,False,False,False
P1,13,E,E,,5,240,eighth,False,False,False,False
P1,13,F,F,,5,240,eighth,False,False,False,False
P1,13,G,G,,5,240,eighth,False,False,False,False
P1,13,F,F,,3,480,quarter,False,False,False,False
P1,13,F,F,,4,480,quarter,False,False,False,False
P1,13,F,F,,4,480,quarter,False,False,False,False
P1,14,A,A,,5,480,quarter,False,False,False,False
P1,14,A,A,,5,480,quarter,False,False,False,False
P1,14,A,A,,5,480,quarter,False,False,False,False
P1,14,F,F,,3,480,quarter,False,False,False,False
P1,14,A,A,,3,480,quarter,False,False,False,False
P1,14,D,D,,4,480,quarter,False,False,False,False
P1,14,F,F,,4,480,quarter,False,False,False,False
P1,14,A,A,,3,480,quarter,False,False,False,False
P1,14,D,D,,4,480,quarter,False,False,False,False
P1,14,F,F,,4,480,quarter,False,False,False,False
P1,15,B,B,,5,480,quarter,False,False,False,False
P1,15,B,B,,5,240,eighth,False,False,False,False
P1,15,C,C,,6,240,eighth,False,False,False,False
P1,15,D,D,,6,240,eighth,False,False,False,False
P1,15,B,B,,5,240,eighth,False,False,False,False
P1,15,G,G,,3,480,quarter,False,False,False,False
P1,15,D,D,,4,480,quarter,False,False,False,False
P1,15,F,F,,4,480,quarter,False,False,False,False
P1,15,G,G,,3,480,quarter,False,False,False,False
P1,15,D,D,,4,480,quarter,False,False,False,False
P1,15,F,F,,4,480,quarter,False,False,False,False
P1,15,G,G,,3,480,quarter,False,False,False,False
P1,15,D,D,,4,480,quarter,False,False,False,False
P1,15,F,F,,4,480,quarter,False,False,False,False
P1,16,C,C,,6,480,quarter,False,False,False,False
P1,16,,,,,480,quarter,False,True,False,False
P1,16,C,C,,4,480,quarter,False,False,False,False
P1,16,E,E,,4,480,quarter,False,False,False,False
P1,16,,,,,480,quarter,False,True,False,False
