part,measure,pitch,step,alter,octave,duration,type,dotted,rest,grace,cue
P1,1,F,F,,4,1440,half,True,False,False,False
P1,1,A,A,,4,480,quarter,False,False,False,False
P1,2,Bb,B,-1,4,120,16th,False,False,False,False
P1,2,A,A,,4,120,16th,False,False,False,False
P1,2,G,G,,4,120,16th,False,False,False,False
P1,2,A,A,,4,120,16th,False,False,False,False
P1,2,G,G,,4,480,quarter,False,False,False,False
P1,2,,,,,960,half,False,True,False,False
P1,3,G,G,,4,960,half,False,False,False,False
P1,3,G,G,,4,120,16th,False,False,False,False
P1,3,A,A,,4,120,16th,False,False,False,False
P1,3,Bb,B,-1,4,120,16th,False,False,False,False
P1,3,C,C,,5,120,16th,False,False,False,False
P1,3,E,E,,5,120,16th,False,False,False,False
P1,3,D,D,,5,120,16th,False,False,False,False
P1,3,C,C,,5,120,16th,False,False,False,False
P1,3,Bb,B,-1,4,120,16th,False,False,False,False
P1,4,C,C,,5,120,16th,False,False,False,False
P1,4,Bb,B,-1,4,120,16th,False,False,False,False
P1,4,A,A,,4,120,16th,False,False,False,False
P1,4,Bb,B,-1,4,120,16th,False,False,False,False
P1,4,A,A,,4,480,quarter,False,False,False,False
P1,4,,,,,960,half,False,True,False,False
P1,5,F,F,,4,240,eighth,False,False,False,False
P1,5,G,G,,4,120,16th,False,False,False,False
P1,5,A,A,,4,120,16th,False,False,False,False
P1,5,Bb,B,-1,4,120,16th,False,False,False,False
P1,5,C,C,,5,120,16th,False,False,False,False
P1,5,D,D,,5,120,16th,False,False,False,False
P1,5,E,E,,5,120,16th,False,False,False,False
P1,5,F,F,,5,240,eighth,False,False,False,False
P1,5,E,E,,5,240,eighth,False,False,False,False
P1,5,D,D,,5,240,eighth,False,False,False,False
P1,5,C,C,,5,240,eighth,False,False,False,False
P1,6,B,B,,4,960,half,False,False,False,False
P1,6,Bb,B,-1,4,960,half,False,False,False,False
P1,7,A,A,,4,240,eighth,False,False,False,False
P1,7,A,A,,4,240,eighth,False,False,False,False
P1,7,Bb,B,-1,4,240,eighth,False,False,False,False
P1,7,C,C,,5,240,eighth,False,False,False,False
P1,7,D,D,,5,240,eighth,False,False,False,False
P1,7,C,C,,5,240,eighth,False,False,False,False
P1,7,Bb,B,-1,4,240,eighth,False,False,False,False
P1,7,A,A,,4,240,eighth,False,False,False,False
P1,8,C,C,,5,360,eighth,True,False,False,False
P1,8,A,A,,4,120,16th,False,False,False,False
P1,8,G,G,,4,480,quarter,False,False,False,False
P1,8,,,,,960,half,False,True,False,False
P1,9,C,C,,5,1920,whole,False,False,False,False
P1,10,Bb,B,-1,4,1920,whole,False,False,False,False
P1,11,A,A,,4,120,16th,False,False,False,False
P1,11,C,C,,5,120,16th,False,False,False,False
P1,11,Bb,B,-1,4,120,16th,False,False,False,False
P1,11,A,A,,4,120,16th,False,False,False,False
P1,11,Bb,B,-1,4,120,16th,False,False,False,False
P1,11,C,C,,5,120,16th,False,False,False,False
P1,11,D,D,,5,120,16th,False,False,False,False
P1,11,E,E,,5,120,16th,False,False,False,False
P1,11,F,F,,5,120,16th,False,False,False,False
