part,measure,pitch,step,alter,octave,duration,type,dotted,rest,grace,cue
P1,1,,,,,1440,whole,False,True,False,False
P1,2,,,,,1440,whole,False,True,False,False
P1,3,,,,,1440,whole,False,True,False,False
P1,4,,,,,1440,whole,False,True,False,False
P1,5,A,A,,5,480,quarter,False,False,False,False
P1,5,C,C,,6,480,quarter,False,False,False,False
P1,5,D,D,,5,240,eighth,False,False,False,False
P1,5,E,E,,5,240,eighth,False,False,False,False
P1,6,F,F,,5,360,eighth,True,False,False,False
P1,6,E,E,,5,60,32nd,False,False,False,False
P1,6,F,F,,5,60,32nd,False,False,False,False
P1,6,G,G,,5,720,quarter,True,False,False,False
P1,6,G#,G,1,5,240,eighth,False,False,False,False
P1,7,A,A,,5,180,16th,True,False,False,False
P1,7,F,F,,6,60,32nd,False,False,False,False
P1,7,F,F,,6,180,16th,True,False,False,False
P1,7,A,A,,5,60,32nd,False,False,False,False
P1,7,Bb,B,-1,5,180,16th,True,False,False,False
P1,7,D,D,,6,60,32nd,False,False,False,False
P1,7,D,D,,6,180,16th,True,False,False,False
P1,7,G#,G,1,5,60,32nd,False,False,False,False
P1,7,A,A,,5,180,16th,True,False,False,False
P1,7,C,C,,6,60,32nd,False,False,False,False
P1,7,C,C,,6,180,16th,True,False,False,False
P1,7,A,A,,5,60,32nd,False,False,False,False
P1,8,G,G,,5,360,eighth,True,False,False,False
P1,8,A,A,,5,60,32nd,False,False,False,False
P1,8,G,G,,5,60,32nd,False,False,False,False
P1,8,F,F,,5,240,eighth,False,False,False,False
P1,8,F,F,,4,240,eighth,False,False,False,False
P1,8,E,E,,4,240,eighth,False,False,False,False
P1,8,Eb,E,-1,4,240,eighth,False,False,False,False
P1,9,D,D,,4,480,quarter,False,False,False,False
P1,9,,,,,480,quarter,False,True,False,False
P1,9,,,,,480,quarter,False,True,False,False
P1,10,D,D,,5,480,quarter,False,False,False,False
P1,10,F,F,,5,960,half,False,False,False,False
P1,11,,,,,480,quarter,False,True,False,False
P1,11,D,D,,5,360,eighth,True,False,False,False
P1,11,C#,C,1,5,60,32nd,False,False,False,False
P1,11,D,D,,5,60,32nd,False,False,False,False
