part,measure,pitch,step,alter,octave,duration,type,dotted,rest,grace,cue
P1,1,F,F,,5,480,quarter,False,False,False,False
P1,1,F,F,,5,240,eighth,False,False,False,False
P1,1,F,F,,5,240,eighth,False,False,False,False
P1,1,F,F,,3,120,16th,False,False,False,False
P1,1,A,A,,3,120,16th,False,False,False,False
P1,1,C,C,,4,120,16th,False,False,False,False
P1,1,A,A,,3,120,16th,False,False,False,False
P1,1,F,F,,3,120,16th,False,False,False,False
P1,1,A,A,,3,120,16th,False,False,False,False
P1,1,C,C,,4,120,16th,False,False,False,False
P1,1,A,A,,3,120,16th,False,False,False,False
P1,2,F,F,,5,120,16th,False,False,False,False
P1,2,E,E,,5,120,16th,False,False,False,False
P1,2,D,D,,5,120,16th,False,False,False,False
P1,2,C,C,,5,120,16th,False,False,False,False
P1,2,Bb,B,-1,4,120,16th,False,False,False,False
P1,2,A,A,,4,120,16th,False,False,False,False
P1,2,G,G,,4,120,16th,False,False,False,False
P1,2,F,F,,4,120,16th,False,False,False,False
P1,2,F,F,,3,480,quarter,False,False,False,False
P1,2,,,,,480,quarter,False,True,False,False
P1,3,E,E,,4,240,eighth,False,False,False,False
P1,3,F,F,,4,240,eighth,False,False,False,False
P1,3,G,G,,4,240,eighth,False,False,False,False
P1,3,A,A,,4,240,eighth,False,False,False,False
P1,3,Bb,B,-1,3,120,16th,False,False,False,False
P1,3,C,C,,4,120,16th,False,False,False,False
P1,3,A,A,,3,120,16th,False,False,False,False
P1,3,C,C,,4,120,16th,False,False,False,False
P1,3,G,G,,3,120,16th,False,False,False,False
P1,3,C,C,,4,120,16th,False,False,False,False
P1,3,F,F,,3,120,16th,False,False,False,False
P1,3,C,C,,4,120,16th,False,False,False,False
P1,4,C,C,,5,480,quarter,False,False,False,False
P1,4,Bb,B,-1,4,240,eighth,False,False,False,False
P1,4,,,,,240,eighth,False,True,False,False
P1,4,E,E,,3,480,quarter,False,False,False,False
P1,4,,,,,480,quarter,False,True,False,False
P1,5,G,G,,5,480,quarter,False,False,False,False
P1,5,G,G,,5,240,eighth,False,False,False,False
P1,5,G,G,,5,240,eighth,False,False,False,False
P1,5,E,E,,3,120,16th,False,False,False,False
P1,5,Bb,B,-1,3,120,16th,False,False,False,False
P1,5,C,C,,4,120,16th,False,False,False,False
P1,5,Bb,B,-1,3,120,16th,False,False,False,False
P1,5,E,E,,3,120,16th,False,False,False,False
P1,5,Bb,B,-1,3,120,16th,False,False,False,False
P1,5,C,C,,4,120,16th,False,False,False,False
P1,5,Bb,B,-1,3,120,16th,False,False,False,False
P1,6,G,G,,5,120,16th,False,False,False,False
P1,6,F,F,,5,120,16th,False,False,False,False
P1,6,E,E,,5,120,16th,False,False,False,False
P1,6,D,D,,5,120,16th,False,False,False,False
P1,6,C,C,,5,120,16th,False,False,False,False
P1,6,Bb,B,-1,4,120,16th,False,False,False,False
P1,6,A,A,,4,120,16th,False,False,False,False
P1,6,G,G,,4,120,16th,False,False,False,False
P1,6,E,E,,3,480,quarter,False,False,False,False
P1,6,,,,,480,quarter,False,True,False,False
P1,7,F,F,,4,240,eighth,False,False,False,False
P1,7,E,E,,4,240,eighth,False,False,False,False
P1,7,F,F,,4,240,eighth,False,False,False,False
P1,7,G,G,,4,240,eighth,False,False,False,False
P1,7,A,A,,3,120,16th,False,False,False,False
P1,7,C,C,,4,120,16th,False,False,False,False
P1,7,G,G,,3,120,16th,False,False,False,False
P1,7,C,C,,4,120,16th,False,False,False,False
P1,7,A,A,,3,120,16th,False,False,False,False
P1,7,C,C,,4,120,16th,False,False,False,False
P1,7,E,E,,3,120,16th,False,False,False,False
P1,7,C,C,,4,120,16th,False,False,False,False
P1,8,A,A,,4,480,quarter,False,False,False,False
P1,8,C,C,,5,120,16th,False,False,False,False
P1,8,A,A,,4,120,16th,False,False,False,False
