part,measure,pitch,step,alter,octave,duration,type,dotted,rest,grace,cue
P1,0,F,F,,4,120,16th,False,False,False,False
P1,0,D,D,,5,120,16th,False,False,False,False
P1,0,C,C,,5,120,16th,False,False,False,False
P1,1,Bb,B,-1,4,120,16th,False,False,False,False
P1,1,A,A,,4,120,16th,False,False,False,False
P1,1,Bb,B,-1,4,120,16th,False,False,False,False
P1,1,C,C,,5,120,16th,False,False,False,False
P1,1,D,D,,5,120,16th,False,False,False,False
P1,1,Eb,E,-1,5,120,16th,False,False,False,False
P1,2,C,C,,5,120,16th,False,False,False,False
P1,2,B,B,,4,120,16th,False,False,False,False
P1,2,C,C,,5,120,16th,False,False,False,False
P1,2,F,F,,4,120,16th,False,False,False,False
P1,2,Eb,E,-1,5,120,16th,False,False,False,False
P1,2,D,D,,5,120,16th,False,False,False,False
P1,3,C,C,,5,120,16th,False,False,False,False
P1,3,B,B,,4,120,16th,False,False,False,False
P1,3,C,C,,5,120,16th,False,False,False,False
P1,3,D,D,,5,120,16th,False,False,False,False
P1,3,Eb,E,-1,5,120,16th,False,False,False,False
P1,3,F,F,,5,120,16th,False,False,False,False
P1,4,D,D,,5,120,16th,False,False,False,False
P1,4,Bb,B,-1,4,120,16th,False,False,False,False
P1,4,Bb,B,-1,5,120,16th,False,False,False,False
P1,4,Bb,B,-1,4,120,16th,False,False,False,False
P1,4,Bb,B,-1,5,120,16th,False,False,False,False
P1,4,Ab,A,-1,5,120,16th,False,False,False,False
P1,5,Ab,A,-1,5,120,16th,False,False,False,False
P1,5,G,G,,5,120,16th,False,False,False,False
P1,5,G,G,,5,120,16th,False,False,False,False
P1,5,F#,F,1,5,120,16th,False,False,False,False
P1,5,G,G,,5,120,16th,False,False,False,False
P1,5,F,F,,5,120,16th,False,False,False,False
P1,6,F,F,,5,120,16th,False,False,False,False
P1,6,Eb,E,-1,5,120,16th,False,False,False,False
P1,6,Eb,E,-1,5,120,16th,False,False,False,False
P1,6,D,D,,5,120,16th,False,False,False,False
P1,6,Eb,E,-1,5,120,16th,False,False,False,False
P1,6,D,D,,5,120,16th,False,False,False,False
P1,7,C,C,,5,120,16th,False,False,False,False
P1,7,G,G,,5,120,16th,False,False,False,False
P1,7,F,F,,5,120,16th,False,False,False,False
P1,7,Eb,E,-1,5,120,16th,False,False,False,False
P1,7,D,D,,5,120,16th,False,False,False,False
P1,7,C,C,,5,120,16th,False,False,False,False
P1,8,Bb,B,-1,4,120,16th,False,False,False,False
