part,measure,pitch,step,alter,octave,duration,type,dotted,rest,grace,cue
P1,1,,,,,480,quarter,False,True,False,False
P1,1,,,,,240,eighth,False,True,False,False
P1,1,D,D,,5,240,eighth,False,False,False,False
P1,1,C#,C,1,5,360,eighth,True,False,False,False
P1,1,B,B,,4,60,32nd,False,False,False,False
P1,1,C#,C,1,5,60,32nd,False,False,False,False
P1,2,D,D,,5,240,eighth,False,False,False,False
P1,2,D,D,,4,240,eighth,False,False,False,False
P1,2,D,D,,4,240,eighth,False,False,False,False
P1,2,D,D,,5,240,eighth,False,False,False,False
P1,2,E,E,,5,360,eighth,True,False,False,False
P1,2,D,D,,5,60,32nd,False,False,False,False
P1,2,E,E,,5,60,32nd,False,False,False,False
P1,3,F,F,,5,240,eighth,False,False,False,False
P1,3,D,D,,4,240,eighth,False,False,False,False
P1,3,D,D,,4,240,eighth,False,False,False,False
P1,3,F,F,,5,240,eighth,False,False,False,False
P1,3,E,E,,5,360,eighth,True,False,False,False
P1,3,D,D,,5,60,32nd,False,False,False,False
P1,3,E,E,,5,60,32nd,False,False,False,False
P1,4,F,F,,5,240,eighth,False,False,False,False
P1,4,D,D,,4,240,eighth,False,False,False,False
P1,4,D,D,,4,240,eighth,False,False,False,False
P1,4,F,F,,5,240,eighth,False,False,False,False
P1,4,G,G,,5,360,eighth,True,False,False,False
P1,4,F,F,,5,60,32nd,False,False,False,False
P1,4,G,G,,5,60,32nd,False,False,False,False
P1,5,A,A,,5,240,eighth,False,False,False,False
P1,5,A,A,,4,240,eighth,False,False,False,False
P1,5,A,A,,4,240,eighth,False,False,False,False
P1,5,F,F,,5,120,16th,False,False,False,False
P1,5,G,G,,5,120,16th,False,False,False,False
P1,5,A,A,,5,120,16th,False,False,False,False
P1,5,G,G,,5,120,16th,False,False,False,False
P1,5,F,F,,5,120,16th,False,False,False,False
P1,5,E,E,,5,120,16th,False,False,False,False
P1,6,D,D,,5,120,16th,False,False,False,False
P1,6,C,C,,5,120,16th,False,False,False,False
P1,6,Bb,B,-1,4,120,16th,False,False,False,False
P1,6,C,C,,5,120,16th,False,False,False,False
P1,6,D,D,,5,120,16th,False,False,False,False
P1,6,C,C,,5,120,16th,False,False,False,False
P1,6,D,D,,5,120,16th,False,False,False,False
P1,6,E,E,,5,120,16th,False,False,False,False
P1,6,F,F,,5,120,16th,False,False,False,False
P1,6,E,E,,5,120,16th,False,False,False,False
P1,6,D,D,,5,120,16th,False,False,False,False
P1,6,C,C,,5,120,16th,False,False,False,False
P1,7,Bb,B,-1,4,120,16th,False,False,False,False
P1,7,A,A,,4,120,16th,False,False,False,False
P1,7,G,G,,4,120,16th,False,False,False,False
P1,7,A,A,,4,120,16th,False,False,False,False
P1,7,Bb,B,-1,4,120,16th,False,False,False,False
P1,7,A,A,,4,120,16th,False,False,False,False
P1,7,Bb,B,-1,4,120,16th,False,False,False,False
P1,7,C,C,,5,120,16th,False,False,False,False
P1,7,D,D,,5,120,16th,False,False,False,False
P1,7,E,E,,5,120,16th,False,False,False,False
P1,7,F,F,,5,120,16th,False,False,False,False
P1,7,D,D,,5,120,16th,False,False,False,False
P1,8,G,G,,5,120,16th,False,False,False,False
P1,8,A,A,,5,120,16th,False,False,False,False
P1,8,G,G,,5,120,16th,False,False,False,False
P1,8,F,F,,5,120,16th,False,False,False,False
P1,8,E,E,,5,240,eighth,False,False,False,False
P1,8,Bb,B,-1,5,240,eighth,False,False,False,False
P1,8,A,A,,5,240,eighth,False,False,False,False
P1,8,G,G,,5,240,eighth,False,False,False,False
P1,9,F,F,,5,120,16th,False,False,False,False
P1,9,G,G,,5,120,16th,False,False,False,False
P1,9,F,F,,5,120,16th,False,False,False,False
P1,9,E,E,,5,120,16th,False,False,False,False
P1,9,D,D,,5,480,quarter,False,False,False,False
P1,9,,,,,480,quarter,False,True,False,False
P1,10,,,,,1440,whole,False,True,False,False
P1,11,,,,,1440,whole,False,True,False,False
P1,12,,,,,1440,whole,False,True,False,False
P1,13,D,D,,6,480,quarter,False,False,False,False
P1,13,A,A,,5,240,eighth,False,False,False,False
P1,13,D,D,,6,240,eighth,False,False,False,False
P1,13,C,C,,6,240,eighth,False,False,False,False
P1,13,A,A,,5,240,eighth,False,False,False,False
P1,14,Bb,B,-1,5,480,quarter,False,False,False,False
P1,14,F,F,,5,240,eighth,False,False,False,False
P1,14,Bb,B,-1,5,240,eighth,False,False,False,False
P1,14,A,A,,5,240,eighth,False,False,False,False
P1,14,F,F,,5,240,eighth,False,False,False,False
P1,15,G,G,,5,480,quarter,False,False,False,False
P1,15,D,D,,5,240,eighth,False,False,False,False
P1,15,G,G,,5,240,eighth,False,False,False,False
P1,15,F,F,,5,240,eighth,False,False,False,False
P1,15,D,D,,5,240,eighth,False,False,False,False
P1,16,E,E,,5,120,16th,False,False,False,False
P1,16,D,D,,5,120,16th,False,False,False,False
P1,16,C#,C,1,5,120,16th,False,False,False,False
P1,16,D,D,,5,120,16th,False,False,False,False
P1,16,E,E,,5,240,eighth,False,False,False,False
