part,measure,pitch,step,alter,octave,duration,type,dotted,rest,grace,cue
P1,1,,,,,1920,whole,False,True,False,False
P1,2,,,,,1920,whole,False,True,False,False
P1,3,,,,,1920,whole,False,True,False,False
P1,4,,,,,1920,whole,False,True,False,False
P1,5,Ab,A,-1,4,480,quarter,False,False,False,False
P1,5,G,G,,4,480,quarter,False,False,False,False
P1,5,F,F,,4,480,quarter,False,False,False,False
P1,5,G,G,,4,480,quarter,False,False,False,False
P1,6,Eb,E,-1,4,480,quarter,False,False,False,False
P1,6,Ab,A,-1,4,480,quarter,False,False,False,False
P1,6,Bb,B,-1,4,480,quarter,False,False,False,False
P1,6,C,C,,5,480,quarter,False,False,False,False
P1,7,C,C,,5,480,quarter,False,False,False,False
P1,7,C,C,,5,240,eighth,False,False,False,False
P1,7,C,C,,5,240,eighth,False,False,False,False
P1,7,Bb,B,-1,4,480,quarter,False,False,False,False
P1,7,F,F,,4,240,eighth,False,False,False,False
P1,7,F,F,,4,240,eighth,False,False,False,False
P1,8,Ab,A,-1,4,720,quarter,True,False,False,False
P1,8,Bb,B,-1,4,240,eighth,False,False,False,False
P1,8,G,G,,4,480,quarter,False,False,False,False
P1,8,Eb,E,-1,5,480,quarter,False,False,False,False
P1,9,Eb,E,-1,5,480,quarter,False,False,False,False
P1,9,Db,D,-1,5,240,eighth,False,False,False,False
P1,9,C,C,,5,240,eighth,False,False,False,False
P1,9,Db,D,-1,5,480,quarter,False,False,False,False
P1,9,F,F,,5,480,quarter,False,False,False,False
P1,10,Bb,B,-1,4,720,quarter,True,False,False,False
P1,10,B,B,,4,240,eighth,False,False,False,False
P1,10,C,C,,5,480,quarter,False,False,False,False
P1,10,Db,D,-1,5,480,quarter,False,False,False,False
P1,11,Db,D,-1,5,480,quarter,False,False,False,False
P1,11,C,C,,5,240,eighth,False,False,False,False
P1,11,Bb,B,-1,4,240,eighth,False,False,False,False
P1,11,Ab,A,-1,4,480,quarter,False,False,False,False
P1,11,G,G,,4,240,eighth,False,False,False,False
P1,11,G,G,,4,240,eighth,False,False,False,False
P1,12,F,F,,4,480,quarter,False,False,False,False
P1,12,Ab,A,-1,4,480,quarter,False,False,False,False
P1,12,G,G,,4,480,quarter,False,False,False,False
P1,12,Bb,B,-1,4,480,quarter,False,False,False,False
P1,13,Ab,A,-1,4,960,half,False,False,False,False
P1,13,,,,,960,half,False,True,False,False
P1,14,,,,,960,half,False,True,False,False
P1,14,,,,,480,quarter,False,True,False,False
P1,14,C,C,,5,480,quarter,False,False,False,False
P1,15,Db,D,-1,5,1920,whole,False,False,False,False
P1,16,Db,D,-1,5,960,half,False,False,False,False
P1,16,C,C,,5,240,eighth,False,False,False,False
P1,16,Bb,B,-1,4,240,eighth,False,False,False,False
P1,16,Ab,A,-1,4,240,eighth,False,False,False,False
P1,16,G,G,,4,240,eighth,False,False,False,False
P1,17,F,F,,4,480,quarter,False,False,False,False
P1,17,Bb,B,-1,4,480,quarter,False,False,False,False
P1,17,Ab,A,-1,4,480,quarter,False,False,False,False
P1,17,G,G,,4,480,quarter,False,False,False,False
P1,18,Bb,B,-1,4,480,quarter,False,False,False,False
P1,18,B,B,,4,480,quarter,False,False,False,False
P1,18,C,C,,5,480,quarter,False,False,False,False
P1,18,Db,D,-1,5,480,quarter,False,False,False,False
P1,19,Db,D,-1,5,960,half,False,False,False,False
P1,19,C,C,,5,240,eighth,False,False,False,False
P1,19,Bb,B,-1,4,240,eighth,False,False,False,False
P1,19,Ab,A,-1,4,240,eighth,False,False,False,False
P1,19,G,G,,4,240,eighth,False,False,False,False
P1,20,F,F,,4,480,quarter,False,False,False,False
P1,20,Bb,B,-1,4,240,eighth,False,False,False,False
P1,20,Bb,B,-1,4,240,eighth,False,False,False,False
P1,20,Ab,A,-1,4,480,quarter,False,False,False,False
P1,20,G,G,,4,480,quarter,False,False,False,False
P1,21,Ab,A,-1,4,960,half,False,False,False,False
P1,21,,,,,960,half,False,True,False,False
P1,22,,,,,1920,whole,False,True,False,False
P1,23,,,,,1920,whole,False,True,False,False
P1,24,,,,,1920,whole,False,True,False,False
P1,25,,,,,1920,whole,False,True,False,False
P1,26,,,,,1920,whole,False,True,False,False
P1,27,,,,,1920,whole,False,True,False,False
P1,28,,,,,1920,whole,False,True,False,False
P1,29,,,,,1920,whole,False,True,False,False
P1,30,,,,,1920,whole,False,True,False,False
P1,31,,,,,1920,whole,False,True,False,False
P1,32,,,,,1920,whole,False,True,False,False
P1,33,,,,,1920,whole,False,True,False,False
P1,34,,,,,1920,whole,False,True,False,False
P1,35,,,,,1920,whole,False,True,False,False
P1,36,Bb,B,-1,4,1440,half,True,False,False,False
P1,36,Bb,B,-1,4,480,quarter,False,False,False,False
P1,37,G,G,,5,480,quarter,False,False,False,False
P1,37,F,F,,5,480,quarter,False,False,False,False
P1,37,Eb,E,-1,5,480,quarter,False,False,False,False
P1,37,D,D,,5,480,quarter,False,False,False,False
P1,38,Eb,E,-1,5,480,quarter,False,False,False,False
P1,38,Bb,B,-1,4,960,half,False,False,False,False
P1,38,B,B,,4,240,eighth,False,False,False,False
P1,38,B,B,,4,240,eighth,False,False,False,False
P1,39,C,C,,5,480,quarter,False,False,False,False
P1,39,Bb,B,-1,4,480,quarter,False,False,False,False
P1,39,Ab,A,-1,4,480,quarter,False,False,False,False
P1,39,G,G,,4,480,quarter,False,False,False,False
P1,40,Ab,A,-1,4,480,quarter,False,False,False,False
P1,40,Bb,B,-1,4,240,eighth,False,False,False,False
P1,40,Ab,A,-1,4,240,eighth,False,False,False,False
P1,40,G,G,,4,480,quarter,False,False,False,False
P1,40,F,F,,4,480,quarter,False,False,False,False
P1,41,Eb,E,-1,4,480,quarter,False,False,False,False
P1,41,E,E,,4,480,quarter,False,False,False,False
P1,41,F,F,,4,480,quarter,False,False,False,False
P1,41,G,G,,4,480,quarter,False,False,False,False
P1,42,Ab,A,-1,4,480,quarter,False,False,False,False
P1,42,Bb,B,-1,4,480,quarter,False,False,False,False
