part,measure,pitch,step,alter,octave,duration,type,dotted,rest,grace,cue
P1,1,Eb,E,-1,5,480,quarter,False,False,False,False
P1,1,Eb,E,-1,5,360,eighth,True,False,False,False
P1,1,G,G,,5,120,16th,False,False,False,False
P1,1,C,C,,5,360,eighth,True,False,False,False
P1,1,D,D,,5,120,16th,False,False,False,False
P1,1,,,,,480,quarter,False,True,False,False
P1,1,G,G,,4,360,eighth,True,False,False,False
P1,1,E,E,,4,120,16th,False,False,False,False
P1,1,F,F,,4,480,quarter,False,False,False,False
P1,1,,,,,480,quarter,False,True,False,False
P1,1,C,C,,4,360,eighth,True,False,False,False
P1,1,Bb,B,-1,3,120,16th,False,False,False,False
P1,1,A,A,,3,360,eighth,True,False,False,False
P1,1,B,B,,3,120,16th,False,False,False,False
P1,2,Eb,E,-1,5,240,eighth,False,False,False,False
P1,2,,,,,240,eighth,False,True,False,False
P1,2,,,,,480,quarter,False,True,False,False
P1,2,,,,,480,quarter,False,True,False,False
P1,2,F,F,,4,240,eighth,False,False,False,False
P1,2,,,,,240,eighth,False,True,False,False
P1,2,,,,,480,quarter,False,True,False,False
P1,2,,,,,480,quarter,False,True,False,False
P1,2,C,C,,4,240,eighth,False,False,False,False
P1,2,,,,,240,eighth,False,True,False,False
P1,2,,,,,480,quarter,False,True,False,False
P1,2,,,,,480,quarter,False,True,False,False
P1,3,Eb,E,-1,5,480,quarter,False,False,False,False
P1,3,Eb,E,-1,5,360,eighth,True,False,False,False
P1,3,F,F,,5,120,16th,False,False,False,False
P1,3,D,D,,5,360,eighth,True,False,False,False
P1,3,C,C,,5,120,16th,False,False,False,False
P1,3,,,,,480,quarter,False,True,False,False
P1,3,A,A,,4,360,eighth,True,False,False,False
P1,3,C,C,,5,120,16th,False,False,False,False
P1,3,F,F,,4,360,eighth,True,False,False,False
P1,3,G,G,,4,120,16th,False,False,False,False
P1,3,,,,,480,quarter,False,True,False,False
P1,3,C,C,,4,360,eighth,True,False,False,False
P1,3,A,A,,3,120,16th,False,False,False,False
P1,3,Bb,B,-1,3,360,eighth,True,False,False,False
P1,3,E,E,,3,120,16th,False,False,False,False
P1,4,F,F,,4,480,quarter,False,False,False,False
P1,4,,,,,480,quarter,False,True,False,False
P1,4,,,,,480,quarter,False,True,False,False
P1,4,,,,,480,quarter,False,True,False,False
P1,4,,,,,480,quarter,False,True,False,False
P1,4,,,,,480,quarter,False,True,False,False
P1,4,F,F,,3,480,quarter,False,False,False,False
P1,4,,,,,480,quarter,False,True,False,False
P1,4,,,,,480,quarter,False,True,False,False
P1,5,F,F,,4,960,half,False,False,False,False
P1,5,Eb,E,-1,4,360,eighth,True,False,False,False
P1,5,F,F,,4,120,16th,False,False,False,False
P1,5,,,,,1440,whole,False,True,False,False
P1,5,F,F,,3,960,half,False,False,False,False
P1,5,Eb,E,-1,3,360,eighth,True,False,False,False
P1,5,F,F,,3,120,16th,False,False,False,False
P1,6,Gb,G,-1,4,120,16th,False,False,False,False
P1,6,F,F,,4,120,16th,False,False,False,False
P1,6,Eb,E,-1,4,120,16th,False,False,False,False
P1,6,Db,D,-1,4,120,16th,False,False,False,False
P1,6,C,C,,4,480,quarter,False,False,False,False
P1,6,Ab,A,-1,4,480,quarter,False,False,False,False
P1,6,,,,,480,quarter,False,True,False,False
P1,6,C,C,,4,480,quarter,False,False,False,False
P1,6,Ab,A,-1,4,480,quarter,False,False,False,False
P1,6,Gb,G,-1,3,120,16th,False,False,False,False
P1,6,F,F,,3,120,16th,False,False,False,False
P1,6,Eb,E,-1,3,120,16th,False,False,False,False
P1,6,Db,D,-1,3,120,16th,False,False,False,False
P1,6,C,C,,3,480,quarter,False,False,False,False
P1,6,Ab,A,-1,3,480,quarter,False,False,False,False
P1,7,F,F,,4,480,quarter,False,False,False,False
P1,7,F,F,,4,960,half,False,False,False,False
P1,7,Ab,A,-1,4,960,half,False,False,False,False
P1,7,F,F,,5,960,half,False,False,False,False
P1,7,F,F,,4,480,quarter,False,False,False,False
P1,7,Db,D,-1,3,480,quarter,False,False,False,False
P1,7,Db,D,-1,3,960,half,False,False,False,False
P1,7,Db,D,-1,4,960,half,False,False,False,False
P1,8,,,,,480,quarter,False,True,False,False
P1,8,,,,,960,half,False,True,False,False
P1,8,,,,,480,quarter,False,True,False,False
P1,8,Bb,B,-1,4,960,half,False,False,False,False
P1,8,Bb,B,-1,5,960,half,False,False,False,False
P1,8,,,,,480,quarter,False,True,False,False
P1,8,Gb,G,-1,2,960,half,False,False,False,False
P1,8,Gb,G,-1,3,960,half,False,False,False,False
P1,9,,,,,480,quarter,False,True,False,False
P1,9,,,,,960,half,False,True,False,False
P1,9,,,,,480,quarter,False,True,False,False
P1,9,Eb,E,-1,5,960,half,False,False,False,False
P1,9,Gb,G,-1,5,960,half,False,False,False,False
P1,9,Eb,E,-1,6,960,half,False,False,False,False
P1,9,,,,,480,quarter,False,True,False,False
P1,9,C,C,,2,960,half,False,False,False,False
P1,9,Ab,A,-1,2,960,half,False,False,False,False
