part,measure,pitch,step,alter,octave,duration,type,dotted,rest,grace,cue
P1,1,Eb,E,-1,3,480,quarter,False,False,False,False
P1,1,,,,,480,quarter,False,True,False,False
P1,1,,,,,960,half,False,True,False,False
P1,2,Bb,B,-1,2,480,quarter,False,False,False,False
P1,2,,,,,480,quarter,False,True,False,False
P1,2,,,,,960,half,False,True,False,False
P1,3,Eb,E,-1,2,480,quarter,False,False,False,False
P1,3,,,,,480,quarter,False,True,False,False
P1,3,,,,,960,half,False,True,False,False
P1,4,,,,,960,half,False,True,False,False
P1,4,,,,,240,eighth,False,True,False,False
P1,4,B,B,,2,240,eighth,False,False,False,False
P1,4,C,C,,3,240,eighth,False,False,False,False
P1,4,Bb,B,-1,2,240,eighth,False,False,False,False
P1,5,Ab,A,-1,2,240,eighth,False,False,False,False
P1,5,G,G,,2,240,eighth,False,False,False,False
P1,5,F,F,,2,240,eighth,False,False,False,False
P1,5,G,G,,2,240,eighth,False,False,False,False
P1,5,Ab,A,-1,2,480,quarter,False,False,False,False
P1,5,A,A,,2,480,quarter,False,False,False,False
P1,6,Bb,B,-1,2,480,quarter,False,False,False,False
P1,6,,,,,480,quarter,False,True,False,False
P1,6,Bb,B,-1,2,480,quarter,False,False,False,False
P1,6,,,,,480,quarter,False,True,False,False
P1,7,Eb,E,-1,3,480,quarter,False,False,False,False
P1,7,,,,,480,quarter,False,True,False,False
P1,7,,,,,960,half,False,True,False,False
P1,8,,,,,960,half,False,True,False,False
P1,8,,,,,240,eighth,False,True,False,False
P1,8,B,B,,2,240,eighth,False,False,False,False
P1,8,C,C,,3,240,eighth,False,False,False,False
P1,8,Bb,B,-1,2,240,eighth,False,False,False,False
P1,9,Ab,A,-1,2,240,eighth,False,False,False,False
P1,9,G,G,,2,240,eighth,False,False,False,False
P1,9,F,F,,2,240,eighth,False,False,False,False
P1,9,G,G,,2,240,eighth,False,False,False,False
P1,9,Ab,A,-1,2,480,quarter,False,False,False,False
P1,9,A,A,,2,480,quarter,False,False,False,False
P1,10,Bb,B,-1,2,480,quarter,False,False,False,False
P1,10,,,,,480,quarter,False,True,False,False
P1,10,Bb,B,-1,2,480,quarter,False,False,False,False
P1,10,Bb,B,-1,2,480,quarter,False,False,False,False
P1,11,Eb,E,-1,3,480,quarter,False,False,False,False
P1,11,,,,,480,quarter,False,True,False,False
P1,11,,,,,960,half,False,True,False,False
P1,12,Eb,E,-1,3,480,quarter,False,False,False,False
P1,12,,,,,480,quarter,False,True,False,False
P1,12,Eb,E,-1,3,480,quarter,False,False,False,False
P1,12,Eb,E,-1,3,480,quarter,False,False,False,False
P1,13,F,F,,3,480,quarter,False,False,False,False
P1,13,,,,,480,quarter,False,True,False,False
P1,13,,,,,960,half,False,True,False,False
P1,14,Bb,B,-1,2,480,quarter,False,False,False,False
P1,14,,,,,480,quarter,False,True,False,False
P1,14,Bb,B,-1,2,480,quarter,False,False,False,False
P1,14,Bb,B,-1,2,480,quarter,False,False,False,False
P1,15,Eb,E,-1,3,480,quarter,False,False,False,False
P1,15,,,,,240,eighth,False,True,False,False
P1,15,Eb,E,-1,2,240,eighth,False,False,False,False
P1,15,G,G,,2,240,eighth,False,False,False,False
P1,15,Eb,E,-1,2,240,eighth,False,False,False,False
P1,15,G,G,,2,240,eighth,False,False,False,False
P1,15,Bb,B,-1,2,240,eighth,False,False,False,False
P1,16,Eb,E,-1,3,480,quarter,False,False,False,False
P1,16,,,,,480,quarter,False,True,False,False
P1,16,Eb,E,-1,3,480,quarter,False,False,False,False
P1,16,Eb,E,-1,3,480,quarter,False,False,False,False
P1,17,F,F,,3,480,quarter,False,False,False,False
P1,17,,,,,240,eighth,False,True,False,False
P1,17,Bb,B,-1,2,240,eighth,False,False,False,False
P1,17,D,D,,3,240,eighth,False,False,False,False
P1,17,Bb,B,-1,2,240,eighth,False,False,False,False
P1,17,D,D,,3,240,eighth,False,False,False,False
P1,17,F,F,,3,240,eighth,False,False,False,False
P1,18,Ab,A,-1,3,480,quarter,False,False,False,False
P1,18,,,,,480,quarter,False,True,False,False
P1,18,Bb,B,-1,2,480,quarter,False,False,False,False
P1,18,Bb,B,-1,2,480,quarter,False,False,False,False
P1,19,B,B,,2,480,quarter,False,False,False,False
P1,19,,,,,480,quarter,False,True,False,False
P1,19,,,,,960,half,False,True,False,False
P1,20,,,,,1920,,False,True,False,False
P1,21,,,,,1920,,False,True,False,False
P1,22,,,,,1920,,False,True,False,False
P1,23,Bb,B,-1,2,480,quarter,False,False,False,False
P1,23,,,,,480,quarter,False,True,False,False
P1,23,Bb,B,-1,3,480,quarter,False,False,False,False
P1,23,A,A,,3,480,quarter,False,False,False,False
P1,24,G,G,,3,480,quarter,False,False,False,False
P1,24,,,,,480,quarter,False,True,False,False
P1,24,G,G,,2,480,quarter,False,False,False,False
P1,24,,,,,480,quarter,False,True,False,False
P1,25,F,F,,2,480,quarter,False,False,False,False
P1,25,,,,,480,quarter,False,True,False,False
P1,25,,,,,960,half,False,True,False,False
P1,26,,,,,240,eighth,False,True,False,False
P1,26,F,F,,3,240,eighth,False,False,False,False
P1,26,F,F,,3,240,eighth,False,False,False,False
P1,26,F,F,,3,240,eighth,False,False,False,False
P1,26,A,A,,2,240,eighth,False,False,False,False
P1,26,F,F,,3,240,eighth,False,False,False,False
P1,26,Bb,B,-1,2,240,eighth,False,False,False,False
P1,26,F,F,,3,240,eighth,False,False,False,False
P1,27,F,F,,2,480,quarter,False,False,False,False
P1,27,,,,,480,quarter,False,True,False,False
P1,27,,,,,960,half,False,True,False,False
P1,28,,,,,240,eighth,False,True,False,False
P1,28,F,F,,3,240,eighth,False,False,False,False
P1,28,F,F,,3,240,eighth,False,False,False,False
P1,28,F,F,,3,240,eighth,False,False,False,False
P1,28,A,A,,2,240,eighth,False,False,False,False
P1,28,F,F,,3,240,eighth,False,False,False,False
P1,28,Bb,B,-1,2,240,eighth,False,False,False,False
P1,28,F,F,,3,240,eighth,False,False,False,False
P1,29,F,F,,2,480,quarter,False,False,False,False
P1,29,F,F,,3,480,quarter,False,False,False,False
P1,29,F,F,,2,480,quarter,False,False,False,False
P1,29,,,,,480,quarter,False,True,False,False
P1,30,,,,,1920,whole,False,True,False,False
P1,31,,,,,480,quarter,False,True,False,False
P1,31,D,D,,3,480,quarter,False,False,False,False
P1,31,C,C,,3,480,quarter,False,False,False,False
P1,31,F,F,,2,480,quarter,False,False,False,False
P1,32,Bb,B,-1,2,480,quarter,False,False,False,False
P1,32,D,D,,3,480,quarter,False,False,False,False
P1,32,C,C,,3,480,quarter,False,False,False,False
P1,32,F,F,,2,480,quarter,False,False,False,False
P1,33,Bb,B,-1,2,480,quarter,False,False,False,False
P1,33,D,D,,3,480,quarter,False,False,False,False
P1,33,Eb,E,-1,3,480,quarter,False,False,False,False
P1,33,C,C,,3,480,quarter,False,False,False,False
P1,34,F,F,,3,240,eighth,False,False,False,False
P1,34,E,E,,3,240,eighth,False,False,False,False
P1,34,F,F,,3,240,eighth,False,False,False,False
P1,34,F,F,,2,240,eighth,False,False,False,False
