part,measure,pitch,step,alter,octave,duration,type,dotted,rest,grace,cue
P1,1,C,C,,5,480,quarter,False,False,False,False
P1,1,C,C,,5,480,quarter,False,False,False,False
P1,2,D,D,,5,720,quarter,True,False,False,False
P1,2,E,E,,5,240,eighth,False,False,False,False
P1,3,F,F,,5,240,eighth,False,False,False,False
P1,3,D,D,,5,240,eighth,False,False,False,False
P1,3,C,C,,5,240,eighth,False,False,False,False
P1,3,B,B,,4,240,eighth,False,False,False,False
P1,4,C,C,,5,120,16th,False,False,False,False
P1,4,E,E,,5,120,16th,False,False,False,False
P1,4,G,G,,5,120,16th,False,False,False,False
P1,4,E,E,,5,120,16th,False,False,False,False
P1,4,C,C,,5,240,eighth,False,False,False,False
P1,4,C,C,,5,240,eighth,False,False,False,False
P1,5,C,C,,5,480,quarter,False,False,False,False
P1,5,C,C,,5,480,quarter,False,False,False,False
P1,6,D,D,,5,720,quarter,True,False,False,False
P1,6,E,E,,5,240,eighth,False,False,False,False
P1,7,F,F,,5,240,eighth,False,False,False,False
P1,7,D,D,,5,240,eighth,False,False,False,False
P1,7,C,C,,5,240,eighth,False,False,False,False
P1,7,B,B,,4,240,eighth,False,False,False,False
P1,8,C,C,,5,480,quarter,False,False,False,False
P1,8,,,,,480,quarter,False,True,False,False
P1,9,E,E,,5,240,eighth,False,False,False,False
P1,9,C,C,,5,240,eighth,False,False,False,False
P1,9,G,G,,5,240,eighth,False,False,False,False
P1,9,E,E,,5,240,eighth,False,False,False,False
P1,10,D,D,,5,720,quarter,True,False,False,False
P1,10,D#,D,1,5,240,eighth,False,False,False,False
P1,11,E,E,,5,240,eighth,False,False,False,False
P1,11,C,C,,5,240,eighth,False,False,False,False
P1,11,G,G,,5,240,eighth,False,False,False,False
P1,11,E,E,,5,240,eighth,False,False,False,False
P1,12,D,D,,5,960,half,False,False,False,False
P1,13,G,G,,5,240,eighth,False,False,False,False
P1,13,F,F,,5,240,eighth,False,False,False,False
P1,13,E,E,,5,240,eighth,False,False,False,False
