part,measure,pitch,step,alter,octave,duration,type,dotted,rest,grace,cue
P1,0,A,A,,4,240,eighth,False,False,False,False
P1,1,D,D,,5,360,eighth,True,False,False,False
P1,1,D,D,,5,120,16th,False,False,False,False
P1,1,F#,F,1,5,240,eighth,False,False,False,False
P1,1,F#,F,1,5,240,eighth,False,False,False,False
P1,2,D,D,,5,480,quarter,False,False,False,False
P1,2,A,A,,4,480,quarter,False,False,False,False
P1,3,A,A,,4,420,eighth,True,False,False,False
P1,3,A,A,,4,60,32nd,False,False,False,False
P1,3,E,E,,5,180,16th,True,False,False,False
P1,3,D,D,,5,60,32nd,False,False,False,False
P1,3,C#,C,1,5,180,16th,True,False,False,False
P1,3,B,B,,4,60,32nd,False,False,False,False
P1,4,A,A,,4,720,quarter,True,False,False,False
P1,4,A,A,,4,240,eighth,False,False,False,False
P1,5,D,D,,5,360,eighth,True,False,False,False
P1,5,D,D,,5,120,16th,False,False,False,False
P1,5,F#,F,1,5,240,eighth,False,False,False,False
P1,5,F#,F,1,5,240,eighth,False,False,False,False
P1,6,D,D,,5,480,quarter,False,False,False,False
P1,6,A,A,,4,240,eighth,False,False,False,False
P1,6,D,D,,5,240,eighth,False,False,False,False
P1,7,C#,C,1,5,240,eighth,False,False,False,False
P1,7,D,D,,5,,32nd,False,False,True,False
P1,7,C#,C,1,5,,32nd,False,False,True,False
P1,7,B,B,,4,120,16th,False,False,False,False
P1,7,C#,C,1,5,120,16th,False,False,False,False
P1,7,D,D,,5,240,eighth,False,False,False,False
P1,7,G#,G,1,4,240,eighth,False,False,False,False
P1,8,A,A,,4,720,quarter,True,False,False,False
P1,8,A,A,,4,240,eighth,False,False,False,False
P1,9,A,A,,4,720,quarter,True,False,False,False
P1,9,A,A,,4,240,eighth,False,False,False,False
P1,10,C#,C,1,5,360,eighth,True,False,False,False
P1,10,C#,C,1,5,120,16th,False,False,False,False
P1,10,D,D,,5,120,16th,False,False,False,False
P1,10,C#,C,1,5,120,16th,False,False,False,False
P1,10,B,B,,4,120,16th,False,False,False,False
P1,10,C#,C,1,5,120,16th,False,False,False,False
P1,11,D,D,,5,480,quarter,False,False,False,False
P1,11,A,A,,4,240,eighth,False,False,False,False
P1,11,D,D,,5,240,eighth,False,False,False,False
P1,12,C#,C,1,5,360,eighth,True,False,False,False
P1,12,C#,C,1,5,120,16th,False,False,False,False
P1,12,C#,C,1,5,120,16th,False,False,False,False
P1,12,G,G,,5,120,16th,False,False,False,False
P1,12,E,E,,5,120,16th,False,False,False,False
P1,12,C#,C,1,5,120,16th,False,False,False,False
P1,13,D,D,,5,960,half,False,False,False,False
P1,14,B,B,,4,360,eighth,True,False,False,False
P1,14,B,B,,4,120,16th,False,False,False,False
P1,14,B,B,,4,240,eighth,False,False,False,False
P1,14,D,D,,5,240,eighth,False,False,False,False
P1,15,D,D,,5,480,quarter,False,False,False,False
P1,15,A,A,,4,480,quarter,False,False,False,False
