part,measure,pitch,step,alter,octave,duration,type,dotted,rest,grace,cue
P1,0,Bb,B,-1,4,240,eighth,False,False,False,False
P1,0,G,G,,5,240,eighth,False,False,False,False
P1,0,Eb,E,-1,5,240,eighth,False,False,False,False
P1,0,,,,,480,quarter,False,True,False,False
P1,0,,,,,240,eighth,False,True,False,False
P1,0,,,,,480,quarter,False,True,False,False
P1,0,,,,,240,eighth,False,True,False,False
P1,1,Bb,B,-1,4,480,quarter,False,False,False,False
P1,1,G,G,,4,240,eighth,False,False,False,False
P1,1,Bb,B,-1,4,,eighth,False,False,True,False
P1,1,Ab,A,-1,4,240,eighth,False,False,False,False
P1,1,G,G,,4,240,eighth,False,False,False,False
P1,1,Ab,A,-1,4,240,eighth,False,False,False,False
P1,1,G,G,,3,240,eighth,False,False,False,False
P1,1,Bb,B,-1,3,240,eighth,False,False,False,False
P1,1,Eb,E,-1,4,240,eighth,False,False,False,False
P1,1,F,F,,3,240,eighth,False,False,False,False
P1,1,Ab,A,-1,3,240,eighth,False,False,False,False
P1,1,Eb,E,-1,4,240,eighth,False,False,False,False
P1,1,Eb,E,-1,3,1440,half,True,False,False,False
P1,2,G,G,,4,,32nd,False,False,True,False
P1,2,Ab,A,-1,4,,32nd,False,False,True,False
P1,2,Bb,B,-1,4,720,quarter,True,False,False,False
P1,2,Bb,B,-1,4,240,eighth,False,False,False,False
P1,2,Ab,A,-1,4,240,eighth,False,False,False,False
P1,2,G,G,,4,240,eighth,False,False,False,False
P1,2,G,G,,3,240,eighth,False,False,False,False
P1,2,Bb,B,-1,3,240,eighth,False,False,False,False
P1,2,Eb,E,-1,4,240,eighth,False,False,False,False
P1,2,G,G,,3,240,eighth,False,False,False,False
P1,2,Bb,B,-1,3,240,eighth,False,False,False,False
P1,2,Eb,E,-1,4,240,eighth,False,False,False,False
P1,2,Eb,E,-1,3,1440,half,True,False,False,False
P1,3,G,G,,4,,eighth,False,False,True,False
P1,3,F,F,,4,240,eighth,False,False,False,False
P1,3,E,E,,4,240,eighth,False,False,False,False
P1,3,F,F,,4,240,eighth,False,False,False,False
P1,3,A,A,,4,240,eighth,False,False,False,False
P1,3,Bb,B,-1,4,240,eighth,False,False,False,False
P1,3,D,D,,4,240,eighth,False,False,False,False
P1,3,Eb,E,-1,3,240,eighth,False,False,False,False
P1,3,Ab,A,-1,3,240,eighth,False,False,False,False
P1,3,C,C,,4,240,eighth,False,False,False,False
P1,3,Eb,E,-1,3,240,eighth,False,False,False,False
P1,3,F,F,,3,240,eighth,False,False,False,False
P1,3,Ab,A,-1,3,240,eighth,False,False,False,False
P1,3,Eb,E,-1,3,720,quarter,True,False,False,False
P1,3,Eb,E,-1,3,720,quarter,True,False,False,False
P1,4,F,F,,4,120,16th,False,False,False,False
P1,4,Eb,E,-1,4,120,16th,False,False,False,False
P1,4,D,D,,4,120,16th,False,False,False,False
P1,4,Eb,E,-1,4,120,16th,False,False,False,False
P1,4,F,F,,4,120,16th,False,False,False,False
P1,4,G,G,,4,120,16th,False,False,False,False
P1,4,Ab,A,-1,4,80,16th,False,False,False,False
P1,4,Bb,B,-1,4,80,16th,False,False,False,False
P1,4,C,C,,5,80,16th,False,False,False,False
P1,4,D,D,,5,80,16th,False,False,False,False
P1,4,Eb,E,-1,5,80,16th,False,False,False,False
P1,4,F,F,,5,80,16th,False,False,False,False
