part,measure,pitch,step,alter,octave,duration,type,dotted,rest,grace,cue
P1,0,C,C,,4,480,quarter,False,False,False,False
P1,0,,,,,480,quarter,False,True,False,False
P1,1,F,F,,4,480,quarter,False,False,False,False
P1,1,G,G,,4,480,quarter,False,False,False,False
P1,1,A,A,,4,480,quarter,False,False,False,False
P1,1,F,F,,4,480,quarter,False,False,False,False
P1,1,F,F,,3,480,quarter,False,False,False,False
P1,1,E,E,,3,480,quarter,False,False,False,False
P1,1,F,F,,3,480,quarter,False,False,False,False
P1,1,D,D,,3,480,quarter,False,False,False,False
P1,2,C,C,,5,960,half,False,False,False,False
P1,2,G,G,,4,960,half,False,False,False,False
P1,2,C,C,,3,960,half,False,False,False,False
P1,2,C,C,,2,960,half,False,False,False,False
P1,3,F,F,,4,1440,half,True,False,False,False
P1,3,C,C,,5,480,quarter,False,False,False,False
P1,3,F,F,,2,1440,half,True,False,False,False
P1,3,F,F,,3,480,quarter,False,False,False,False
P1,4,C,C,,5,480,quarter,False,False,False,False
P1,4,D,D,,5,480,quarter,False,False,False,False
P1,4,E,E,,5,480,quarter,False,False,False,False
P1,4,C,C,,5,480,quarter,False,False,False,False
P1,4,E,E,,3,480,quarter,False,False,False,False
P1,4,D,D,,3,480,quarter,False,False,False,False
P1,4,C,C,,3,480,quarter,False,False,False,False
P1,4,E,E,,3,480,quarter,False,False,False,False
P1,5,F,F,,5,960,half,False,False,False,False
P1,5,D,D,,5,960,half,False,False,False,False
P1,5,D,D,,3,960,half,False,False,False,False
P1,5,G,G,,3,960,half,False,False,False,False
P1,6,C,C,,5,1440,half,True,False,False,False
P1,6,C,C,,5,480,quarter,False,False,False,False
P1,6,C,C,,3,1440,half,True,False,False,False
P1,6,,,,,480,quarter,False,True,False,False
P1,7,F,F,,5,480,quarter,False,False,False,False
P1,7,E,E,,5,480,quarter,False,False,False,False
P1,7,D,D,,5,480,quarter,False,False,False,False
P1,7,C,C,,5,480,quarter,False,False,False,False
P1,7,,,,,480,quarter,False,True,False,False
P1,7,C,C,,4,480,quarter,False,False,False,False
P1,7,Bb,B,-1,3,480,quarter,False,False,False,False
P1,7,A,A,,3,480,quarter,False,False,False,False
P1,8,F,F,,5,480,quarter,False,False,False,False
P1,8,E,E,,5,480,quarter,False,False,False,False
P1,8,D,D,,5,480,quarter,False,False,False,False
P1,8,C,C,,4,480,quarter,False,False,False,False
P1,8,,,,,480,quarter,False,True,False,False
P1,8,C,C,,4,480,quarter,False,False,False,False
P1,8,Bb,B,-1,3,480,quarter,False,False,False,False
P1,8,A,A,,3,240,eighth,False,False,False,False
P1,8,G,G,,3,240,eighth,False,False,False,False
P1,9,F,F,,4,480,quarter,False,False,False,False
P1,9,G,G,,4,480,quarter,False,False,False,False
P1,9,A,A,,4,480,quarter,False,False,False,False
P1,9,Bb,B,-1,4,480,quarter,False,False,False,False
P1,9,F,F,,3,480,quarter,False,False,False,False
P1,9,E,E,,3,480,quarter,False,False,False,False
P1,9,F,F,,3,480,quarter,False,False,False,False
P1,9,D,D,,3,480,quarter,False,False,False,False
P1,10,C,C,,5,960,half,False,False,False,False
P1,10,G,G,,4,960,half,False,False,False,False
P1,10,C,C,,3,960,half,False,False,False,False
P1,10,C,C,,2,960,half,False,False,False,False
P1,11,F,F,,4,1440,half,True,False,False,False
P1,11,C,C,,4,480,quarter,False,False,False,False
P1,11,F,F,,2,1440,half,True,False,False,False
P1,11,,,,,480,quarter,False,True,False,False
P1,12,F,F,,4,160,eighth,False,False,False,False
P1,12,B,B,,3,160,eighth,False,False,False,False
P1,12,C,C,,4,160,eighth,False,False,False,False
P1,12,G,G,,4,160,eighth,False,False,False,False
P1,12,B,B,,3,160,eighth,False,False,False,False
P1,12,C,C,,4,160,eighth,False,False,False,False
P1,12,A,A,,4,160,eighth,False,False,False,False
P1,12,B,B,,3,160,eighth,False,False,False,False
P1,12,C,C,,4,160,eighth,False,False,False,False
P1,12,F,F,,4,160,eighth,False,False,False,False
