part,measure,pitch,step,alter,octave,duration,type,dotted,rest,grace,cue
P1,1,A,A,,5,240,eighth,False,False,False,False
P1,1,F#,F,1,5,120,16th,False,False,False,False
P1,1,A,A,,5,120,16th,False,False,False,False
P1,1,D,D,,5,240,eighth,False,False,False,False
P1,1,A,A,,4,240,eighth,False,False,False,False
P1,1,D,D,,5,240,eighth,False,False,False,False
P1,1,F#,F,1,5,120,16th,False,False,False,False
P1,1,A,A,,4,120,16th,False,False,False,False
P1,1,D,D,,5,240,eighth,False,False,False,False
P1,1,A,A,,4,240,eighth,False,False,False,False
P1,2,D,D,,5,240,eighth,False,False,False,False
P1,2,F#,F,1,5,120,16th,False,False,False,False
P1,2,A,A,,4,120,16th,False,False,False,False
P1,2,D,D,,5,240,eighth,False,False,False,False
P1,2,F#,F,1,5,120,16th,False,False,False,False
P1,2,A,A,,4,120,16th,False,False,False,False
P1,2,D,D,,5,120,16th,False,False,False,False
P1,2,E,E,,5,120,16th,False,False,False,False
P1,2,F#,F,1,5,120,16th,False,False,False,False
P1,2,G,G,,5,120,16th,False,False,False,False
P1,2,A,A,,5,240,eighth,False,False,False,False
P1,2,,,,,240,eighth,False,True,False,False
P1,3,,,,,480,quarter,False,True,False,False
P1,3,D,D,,6,240,eighth,False,False,False,False
P1,3,A,A,,5,240,eighth,False,False,False,False
P1,3,,,,,480,quarter,False,True,False,False
P1,3,D,D,,6,240,eighth,False,False,False,False
P1,3,A,A,,5,240,eighth,False,False,False,False
P1,4,D,D,,6,240,eighth,False,False,False,False
P1,4,F#,F,1,6,120,16th,False,False,False,False
P1,4,A,A,,5,120,16th,False,False,False,False
P1,4,D,D,,6,240,eighth,False,False,False,False
P1,4,F#,F,1,6,120,16th,False,False,False,False
P1,4,A,A,,5,120,16th,False,False,False,False
P1,4,D,D,,6,120,16th,False,False,False,False
P1,4,E,E,,6,120,16th,False,False,False,False
P1,4,F#,F,1,6,120,16th,False,False,False,False
P1,4,G,G,,6,120,16th,False,False,False,False
P1,4,A,A,,6,240,eighth,False,False,False,False
P1,4,,,,,240,eighth,False,True,False,False
P1,5,,,,,480,quarter,False,True,False,False
P1,5,,,,,240,eighth,False,True,False,False
P1,5,F#,F,1,5,240,eighth,False,False,False,False
P1,5,,,,,480,quarter,False,True,False,False
P1,5,,,,,240,eighth,False,True,False,False
P1,5,D,D,,6,240,eighth,False,False,False,False
P1,6,,,,,240,eighth,False,True,False,False
P1,6,D,D,,6,240,eighth,False,False,False,False
P1,6,,,,,240,eighth,False,True,False,False
P1,6,C#,C,1,6,240,eighth,False,False,False,False
P1,6,,,,,240,eighth,False,True,False,False
P1,6,B,B,,5,240,eighth,False,False,False,False
P1,6,,,,,240,eighth,False,True,False,False
P1,6,G#,G,1,5,240,eighth,False,False,False,False
P1,7,A,A,,5,120,16th,False,False,False,False
P1,7,E,E,,5,120,16th,False,False,False,False
P1,7,A,A,,5,120,16th,False,False,False,False
P1,7,C#,C,1,6,120,16th,False,False,False,False
P1,7,E,E,,6,120,16th,False,False,False,False
P1,7,E,E,,6,120,16th,False,False,False,False
P1,7,E,E,,6,120,16th,False,False,False,False
P1,7,E,E,,6,120,16th,False,False,False,False
P1,7,E,E,,6,240,eighth,False,False,False,False
P1,7,,,,,240,eighth,False,True,False,False
P1,7,,,,,480,quarter,False,True,False,False
P1,8,A,A,,5,120,16th,False,False,False,False
P1,8,E,E,,5,120,16th,False,False,False,False
P1,8,A,A,,5,120,16th,False,False,False,False
P1,8,C#,C,1,6,120,16th,False,False,False,False
P1,8,E,E,,6,120,16th,False,False,False,False
P1,8,E,E,,6,120,16th,False,False,False,False
P1,8,E,E,,6,120,16th,False,False,False,False
P1,8,E,E,,6,120,16th,False,False,False,False
P1,8,E,E,,6,240,eighth,False,False,False,False
P1,8,,,,,240,eighth,False,True,False,False
P1,8,,,,,480,quarter,False,True,False,False
P1,9,,,,,960,half,False,True,False,False
P1,9,,,,,240,eighth,False,True,False,False
P1,9,C#,C,1,6,120,16th,False,False,False,False
P1,9,C#,C,1,6,120,16th,False,False,False,False
P1,9,B,B,,5,120,16th,False,False,False,False
P1,9,B,B,,5,120,16th,False,False,False,False
P1,9,D,D,,6,120,16th,False,False,False,False
P1,9,D,D,,6,120,16th,False,False,False,False
P1,10,C#,C,1,6,240,eighth,False,False,False,False
P1,10,,,,,240,eighth,False,True,False,False
P1,10,,,,,480,quarter,False,True,False,False
P1,10,,,,,240,eighth,False,True,False,False
P1,10,A,A,,5,120,16th,False,False,False,False
P1,10,A,A,,5,120,16th,False,False,False,False
P1,10,B,B,,5,120,16th,False,False,False,False
P1,10,B,B,,5,120,16th,False,False,False,False
P1,10,G#,G,1,5,120,16th,False,False,False,False
P1,10,G#,G,1,5,120,16th,False,False,False,False
P1,11,A,A,,5,240,eighth,False,False,False,False
P1,11,,,,,240,eighth,False,True,False,False
P1,11,,,,,240,eighth,False,True,False,False
P1,11,E,E,,6,120,16th,False,False,False,False
P1,11,C#,C,1,6,120,16th,False,False,False,False
P1,11,A,A,,5,240,eighth,False,False,False,False
P1,11,,,,,240,eighth,False,True,False,False
P1,11,,,,,240,eighth,False,True,False,False
P1,11,E,E,,6,120,16th,False,False,False,False
P1,11,C#,C,1,6,120,16th,False,False,False,False
P1,12,A,A,,5,240,eighth,False,False,False,False
P1,12,E,E,,6,120,16th,False,False,False,False
P1,12,C#,C,1,6,120,16th,False,False,False,False
P1,12,A,A,,5,240,eighth,False,False,False,False
P1,12,E,E,,6,120,16th,False,False,False,False
P1,12,C#,C,1,6,120,16th,False,False,False,False
P1,12,A,A,,5,240,eighth,False,False,False,False
