part,measure,pitch,step,alter,octave,duration,type,dotted,rest,grace,cue
P1,0,G,G,,5,240,eighth,False,False,False,False
P1,1,Eb,E,-1,5,360,eighth,True,False,False,False
P1,1,F,F,,5,120,16th,False,False,False,False
P1,1,G,G,,5,240,eighth,False,False,False,False
P1,1,Eb,E,-1,6,240,eighth,False,False,False,False
P1,1,Bb,B,-1,5,240,eighth,False,False,False,False
P1,1,G,G,,5,240,eighth,False,False,False,False
P1,2,Bb,B,-1,5,720,quarter,True,False,False,False
P1,2,C,C,,6,120,16th,False,False,False,False
P1,2,Bb,B,-1,5,360,eighth,True,False,False,False
P1,2,G,G,,5,240,eighth,False,False,False,False
P1,3,Eb,E,-1,5,360,eighth,True,False,False,False
P1,3,F,F,,5,120,16th,False,False,False,False
P1,3,G,G,,5,240,eighth,False,False,False,False
P1,3,Eb,E,-1,6,240,eighth,False,False,False,False
P1,3,Bb,B,-1,5,240,eighth,False,False,False,False
P1,3,G,G,,5,240,eighth,False,False,False,False
P1,4,F,F,,5,720,quarter,True,False,False,False
P1,4,F,F,,5,480,quarter,False,False,False,False
P1,4,G,G,,5,120,16th,False,False,False,False
P1,4,G,G,,5,120,16th,False,False,False,False
P1,5,Eb,E,-1,5,360,eighth,True,False,False,False
P1,5,F,F,,5,120,16th,False,False,False,False
P1,5,G,G,,5,240,eighth,False,False,False,False
P1,5,G,G,,6,240,eighth,False,False,False,False
P1,5,Bb,B,-1,5,240,eighth,False,False,False,False
P1,5,G,G,,5,240,eighth,False,False,False,False
P1,6,Bb,B,-1,5,360,eighth,True,False,False,False
P1,6,C,C,,6,120,16th,False,False,False,False
P1,6,D,D,,6,240,eighth,False,False,False,False
P1,6,Eb,E,-1,6,240,eighth,False,False,False,False
P1,6,D,D,,6,240,eighth,False,False,False,False
P1,6,C,C,,6,240,eighth,False,False,False,False
P1,7,Bb,B,-1,5,240,eighth,False,False,False,False
P1,7,Ab,A,-1,5,240,eighth,False,False,False,False
P1,7,G,G,,5,240,eighth,False,False,False,False
P1,7,Bb,B,-1,5,,eighth,False,False,True,False
P1,7,Ab,A,-1,5,360,eighth,True,False,False,False
P1,7,G,G,,5,120,16th,False,False,False,False
P1,7,F,F,,5,240,eighth,False,False,False,False
P1,8,Eb,E,-1,5,720,quarter,True,False,False,False
P1,8,Eb,E,-1,5,480,quarter,False,False,False,False
P1,8,D,D,,6,240,eighth,False,False,False,False
P1,9,Eb,E,-1,6,480,quarter,False,False,False,False
P1,9,Bb,B,-1,5,240,eighth,False,False,False,False
P1,9,C,C,,6,240,eighth,False,False,False,False
P1,9,Bb,B,-1,5,240,eighth,False,False,False,False
P1,9,G,G,,5,240,eighth,False,False,False,False
P1,10,Ab,A,-1,5,360,eighth,True,False,False,False
P1,10,Bb,B,-1,5,120,16th,False,False,False,False
P1,10,C,C,,6,240,eighth,False,False,False,False
P1,10,Bb,B,-1,5,120,16th,False,False,False,False
P1,10,C,C,,6,360,eighth,True,False,False,False
P1,10,D,D,,6,240,eighth,False,False,False,False
P1,11,Eb,E,-1,6,240,eighth,False,False,False,False
P1,11,Bb,B,-1,5,240,eighth,False,False,False,False
P1,11,G,G,,5,240,eighth,False,False,False,False
P1,11,Bb,B,-1,5,240,eighth,False,False,False,False
P1,11,Ab,A,-1,5,240,eighth,False,False,False,False
P1,11,G,G,,5,240,eighth,False,False,False,False
P1,12,F,F,,5,720,quarter,True,False,False,False
P1,12,F,F,,5,480,quarter,False,False,False,False
P1,12,D,D,,6,120,16th,False,False,False,False
P1,12,D,D,,6,120,16th,False,False,False,False
P1,13,Eb,E,-1,6,480,quarter,False,False,False,False
P1,13,G,G,,5,240,eighth,False,False,False,False
P1,13,Ab,A,-1,5,240,eighth,False,False,False,False
P1,13,Bb,B,-1,5,240,eighth,False,False,False,False
P1,13,C,C,,6,240,eighth,False,False,False,False
P1,14,Bb,B,-1,5,360,eighth,True,False,False,False
P1,14,C,C,,6,120,16th,False,False,False,False
P1,14,D,D,,6,240,eighth,False,False,False,False
P1,14,Eb,E,-1,6,240,eighth,False,False,False,False
P1,14,D,D,,6,240,eighth,False,False,False,False
P1,14,C,C,,6,240,eighth,False,False,False,False
P1,15,Bb,B,-1,5,120,16th,False,False,False,False
P1,15,Ab,A,-1,5,360,eighth,True,False,False,False
P1,15,G,G,,5,240,eighth,False,False,False,False
P1,15,Bb,B,-1,5,,eighth,False,False,True,False
P1,15,Ab,A,-1,5,360,eighth,True,False,False,False
P1,15,G,G,,5,120,16th,False,False,False,False
P1,15,F,F,,5,240,eighth,False,False,False,False
P1,16,Eb,E,-1,5,720,quarter,True,False,False,False
P1,16,Eb,E,-1,5,480,quarter,False,False,False,False
P1,17,Bb,B,-1,4,240,eighth,False,False,False,False
P1,18,Bb,B,-1,4,240,eighth,False,False,False,False
P1,18,Bb,B,-1,5,240,eighth,False,False,False,False
P1,18,Bb,B,-1,4,240,eighth,False,False,False,False
P1,18,Bb,B,-1,4,240,eighth,False,False,False,False
P1,18,Bb,B,-1,5,240,eighth,False,False,False,False
P1,18,Bb,B,-1,5,240,eighth,False,False,False,False
P1,19,Bb,B,-1,4,240,eighth,False,False,False,False
P1,19,Bb,B,-1,5,240,eighth,False,False,False,False
P1,19,Bb,B,-1,4,240,eighth,False,False,False,False
P1,19,Cb,C,-1,5,240,eighth,False,False,False,False
P1,19,Bb,B,-1,4,240,eighth,False,False,False,False
P1,19,Bb,B,-1,4,240,eighth,False,False,False,False
P1,20,Bb,B,-1,4,240,eighth,False,False,False,False
P1,20,Bb,B,-1,5,240,eighth,False,False,False,False
P1,20,Bb,B,-1,4,240,eighth,False,False,False,False
P1,20,Bb,B,-1,4,240,eighth,False,False,False,False
P1,20,Bb,B,-1,5,240,eighth,False,False,False,False
P1,20,Bb,B,-1,5,240,eighth,False,False,False,False
P1,21,Bb,B,-1,4,240,eighth,False,False,False,False
P1,21,,,,,240,eighth,False,True,False,False
P1,21,F,F,,4,240,eighth,False,False,False,False
P1,21,Gb,G,-1,4,240,eighth,False,False,False,False
P1,21,F,F,,4,240,eighth,False,False,False,False
P1,21,G,G,,4,240,eighth,False,False,False,False
P1,22,Eb,E,-1,4,240,eighth,False,False,False,False
P1,22,Bb,B,-1,4,240,eighth,False,False,False,False
P1,22,G,G,,4,240,eighth,False,False,False,False
P1,22,Bb,B,-1,4,240,eighth,False,False,False,False
P1,22,Bb,B,-1,5,240,eighth,False,False,False,False
P1,22,Bb,B,-1,4,240,eighth,False,False,False,False
P1,23,Bb,B,-1,4,240,eighth,False,False,False,False
P1,23,Bb,B,-1,5,240,eighth,False,False,False,False
P1,23,Bb,B,-1,5,240,eighth,False,False,False,False
P1,23,Bb,B,-1,5,240,eighth,False,False,False,False
P1,23,Bb,B,-1,5,240,eighth,False,False,False,False
P1,23,Ab,A,-1,5,240,eighth,False,False,False,False
P1,24,G,G,,5,240,eighth,False,False,False,False
P1,24,Bb,B,-1,5,240,eighth,False,False,False,False
P1,24,C,C,,6,240,eighth,False,False,False,False
P1,24,C,C,,6,240,eighth,False,False,False,False
P1,24,Bb,B,-1,5,240,eighth,False,False,False,False
P1,24,D,D,,6,240,eighth,False,False,False,False
P1,25,Eb,E,-1,6,240,eighth,False,False,False,False
P1,25,,,,,240,eighth,False,True,False,False
P1,25,,,,,240,eighth,False,True,False,False
P1,25,,,,,240,eighth,False,True,False,False
P1,25,Eb,E,-1,6,240,eighth,False,False,False,False
P1,25,D,D,,6,240,eighth,False,False,False,False
