part,measure,pitch,step,alter,octave,duration,type,dotted,rest,grace,cue
P1,1,Bb,B,-1,4,360,eighth,True,False,False,False
P1,1,D,D,,5,360,eighth,True,False,False,False
P1,1,C,C,,5,120,16th,False,False,False,False
P1,1,Eb,E,-1,5,120,16th,False,False,False,False
P1,1,A,A,,4,360,eighth,True,False,False,False
P1,1,C,C,,5,360,eighth,True,False,False,False
P1,1,Bb,B,-1,4,120,16th,False,False,False,False
P1,1,D,D,,5,120,16th,False,False,False,False
P1,1,C,C,,5,360,eighth,True,False,False,False
P1,1,Eb,E,-1,5,360,eighth,True,False,False,False
P1,1,C,C,,5,120,16th,False,False,False,False
P1,1,Eb,E,-1,5,120,16th,False,False,False,False
P1,1,Bb,B,-1,4,360,eighth,True,False,False,False
P1,1,D,D,,5,360,eighth,True,False,False,False
P1,1,C,C,,5,120,16th,False,False,False,False
P1,1,Eb,E,-1,5,120,16th,False,False,False,False
P1,1,,,,,1920,whole,False,True,False,False
P1,2,A,A,,4,360,eighth,True,False,False,False
P1,2,C,C,,5,360,eighth,True,False,False,False
P1,2,A,A,,4,120,16th,False,False,False,False
P1,2,F,F,,5,120,16th,False,False,False,False
P1,2,G,G,,4,360,eighth,True,False,False,False
P1,2,Eb,E,-1,5,360,eighth,True,False,False,False
P1,2,A,A,,4,120,16th,False,False,False,False
P1,2,F,F,,5,120,16th,False,False,False,False
P1,2,Bb,B,-1,4,360,eighth,True,False,False,False
P1,2,D,D,,5,360,eighth,True,False,False,False
P1,2,Bb,B,-1,4,120,16th,False,False,False,False
P1,2,D,D,,5,120,16th,False,False,False,False
P1,2,A,A,,4,360,eighth,True,False,False,False
P1,2,C,C,,5,360,eighth,True,False,False,False
P1,2,Bb,B,-1,4,120,16th,False,False,False,False
P1,2,D,D,,5,120,16th,False,False,False,False
P1,2,,,,,1920,whole,False,True,False,False
P1,3,G,G,,4,360,eighth,True,False,False,False
P1,3,Bb,B,-1,4,360,eighth,True,False,False,False
P1,3,G,G,,4,120,16th,False,False,False,False
P1,3,Bb,B,-1,4,120,16th,False,False,False,False
P1,3,F#,F,1,4,360,eighth,True,False,False,False
P1,3,A,A,,4,360,eighth,True,False,False,False
P1,3,G,G,,4,120,16th,False,False,False,False
P1,3,Bb,B,-1,4,120,16th,False,False,False,False
P1,3,A,A,,4,360,eighth,True,False,False,False
P1,3,C,C,,5,360,eighth,True,False,False,False
P1,3,A,A,,4,120,16th,False,False,False,False
P1,3,C,C,,5,120,16th,False,False,False,False
P1,3,G,G,,4,360,eighth,True,False,False,False
P1,3,Bb,B,-1,4,360,eighth,True,False,False,False
P1,3,A,A,,4,120,16th,False,False,False,False
P1,3,C,C,,5,120,16th,False,False,False,False
P1,3,,,,,1920,whole,False,True,False,False
P1,4,F#,F,1,4,360,eighth,True,False,False,False
P1,4,A,A,,4,360,eighth,True,False,False,False
P1,4,F#,F,1,4,120,16th,False,False,False,False
P1,4,D,D,,5,120,16th,False,False,False,False
P1,4,E,E,,4,360,eighth,True,False,False,False
P1,4,C,C,,5,360,eighth,True,False,False,False
P1,4,F#,F,1,4,120,16th,False,False,False,False
P1,4,D,D,,5,120,16th,False,False,False,False
P1,4,Bb,B,-1,4,240,eighth,False,False,False,False
P1,4,A,A,,4,240,eighth,False,False,False,False
P1,4,G,G,,4,480,quarter,False,False,False,False
P1,4,,,,,960,half,False,True,False,False
P1,4,G,G,,4,960,half,False,False,False,False
P1,5,G,G,,4,720,quarter,True,False,False,False
P1,5,Bb,B,-1,4,720,quarter,True,False,False,False
P1,5,D,D,,5,720,quarter,True,False,False,False
P1,5,Bb,B,-1,4,240,eighth,False,False,False,False
P1,5,D,D,,5,240,eighth,False,False,False,False
P1,5,G,G,,4,720,quarter,True,False,False,False
P1,5,C,C,,5,720,quarter,True,False,False,False
P1,5,Eb,E,-1,5,720,quarter,True,False,False,False
P1,5,Bb,B,-1,4,240,eighth,False,False,False,False
P1,5,D,D,,5,240,eighth,False,False,False,False
P1,6,A,A,,4,720,quarter,True,False,False,False
P1,6,C,C,,5,720,quarter,True,False,False,False
P1,6,A,A,,4,240,eighth,False,False,False,False
P1,6,C,C,,5,240,eighth,False,False,False,False
P1,6,F,F,,4,720,quarter,True,False,False,False
P1,6,Bb,B,-1,4,720,quarter,True,False,False,False
P1,6,D,D,,5,720,quarter,True,False,False,False
P1,6,A,A,,4,240,eighth,False,False,False,False
P1,6,C,C,,5,240,eighth,False,False,False,False
P1,7,G,G,,4,720,quarter,True,False,False,False
P1,7,Bb,B,-1,4,720,quarter,True,False,False,False
P1,7,G,G,,4,240,eighth,False,False,False,False
P1,7,Bb,B,-1,4,240,eighth,False,False,False,False
P1,7,A,A,,4,720,quarter,True,False,False,False
P1,7,C,C,,5,720,quarter,True,False,False,False
P1,7,G,G,,4,240,eighth,False,False,False,False
P1,7,Bb,B,-1,4,240,eighth,False,False,False,False
P1,8,F#,F,1,4,480,quarter,False,False,False,False
P1,8,A,A,,4,480,quarter,False,False,False,False
P1,8,D,D,,5,480,quarter,False,False,False,False
P1,8,Bb,B,-1,4,360,eighth,True,False,False,False
P1,8,A,A,,4,120,16th,False,False,False,False
P1,8,G,G,,4,480,quarter,False,False,False,False
P1,9,Bb,B,-1,4,240,eighth,False,False,False,False
P1,9,D,D,,5,240,eighth,False,False,False,False
P1,9,G,G,,5,240,eighth,False,False,False,False
P1,9,F,F,,5,240,eighth,False,False,False,False
P1,9,Eb,E,-1,5,240,eighth,False,False,False,False
P1,9,D,D,,5,240,eighth,False,False,False,False
P1,9,C,C,,5,240,eighth,False,False,False,False
P1,9,Bb,B,-1,4,240,eighth,False,False,False,False
P1,10,A,A,,4,240,eighth,False,False,False,False
P1,10,C,C,,5,240,eighth,False,False,False,False
P1,10,F,F,,5,240,eighth,False,False,False,False
P1,10,Eb,E,-1,5,240,eighth,False,False,False,False
P1,10,D,D,,5,240,eighth,False,False,False,False
P1,10,C,C,,5,240,eighth,False,False,False,False
P1,10,Bb,B,-1,4,240,eighth,False,False,False,False
P1,10,A,A,,4,240,eighth,False,False,False,False
P1,11,G,G,,4,240,eighth,False,False,False,False
P1,11,Bb,B,-1,4,240,eighth,False,False,False,False
P1,11,Eb,E,-1,5,240,eighth,False,False,False,False
P1,11,D,D,,5,240,eighth,False,False,False,False
P1,11,C,C,,5,240,eighth,False,False,False,False
P1,11,Bb,B,-1,4,240,eighth,False,False,False,False
P1,11,A,A,,4,240,eighth,False,False,False,False
P1,11,G,G,,4,240,eighth,False,False,False,False
P1,12,F#,F,1,4,240,eighth,False,False,False,False
P1,12,A,A,,4,240,eighth,False,False,False,False
P1,12,D,D,,5,240,eighth,False,False,False,False
P1,12,C,C,,5,240,eighth,False,False,False,False
P1,12,Bb,B,-1,4,240,eighth,False,False,False,False
P1,12,A,A,,4,240,eighth,False,False,False,False
P1,12,G,G,,4,480,quarter,False,False,False,False
P1,13,G,G,,4,480,quarter,False,False,False,False
P1,13,Bb,B,-1,4,480,quarter,False,False,False,False
P1,13,C,C,,5,480,quarter,False,False,False,False
P1,13,Eb,E,-1,4,480,quarter,False,False,False,False
P1,14,F,F,,4,480,quarter,False,False,False,False
P1,14,A,A,,4,480,quarter,False,False,False,False
P1,14,Bb,B,-1,4,480,quarter,False,False,False,False
P1,14,D,D,,4,480,quarter,False,False,False,False
P1,15,Eb,E,-1,4,480,quarter,False,False,False,False
P1,15,G,G,,4,480,quarter,False,False,False,False
P1,15,A,A,,4,480,quarter,False,False,False,False
P1,15,C,C,,4,480,quarter,False,False,False,False
P1,16,D,D,,4,480,quarter,False,False,False,False
P1,16,F#,F,1,4,480,quarter,False,False,False,False
