part,measure,pitch,step,alter,octave,duration,type,dotted,rest,grace,cue
P1,1,G,G,,5,360,eighth,True,False,False,False
P1,1,F,F,,5,120,16th,False,False,False,False
P1,1,E,E,,5,240,eighth,False,False,False,False
P1,1,E,E,,5,240,eighth,False,False,False,False
P1,1,E,E,,5,240,eighth,False,False,False,False
P1,1,F,F,,5,240,eighth,False,False,False,False
P1,2,G,G,,5,480,quarter,False,False,False,False
P1,2,C,C,,6,480,quarter,False,False,False,False
P1,2,,,,,480,quarter,False,True,False,False
P1,3,A,A,,5,360,eighth,True,False,False,False
P1,3,G,G,,5,120,16th,False,False,False,False
P1,3,F,F,,5,240,eighth,False,False,False,False
P1,3,F,F,,5,240,eighth,False,False,False,False
P1,3,F,F,,5,240,eighth,False,False,False,False
P1,3,G,G,,5,240,eighth,False,False,False,False
P1,4,A,A,,5,480,quarter,False,False,False,False
P1,4,C,C,,6,480,quarter,False,False,False,False
P1,4,,,,,480,quarter,False,True,False,False
P1,5,F,F,,5,360,eighth,True,False,False,False
P1,5,E,E,,5,120,16th,False,False,False,False
P1,5,D,D,,5,480,quarter,False,False,False,False
P1,5,,,,,480,quarter,False,True,False,False
P1,6,G,G,,5,360,eighth,True,False,False,False
P1,6,F,F,,5,120,16th,False,False,False,False
P1,6,E,E,,5,480,quarter,False,False,False,False
P1,6,,,,,480,quarter,False,True,False,False
P1,7,C,C,,6,360,eighth,True,False,False,False
P1,7,B,B,,5,120,16th,False,False,False,False
P1,7,A,A,,5,240,eighth,False,False,False,False
P1,7,G,G,,5,240,eighth,False,False,False,False
P1,7,F#,F,1,5,240,eighth,False,False,False,False
P1,7,E,E,,5,240,eighth,False,False,False,False
P1,8,D,D,,5,1440,half,True,False,False,False
P1,9,D,D,,5,480,quarter,False,False,False,False
P1,9,F#,F,1,5,480,quarter,False,False,False,False
P1,9,G,G,,5,480,quarter,False,False,False,False
P1,10,A,A,,5,480,quarter,False,False,False,False
P1,10,C,C,,6,480,quarter,False,False,False,False
P1,10,F#,F,1,5,480,quarter,False,False,False,False
