part,measure,pitch,step,alter,octave,duration,type,dotted,rest,grace,cue
P1,1,,,,,1440,whole,False,True,False,False
P1,1,,,,,1440,whole,False,True,False,False
P1,1,Bb,B,-1,2,120,16th,False,False,False,False
P1,1,F,F,,3,120,16th,False,False,False,False
P1,1,D,D,,3,120,16th,False,False,False,False
P1,1,F,F,,3,120,16th,False,False,False,False
P1,1,Bb,B,-1,3,120,16th,False,False,False,False
P1,1,F,F,,3,120,16th,False,False,False,False
P1,1,D,D,,3,120,16th,False,False,False,False
P1,1,F,F,,3,120,16th,False,False,False,False
P1,1,Bb,B,-1,2,120,16th,False,False,False,False
P1,1,F,F,,3,120,16th,False,False,False,False
P1,1,D,D,,3,120,16th,False,False,False,False
P1,1,F,F,,3,120,16th,False,False,False,False
P1,2,,,,,480,quarter,False,True,False,False
P1,2,D,D,,4,480,quarter,False,False,False,False
P1,2,F,F,,4,240,eighth,False,False,False,False
P1,2,,,,,240,eighth,False,True,False,False
P1,2,D,D,,5,960,half,False,False,False,False
P1,2,D,D,,5,120,16th,False,False,False,False
P1,2,Eb,E,-1,5,60,32nd,False,False,False,False
P1,2,D,D,,5,60,32nd,False,False,False,False
P1,2,C,C,,5,120,16th,False,False,False,False
P1,2,D,D,,5,120,16th,False,False,False,False
P1,2,Bb,B,-1,2,120,16th,False,False,False,False
P1,2,F,F,,3,120,16th,False,False,False,False
P1,2,D,D,,3,120,16th,False,False,False,False
P1,2,F,F,,3,120,16th,False,False,False,False
P1,2,Bb,B,-1,3,120,16th,False,False,False,False
P1,2,F,F,,3,120,16th,False,False,False,False
P1,2,D,D,,3,120,16th,False,False,False,False
P1,2,F,F,,3,120,16th,False,False,False,False
P1,2,Bb,B,-1,2,120,16th,False,False,False,False
P1,2,F,F,,3,120,16th,False,False,False,False
P1,2,D,D,,3,120,16th,False,False,False,False
P1,2,F,F,,3,120,16th,False,False,False,False
P1,3,,,,,480,quarter,False,True,False,False
P1,3,F,F,,4,480,quarter,False,False,False,False
P1,3,Bb,B,-1,4,240,eighth,False,False,False,False
P1,3,,,,,240,eighth,False,True,False,False
P1,3,Bb,B,-1,4,960,half,False,False,False,False
P1,3,F,F,,4,480,quarter,False,False,False,False
P1,3,Bb,B,-1,2,120,16th,False,False,False,False
P1,3,F,F,,3,120,16th,False,False,False,False
P1,3,D,D,,3,120,16th,False,False,False,False
P1,3,F,F,,3,120,16th,False,False,False,False
P1,3,Bb,B,-1,3,120,16th,False,False,False,False
P1,3,F,F,,3,120,16th,False,False,False,False
P1,3,D,D,,3,120,16th,False,False,False,False
P1,3,F,F,,3,120,16th,False,False,False,False
P1,3,Bb,B,-1,2,120,16th,False,False,False,False
P1,3,F,F,,3,120,16th,False,False,False,False
P1,3,D,D,,3,120,16th,False,False,False,False
P1,3,F,F,,3,120,16th,False,False,False,False
P1,4,,,,,480,quarter,False,True,False,False
P1,4,Bb,B,-1,3,480,quarter,False,False,False,False
P1,4,Bb,B,-1,3,480,quarter,False,False,False,False
P1,4,Bb,B,-1,4,720,quarter,True,False,False,False
P1,4,Bb,B,-1,4,240,eighth,False,False,False,False
P1,4,Bb,B,-1,4,240,eighth,False,False,False,False
P1,4,C,C,,5,120,16th,False,False,False,False
P1,4,D,D,,5,120,16th,False,False,False,False
P1,4,Bb,B,-1,2,120,16th,False,False,False,False
P1,4,F,F,,3,120,16th,False,False,False,False
P1,4,D,D,,3,120,16th,False,False,False,False
P1,4,F,F,,3,120,16th,False,False,False,False
P1,4,Bb,B,-1,2,120,16th,False,False,False,False
P1,4,F,F,,3,120,16th,False,False,False,False
P1,4,D,D,,3,120,16th,False,False,False,False
P1,4,F,F,,3,120,16th,False,False,False,False
P1,4,D,D,,3,120,16th,False,False,False,False
P1,4,F,F,,3,120,16th,False,False,False,False
P1,4,D,D,,3,120,16th,False,False,False,False
P1,4,Bb,B,-1,2,120,16th,False,False,False,False
P1,5,A,A,,3,48,half,True,False,False,False
P1,5,D,D,,5,8,eighth,False,False,False,False
