part,measure,pitch,step,alter,octave,duration,type,dotted,rest,grace,cue
P1,0,G,G,,3,120,16th,False,False,False,False
P1,0,,,,,120,16th,False,True,False,False
P1,0,E,E,,3,240,eighth,False,False,False,False
P1,0,G,G,,3,240,eighth,False,False,False,False
P1,0,,,,,240,eighth,False,True,False,False
P1,0,F,F,,3,240,eighth,False,False,False,False
P1,0,G,G,,3,240,eighth,False,False,False,False
P1,0,,,,,240,eighth,False,True,False,False
P1,0,E,E,,3,240,eighth,False,False,False,False
P1,0,G,G,,3,240,eighth,False,False,False,False
P1,0,,,,,240,eighth,False,True,False,False
P1,0,G,G,,3,240,eighth,False,False,False,False
P1,0,,,,,240,eighth,False,True,False,False
P1,0,,,,,120,16th,False,True,False,False
P1,1,C,C,,4,240,eighth,False,False,False,False
P1,1,,,,,240,eighth,False,True,False,False
P1,1,B,B,,3,240,eighth,False,False,False,False
P1,1,,,,,240,eighth,False,True,False,False
P1,1,C,C,,4,240,eighth,False,False,False,False
P1,1,,,,,240,eighth,False,True,False,False
P1,1,D,D,,4,240,eighth,False,False,False,False
P1,1,,,,,240,eighth,False,True,False,False
P1,1,G,G,,3,240,eighth,False,False,False,False
P1,1,,,,,240,eighth,False,True,False,False
P1,1,A,A,,3,240,eighth,False,False,False,False
P1,1,C,C,,3,240,eighth,False,False,False,False
P1,1,,,,,240,eighth,False,True,False,False
P1,1,D,D,,3,240,eighth,False,False,False,False
P1,1,,,,,240,eighth,False,True,False,False
P1,1,E,E,,3,240,eighth,False,False,False,False
P1,1,,,,,240,eighth,False,True,False,False
P1,1,B,B,,2,240,eighth,False,False,False,False
P1,1,,,,,240,eighth,False,True,False,False
P1,2,C,C,,4,240,eighth,False,False,False,False
P1,2,E,E,,4,240,eighth,False,False,False,False
P1,2,,,,,240,eighth,False,True,False,False
P1,2,D,D,,4,240,eighth,False,False,False,False
P1,2,F,F,,4,240,eighth,False,False,False,False
P1,2,,,,,240,eighth,False,True,False,False
P1,2,B,B,,3,960,half,False,False,False,False
P1,2,D,D,,4,960,half,False,False,False,False
P1,2,C,C,,3,240,eighth,False,False,False,False
P1,2,,,,,240,eighth,False,True,False,False
P1,2,F,F,,2,240,eighth,False,False,False,False
P1,2,,,,,240,eighth,False,True,False,False
P1,2,G,G,,2,480,quarter,False,False,False,False
P1,2,G,G,,3,360,eighth,True,False,False,False
P1,2,F,F,,3,120,16th,False,False,False,False
P1,3,C,C,,4,240,eighth,False,False,False,False
P1,3,G,G,,4,240,eighth,False,False,False,False
P1,3,,,,,240,eighth,False,True,False,False
P1,3,B,B,,3,240,eighth,False,False,False,False
P1,3,F,F,,4,240,eighth,False,False,False,False
P1,3,G,G,,4,240,eighth,False,False,False,False
P1,3,,,,,240,eighth,False,True,False,False
P1,3,C,C,,4,240,eighth,False,False,False,False
P1,3,E,E,,4,240,eighth,False,False,False,False
P1,3,G,G,,4,240,eighth,False,False,False,False
P1,3,,,,,240,eighth,False,True,False,False
P1,3,D,D,,4,240,eighth,False,False,False,False
P1,3,E,E,,4,240,eighth,False,False,False,False
P1,3,G#,G,1,4,240,eighth,False,False,False,False
P1,3,,,,,240,eighth,False,True,False,False
P1,3,E,E,,3,240,eighth,False,False,False,False
P1,3,,,,,240,eighth,False,True,False,False
P1,3,D,D,,3,240,eighth,False,False,False,False
P1,3,,,,,240,eighth,False,True,False,False
P1,3,C,C,,3,240,eighth,False,False,False,False
P1,3,,,,,240,eighth,False,True,False,False
P1,3,B,B,,2,240,eighth,False,False,False,False
P1,3,,,,,240,eighth,False,True,False,False
P1,4,,,,,1920,,False,True,False,False
P1,5,,,,,1920,,False,True,False,False
P1,6,,,,,1920,,False,True,False,False
P1,7,,,,,1920,,False,True,False,False
P1,8,,,,,1800,,False,True,False,False
P1,9,,,,,120,,False,True,False,False
P1,9,,,,,1920,,False,True,False,False
P1,10,,,,,1920,,False,True,False,False
P1,11,,,,,1920,,False,True,False,False
P1,12,,,,,1920,,False,True,False,False
P1,13,,,,,1920,,False,True,False,False
P1,14,,,,,1920,,False,True,False,False
P1,15,,,,,1920,,False,True,False,False
P1,16,,,,,1920,,False,True,False,False
P1,17,,,,,1920,,False,True,False,False
P1,18,,,,,1920,,False,True,False,False
P1,19,,,,,1920,,False,True,False,False
P1,20,,,,,1800,,False,True,False,False
P1,21,,,,,120,,False,True,False,False
P1,22,,,,,1920,,False,True,False,False
P1,23,,,,,1920,,False,True,False,False
P1,24,,,,,1920,,False,True,False,False
P1,25,,,,,1920,,False,True,False,False
P1,26,,,,,1920,,False,True,False,False
P1,27,,,,,1920,,False,True,False,False
P1,28,,,,,1920,,False,True,False,False
P1,29,,,,,1920,,False,True,False,False
P1,30,,,,,1920,,False,True,False,False
P1,31,,,,,1920,,False,True,False,False
P1,32,,,,,1920,,False,True,False,False
P1,33,,,,,1920,,False,True,False,False
P1,34,,,,,1920,,False,True,False,False
P1,35,,,,,1920,,False,True,False,False
P1,36,,,,,1920,,False,True,False,False
P1,37,,,,,1920,,False,True,False,False
P1,38,,,,,1920,,False,True,False,False
P1,39,,,,,1920,,False,True,False,False
P1,40,,,,,1920,,False,True,False,False
P1,41,,,,,1920,,False,True,False,False
P1,42,,,,,1920,,False,True,False,False
P1,43,,,,,1920,,False,True,False,False
P1,44,,,,,1920,,False,True,False,False
P1,45,,,,,1920,,False,True,False,False
P1,46,,,,,1920,,False,True,False,False
P1,47,,,,,1920,,False,True,False,False
P1,48,,,,,1920,,False,True,False,False
P1,49,,,,,1920,,False,True,False,False
P1,50,,,,,1920,,False,True,False,False
P1,51,,,,,1920,,False,True,False,False
P1,52,,,,,1920,,False,True,False,False
P1,53,,,,,1920,,False,True,False,False
P1,54,,,,,1920,,False,True,False,False
P1,55,,,,,1920,,False,True,False,False
P1,56,,,,,1920,,False,True,False,False
P1,57,,,,,1920,,False,True,False,False
P1,58,,,,,1920,,False,True,False,False
P1,59,,,,,1920,,False,True,False,False
P1,60,,,,,1920,,False,True,False,False
P1,61,,,,,1920,,False,True,False,False
P1,62,,,,,1920,,False,True,False,False
P1,63,,,,,1920,,False,True,False,False
P1,64,,,,,1920,,False,True,False,False
P1,65,,,,,1920,,False,True,False,False
P1,66,,,,,1920,,False,True,False,False
P1,67,,,,,1920,,False,True,False,False
P1,68,,,,,1920,,False,True,False,False
P1,69,,,,,1920,,False,True,False,False
P1,70,,,,,1920,,False,True,False,False
P1,71,,,,,1920,,False,True,False,False
P1,72,,,,,1920,,False,True,False,False
P1,73,,,,,1920,,False,True,False,False
P1,74,,,,,1920,,False,True,False,False
P1,75,,,,,1920,,False,True,False,False
P1,76,,,,,1920,,False,True,False,False
P1,77,,,,,1920,,False,True,False,False
P1,78,,,,,1920,,False,True,False,False
P1,79,,,,,1920,,False,True,False,False
P1,80,,,,,1920,,False,True,False,False
P1,81,,,,,1920,,False,True,False,False
P1,82,,,,,1920,,False,True,False,False
P1,83,,,,,1920,,False,True,False,False
P1,84,,,,,1920,,False,True,False,False
P1,85,,,,,1920,,False,True,False,False
P1,86,,,,,1920,,False,True,False,False
P1,87,,,,,1920,,False,True,False,False
P1,88,,,,,1920,,False,True,False,False
P1,89,,,,,1920,,False,True,False,False
P1,90,,,,,1920,,False,True,False,False
P1,91,,,,,1920,,False,True,False,False
P1,92,,,,,1920,,False,True,False,False
P1,93,,,,,1920,,False,True,False,False
P1,94,,,,,1800,,False,True,False,False
P2,0,,,,,120,,False,True,False,False
P2,0,,,,,1920,,False,True,False,False
P2,1,,,,,1920,,False,True,False,False
P2,2,,,,,1920,,False,True,False,False
P2,3,,,,,1920,,False,True,False,False
P2,4,,,,,1920,,False,True,False,False
P2,5,,,,,1920,,False,True,False,False
P2,6,,,,,1920,,False,True,False,False
P2,7,,,,,1800,,False,True,False,False
P2,8,,,,,120,,False,True,False,False
P2,8,,,,,1920,,False,True,False,False
P2,9,,,,,1920,,False,True,False,False
P2,10,,,,,1920,,False,True,False,False
P2,11,,,,,1920,,False,True,False,False
P2,12,,,,,1920,,False,True,False,False
P2,13,,,,,1920,,False,True,False,False
P2,14,,,,,1920,,False,True,False,False
P2,15,,,,,1920,,False,True,False,False
P2,16,,,,,1920,,False,True,False,False
P2,17,,,,,1920,,False,True,False,False
P2,18,,,,,1920,,False,True,False,False
P2,19,,,,,1800,,False,True,False,False
P2,20,,,,,120,,False,True,False,False
P2,21,,,,,1920,,False,True,False,False
P2,22,,,,,1920,,False,True,False,False
P2,23,,,,,1920,,False,True,False,False
P2,24,,,,,1920,,False,True,False,False
P2,25,,,,,1920,,False,True,False,False
P2,26,,,,,1920,,False,True,False,False
P2,27,,,,,1920,,False,True,False,False
P2,28,,,,,1920,,False,True,False,False
P2,29,,,,,1920,,False,True,False,False
P2,30,,,,,1920,,False,True,False,False
P2,31,,,,,1920,,False,True,False,False
P2,32,,,,,1920,,False,True,False,False
P2,33,,,,,1920,,False,True,False,False
P2,34,,,,,1920,,False,True,False,False
P2,35,,,,,1920,,False,True,False,False
P2,36,,,,,1920,,False,True,False,False
P2,37,,,,,1920,,False,True,False,False
P2,38,,,,,1920,,False,True,False,False
P2,39,,,,,1920,,False,True,False,False
P2,40,,,,,1920,,False,True,False,False
P2,41,,,,,1920,,False,True,False,False
P2,42,,,,,1920,,False,True,False,False
P2,43,,,,,1920,,False,True,False,False
P2,44,,,,,1920,,False,True,False,False
P2,45,,,,,1920,,False,True,False,False
P2,46,,,,,1920,,False,True,False,False
P2,47,,,,,1920,,False,True,False,False
P2,48,,,,,1920,,False,True,False,False
P2,49,,,,,1920,,False,True,False,False
P2,50,,,,,1920,,False,True,False,False
P2,51,,,,,1920,,False,True,False,False
P2,52,,,,,1920,,False,True,False,False
P2,53,,,,,1920,,False,True,False,False
P2,54,,,,,1920,,False,True,False,False
P2,55,,,,,1920,,False,True,False,False
P2,56,,,,,1920,,False,True,False,False
P2,57,,,,,1920,,False,True,False,False
P2,58,,,,,1920,,False,True,False,False
P2,59,,,,,1920,,False,True,False,False
P2,60,,,,,1920,,False,True,False,False
P2,61,,,,,1920,,False,True,False,False
P2,62,,,,,1920,,False,True,False,False
P2,63,,,,,1920,,False,True,False,False
P2,64,,,,,1920,,False,True,False,False
P2,65,,,,,1920,,False,True,False,False
P2,66,,,,,1920,,False,True,False,False
P2,67,,,,,1920,,False,True,False,False
P2,68,,,,,1920,,False,True,False,False
P2,69,,,,,1920,,False,True,False,False
P2,70,,,,,1920,,False,True,False,False
P2,71,,,,,1920,,False,True,False,False
P2,72,,,,,1920,,False,True,False,False
P2,73,,,,,1920,,False,True,False,False
P2,74,,,,,1920,,False,True,False,False
P2,75,,,,,1920,,False,True,False,False
P2,76,,,,,1920,,False,True,False,False
P2,77,,,,,1920,,False,True,False,False
P2,78,,,,,1920,,False,True,False,False
P2,79,,,,,1920,,False,True,False,False
P2,80,,,,,1920,,False,True,False,False
P2,81,,,,,1920,,False,True,False,False
P2,82,,,,,1920,,False,True,False,False
P2,83,,,,,1920,,False,True,False,False
P2,84,,,,,1920,,False,True,False,False
P2,85,,,,,1920,,False,True,False,False
P2,86,,,,,1920,,False,True,False,False
P2,87,,,,,1920,,False,True,False,False
P2,88,,,,,1920,,False,True,False,False
P2,89,,,,,1920,,False,True,False,False
P2,90,,,,,1920,,False,True,False,False
P2,91,,,,,1920,,False,True,False,False
P2,92,,,,,1920,,False,True,False,False
P2,93,,,,,1800,,False,True,False,False
P3,0,,,,,120,,False,True,False,False
P3,0,,,,,1920,,False,True,False,False
P3,1,,,,,1920,,False,True,False,False
P3,2,,,,,1920,,False,True,False,False
P3,3,,,,,1920,,False,True,False,False
P3,4,,,,,1920,,False,True,False,False
P3,5,,,,,1920,,False,True,False,False
P3,6,,,,,1920,,False,True,False,False
P3,7,,,,,1800,,False,True,False,False
P3,8,,,,,120,,False,True,False,False
P3,8,,,,,1920,,False,True,False,False
P3,9,,,,,1920,,False,True,False,False
P3,10,,,,,1920,,False,True,False,False
P3,11,,,,,1920,,False,True,False,False
P3,12,,,,,1920,,False,True,False,False
P3,13,,,,,1920,,False,True,False,False
